date,12 Gauge 7毫米鹿弹,12 Gauge 8.5毫米鹿弹,12 Gauge 箭形弹,12 Gauge 龙息弹,12 Gauge独头 AP-20,12 Gauge独头 FTX,12 Gauge独头 GT,12 Gauge独头 RIP
2025-09-23 20:00:00,21.0,202.0,274.0,1966.0,412.0,286.0,43.0,160.0
2025-09-23 21:00:00,21.0,205.0,286.0,1962.0,412.0,285.0,43.0,160.0
2025-09-23 22:00:00,21.0,207.0,289.0,1967.0,413.0,288.0,43.0,161.0
2025-09-23 23:00:00,21.0,210.0,290.0,1971.0,413.0,309.0,43.0,165.0
2025-09-24 00:00:00,21.0,213.0,298.0,2005.0,413.0,298.0,43.0,166.0
2025-09-24 01:00:00,21.0,211.0,289.0,2007.0,413.0,255.0,43.0,165.0
2025-09-24 02:00:00,21.0,205.0,288.0,2004.0,413.0,248.0,43.0,165.0
2025-09-24 03:00:00,21.0,187.0,259.0,1899.0,412.0,243.0,43.0,142.0
2025-09-24 04:00:00,21.0,182.0,256.0,1908.0,413.0,244.0,43.0,140.0
2025-09-24 05:00:00,21.0,184.0,263.0,1966.0,432.0,239.0,43.0,142.0
2025-09-24 06:00:00,21.0,186.0,265.0,1968.0,441.0,245.0,43.0,144.0
2025-09-24 07:00:00,21.0,185.0,270.0,1995.0,442.0,240.0,43.0,143.0
2025-09-24 08:00:00,21.0,187.0,248.0,2000.0,439.0,264.0,43.0,140.0
2025-09-24 09:00:00,21.0,191.0,280.0,1910.0,439.0,282.0,43.0,144.0
2025-09-24 10:00:00,21.0,192.0,286.0,1778.0,432.0,266.0,43.0,143.0
2025-09-24 11:00:00,21.0,193.0,288.0,1769.0,420.0,288.0,43.0,145.0
2025-09-24 12:00:00,21.0,195.0,290.0,1804.0,433.0,308.0,43.0,151.0
2025-09-24 13:00:00,21.0,199.0,291.0,1883.0,451.0,305.0,43.0,151.0
2025-09-24 14:00:00,21.0,198.0,300.0,1945.0,452.0,306.0,43.0,152.0
2025-09-24 15:00:00,21.0,202.0,391.0,1966.0,452.0,335.0,43.0,156.0
