date,5.45x39mm BS,5.45x39mm BT,5.45x39mm PRS,5.45x39mm PS,5.45x39mm T
2025-09-08 20:00:00,3829.0,1586.0,35.0,489.0,94.0
2025-09-08 21:00:00,3899.0,1586.0,35.0,489.0,94.0
2025-09-08 22:00:00,3847.0,1616.0,35.0,474.0,94.0
2025-09-08 23:00:00,3794.0,1601.0,35.0,467.0,94.0
2025-09-09 00:00:00,3829.0,1594.0,35.0,418.0,94.0
2025-09-09 01:00:00,3829.0,1451.0,35.0,399.0,94.0
2025-09-09 02:00:00,3794.0,1459.0,35.0,414.0,94.0
2025-09-09 03:00:00,3829.0,1451.0,35.0,414.0,94.0
2025-09-09 04:00:00,3829.0,1451.0,35.0,422.0,94.0
2025-09-09 05:00:00,3882.0,1474.0,35.0,414.0,94.0
2025-09-09 06:00:00,3794.0,1451.0,35.0,407.0,94.0
2025-09-09 07:00:00,3759.0,1436.0,35.0,392.0,94.0
2025-09-09 08:00:00,3654.0,1399.0,35.0,388.0,94.0
2025-09-09 09:00:00,3584.0,1421.0,35.0,410.0,94.0
2025-09-09 10:00:00,3567.0,1466.0,35.0,425.0,94.0
2025-09-09 11:00:00,3654.0,1496.0,35.0,407.0,94.0
2025-09-09 12:00:00,3654.0,1474.0,35.0,422.0,94.0
2025-09-09 13:00:00,3759.0,1496.0,35.0,455.0,94.0
2025-09-09 14:00:00,3847.0,1519.0,35.0,459.0,94.0
2025-09-09 15:00:00,3882.0,1526.0,35.0,459.0,94.0
2025-09-09 16:00:00,3794.0,1526.0,35.0,444.0,94.0
2025-09-09 17:00:00,3899.0,1556.0,35.0,429.0,94.0
2025-09-09 18:00:00,3899.0,1541.0,35.0,429.0,94.0
2025-09-09 19:00:00,3847.0,1549.0,35.0,429.0,94.0
2025-09-09 20:00:00,3794.0,1571.0,35.0,444.0,94.0
2025-09-09 21:00:00,3847.0,1586.0,35.0,467.0,94.0
2025-09-09 22:00:00,3969.0,1616.0,35.0,470.0,94.0
2025-09-09 23:00:00,3917.0,1616.0,35.0,452.0,94.0
2025-09-10 00:00:00,3777.0,1601.0,35.0,399.0,94.0
2025-09-10 01:00:00,3969.0,1444.0,35.0,414.0,94.0
2025-09-10 02:00:00,3987.0,1481.0,35.0,414.0,94.0
2025-09-10 03:00:00,3969.0,1466.0,35.0,414.0,94.0
2025-09-10 04:00:00,3864.0,1496.0,35.0,403.0,94.0
2025-09-10 05:00:00,3829.0,1496.0,35.0,399.0,94.0
2025-09-10 06:00:00,3952.0,1451.0,35.0,399.0,94.0
2025-09-10 07:00:00,3759.0,1421.0,35.0,403.0,94.0
2025-09-10 08:00:00,3567.0,1399.0,35.0,399.0,94.0
2025-09-10 09:00:00,3672.0,1451.0,35.0,392.0,94.0
2025-09-10 10:00:00,3742.0,1496.0,35.0,429.0,94.0
2025-09-10 11:00:00,3707.0,1496.0,35.0,429.0,94.0
2025-09-10 12:00:00,3829.0,1496.0,35.0,437.0,94.0
2025-09-10 13:00:00,3847.0,1526.0,35.0,474.0,94.0
2025-09-10 14:00:00,3969.0,1526.0,35.0,470.0,94.0
2025-09-10 15:00:00,4004.0,1541.0,35.0,467.0,94.0
2025-09-10 16:00:00,4004.0,1534.0,35.0,474.0,94.0
2025-09-10 17:00:00,3987.0,1556.0,35.0,489.0,94.0
2025-09-10 18:00:00,3847.0,1534.0,35.0,489.0,94.0
2025-09-10 19:00:00,3969.0,1586.0,35.0,489.0,94.0
2025-09-10 20:00:00,3969.0,1586.0,35.0,489.0,94.0
2025-09-10 21:00:00,3969.0,1616.0,35.0,504.0,94.0
2025-09-10 22:00:00,4004.0,1616.0,35.0,504.0,94.0
2025-09-10 23:00:00,4039.0,1646.0,35.0,504.0,94.0
2025-09-11 00:00:00,3864.0,1481.0,35.0,452.0,94.0
2025-09-11 01:00:00,3934.0,1466.0,35.0,459.0,94.0
2025-09-11 02:00:00,3899.0,1466.0,35.0,459.0,94.0
2025-09-11 03:00:00,3899.0,1436.0,35.0,444.0,94.0
2025-09-11 04:00:00,4004.0,1481.0,35.0,414.0,94.0
2025-09-11 05:00:00,3864.0,1481.0,35.0,444.0,94.0
2025-09-11 06:00:00,3952.0,1444.0,35.0,433.0,94.0
2025-09-11 07:00:00,3864.0,1429.0,35.0,440.0,94.0
2025-09-11 08:00:00,3759.0,1429.0,35.0,414.0,94.0
2025-09-11 09:00:00,3882.0,1444.0,35.0,448.0,94.0
2025-09-11 10:00:00,3777.0,1489.0,35.0,459.0,94.0
2025-09-11 11:00:00,3689.0,1466.0,35.0,474.0,94.0
2025-09-11 12:00:00,3829.0,1489.0,35.0,474.0,94.0
2025-09-11 13:00:00,3899.0,1504.0,35.0,493.0,94.0
2025-09-11 14:00:00,3917.0,1526.0,35.0,489.0,94.0
2025-09-11 15:00:00,3969.0,1541.0,35.0,504.0,94.0
2025-09-11 16:00:00,3969.0,1556.0,35.0,504.0,94.0
2025-09-11 17:00:00,3969.0,1534.0,35.0,504.0,94.0
2025-09-11 18:00:00,3969.0,1586.0,35.0,504.0,94.0
2025-09-11 19:00:00,3847.0,1586.0,35.0,504.0,94.0
2025-09-11 20:00:00,3899.0,1586.0,35.0,504.0,94.0
2025-09-11 21:00:00,3969.0,1616.0,35.0,519.0,94.0
2025-09-11 22:00:00,3969.0,1639.0,35.0,519.0,94.0
2025-09-11 23:00:00,3917.0,1646.0,35.0,515.0,94.0
2025-09-12 00:00:00,3969.0,1616.0,35.0,482.0,94.0
2025-09-12 01:00:00,3917.0,1444.0,35.0,414.0,94.0
2025-09-12 02:00:00,3847.0,1451.0,35.0,407.0,94.0
2025-09-12 03:00:00,3934.0,1444.0,35.0,407.0,94.0
2025-09-12 04:00:00,3987.0,1459.0,35.0,414.0,94.0
2025-09-12 05:00:00,3969.0,1444.0,35.0,380.0,94.0
2025-09-12 06:00:00,3864.0,1436.0,35.0,414.0,94.0
2025-09-12 07:00:00,3934.0,1436.0,35.0,362.0,94.0
2025-09-12 08:00:00,3532.0,1391.0,35.0,354.0,94.0
