date,5.7x28mm L191,5.7x28mm R37.F,5.7x28mm SS190,5.7x28mm SS193,5.7x28mm SS197SR,5.7x28mm SS198LF
2025-09-08 21:00:00,405.0,460.0,3987.0,1751.0,95.0,35.0
2025-09-08 22:00:00,390.0,457.0,4003.0,1803.0,95.0,35.0
2025-09-08 23:00:00,368.0,462.0,3987.0,1758.0,95.0,35.0
2025-09-09 00:00:00,323.0,467.0,3841.0,1773.0,95.0,35.0
2025-09-09 01:00:00,368.0,392.0,4020.0,1548.0,95.0,35.0
2025-09-09 02:00:00,371.0,407.0,4052.0,1556.0,95.0,35.0
2025-09-09 03:00:00,345.0,402.0,3922.0,1593.0,95.0,35.0
2025-09-09 04:00:00,368.0,407.0,3955.0,1593.0,95.0,35.0
2025-09-09 05:00:00,341.0,407.0,4036.0,1623.0,95.0,35.0
2025-09-09 06:00:00,353.0,407.0,3760.0,1548.0,95.0,35.0
2025-09-09 07:00:00,326.0,407.0,3743.0,1608.0,95.0,35.0
2025-09-09 08:00:00,319.0,410.0,3483.0,1533.0,95.0,35.0
2025-09-09 09:00:00,360.0,417.0,3662.0,1623.0,95.0,35.0
2025-09-09 10:00:00,371.0,417.0,3565.0,1623.0,95.0,35.0
2025-09-09 11:00:00,360.0,417.0,3565.0,1623.0,95.0,35.0
2025-09-09 12:00:00,371.0,410.0,3581.0,1623.0,95.0,35.0
2025-09-09 13:00:00,401.0,417.0,3711.0,1631.0,95.0,35.0
2025-09-09 14:00:00,341.0,420.0,3727.0,1623.0,95.0,35.0
2025-09-09 15:00:00,353.0,430.0,3857.0,1653.0,95.0,35.0
2025-09-09 16:00:00,349.0,445.0,3841.0,1661.0,95.0,35.0
2025-09-09 17:00:00,338.0,447.0,3727.0,1653.0,95.0,35.0
2025-09-09 18:00:00,353.0,442.0,3727.0,1683.0,95.0,35.0
2025-09-09 19:00:00,356.0,447.0,3727.0,1676.0,95.0,35.0
2025-09-09 20:00:00,383.0,457.0,3760.0,1698.0,95.0,35.0
2025-09-09 21:00:00,390.0,452.0,3922.0,1788.0,95.0,35.0
2025-09-09 22:00:00,390.0,450.0,3922.0,1803.0,95.0,35.0
2025-09-09 23:00:00,375.0,452.0,4052.0,1818.0,95.0,35.0
2025-09-10 00:00:00,345.0,442.0,4052.0,1788.0,95.0,35.0
2025-09-10 01:00:00,353.0,397.0,4068.0,1593.0,95.0,35.0
2025-09-10 02:00:00,330.0,397.0,4280.0,1623.0,95.0,35.0
2025-09-10 03:00:00,319.0,397.0,4410.0,1623.0,95.0,35.0
2025-09-10 04:00:00,356.0,397.0,4426.0,1623.0,95.0,35.0
2025-09-10 05:00:00,379.0,405.0,4426.0,1646.0,95.0,35.0
2025-09-10 06:00:00,345.0,407.0,4150.0,1638.0,95.0,35.0
2025-09-10 07:00:00,330.0,400.0,3630.0,1601.0,95.0,35.0
2025-09-10 08:00:00,315.0,397.0,3825.0,1556.0,95.0,35.0
2025-09-10 09:00:00,360.0,407.0,3857.0,1623.0,95.0,35.0
2025-09-10 10:00:00,356.0,405.0,3857.0,1653.0,95.0,35.0
2025-09-10 11:00:00,341.0,407.0,3890.0,1653.0,95.0,35.0
2025-09-10 12:00:00,383.0,417.0,3906.0,1683.0,95.0,35.0
2025-09-10 13:00:00,405.0,417.0,3955.0,1683.0,95.0,35.0
2025-09-10 14:00:00,379.0,417.0,4085.0,1713.0,95.0,35.0
2025-09-10 15:00:00,413.0,417.0,4345.0,1758.0,95.0,35.0
2025-09-10 16:00:00,401.0,427.0,4198.0,1803.0,95.0,35.0
2025-09-10 17:00:00,394.0,437.0,4312.0,1818.0,95.0,35.0
2025-09-10 18:00:00,386.0,447.0,3971.0,1818.0,95.0,35.0
2025-09-10 19:00:00,398.0,447.0,3971.0,1773.0,95.0,35.0
2025-09-10 20:00:00,450.0,457.0,3971.0,1826.0,95.0,35.0
2025-09-10 21:00:00,450.0,467.0,3987.0,1811.0,95.0,35.0
2025-09-10 22:00:00,446.0,467.0,4068.0,1811.0,95.0,35.0
2025-09-10 23:00:00,413.0,460.0,4052.0,1833.0,95.0,35.0
2025-09-11 00:00:00,375.0,457.0,3987.0,1773.0,95.0,35.0
2025-09-11 01:00:00,371.0,390.0,4101.0,1571.0,95.0,35.0
2025-09-11 02:00:00,405.0,397.0,4052.0,1623.0,95.0,35.0
2025-09-11 03:00:00,383.0,397.0,4020.0,1608.0,95.0,35.0
2025-09-11 04:00:00,360.0,407.0,4150.0,1638.0,95.0,35.0
2025-09-11 05:00:00,383.0,407.0,4117.0,1623.0,95.0,35.0
2025-09-11 06:00:00,394.0,397.0,3987.0,1601.0,95.0,35.0
2025-09-11 07:00:00,405.0,407.0,3597.0,1578.0,95.0,35.0
2025-09-11 08:00:00,405.0,400.0,3646.0,1563.0,95.0,35.0
2025-09-11 09:00:00,383.0,400.0,3597.0,1638.0,95.0,35.0
2025-09-11 10:00:00,405.0,417.0,3630.0,1638.0,95.0,35.0
2025-09-11 11:00:00,386.0,417.0,3613.0,1661.0,95.0,35.0
