date,9x19mm AP6.3,9x19mm PBP,9x19mm PSO,9x19mm Pst,9x19mm RIP
2025-09-08 23:00:00,321.0,1606.0,26.0,73.0,638.0
2025-09-09 00:00:00,317.0,1606.0,26.0,73.0,638.0
2025-09-09 01:00:00,321.0,1456.0,26.0,73.0,548.0
2025-09-09 02:00:00,314.0,1456.0,26.0,73.0,568.0
2025-09-09 03:00:00,314.0,1486.0,26.0,73.0,568.0
2025-09-09 04:00:00,314.0,1486.0,26.0,73.0,578.0
2025-09-09 05:00:00,310.0,1486.0,26.0,73.0,576.0
2025-09-09 06:00:00,321.0,1441.0,26.0,73.0,578.0
2025-09-09 07:00:00,310.0,1456.0,26.0,73.0,578.0
2025-09-09 08:00:00,310.0,1404.0,26.0,73.0,578.0
2025-09-09 09:00:00,321.0,1471.0,26.0,73.0,596.0
2025-09-09 10:00:00,321.0,1471.0,26.0,73.0,598.0
2025-09-09 11:00:00,310.0,1479.0,26.0,73.0,606.0
2025-09-09 12:00:00,321.0,1501.0,26.0,73.0,628.0
2025-09-09 13:00:00,321.0,1501.0,26.0,73.0,633.0
2025-09-09 14:00:00,321.0,1516.0,26.0,73.0,628.0
2025-09-09 15:00:00,321.0,1516.0,26.0,73.0,628.0
2025-09-09 16:00:00,310.0,1516.0,26.0,73.0,618.0
2025-09-09 17:00:00,321.0,1546.0,26.0,73.0,628.0
2025-09-09 18:00:00,321.0,1546.0,26.0,73.0,628.0
2025-09-09 19:00:00,321.0,1546.0,26.0,73.0,626.0
2025-09-09 20:00:00,321.0,1576.0,26.0,73.0,628.0
2025-09-09 21:00:00,321.0,1606.0,26.0,73.0,628.0
2025-09-09 22:00:00,321.0,1606.0,26.0,73.0,628.0
2025-09-09 23:00:00,321.0,1606.0,26.0,73.0,628.0
2025-09-10 00:00:00,321.0,1546.0,26.0,73.0,558.0
2025-09-10 01:00:00,321.0,1456.0,26.0,73.0,551.0
2025-09-10 02:00:00,321.0,1486.0,26.0,73.0,541.0
2025-09-10 03:00:00,314.0,1471.0,26.0,73.0,568.0
2025-09-10 04:00:00,317.0,1486.0,26.0,73.0,568.0
2025-09-10 05:00:00,321.0,1501.0,26.0,73.0,578.0
2025-09-10 06:00:00,317.0,1464.0,26.0,73.0,578.0
