date,12 Gauge 7毫米鹿弹,12 Gauge 8.5毫米鹿弹,12 Gauge 箭形弹,12 Gauge 龙息弹,12 Gauge独头 AP-20,12 Gauge独头 FTX,12 Gauge独头 GT,12 Gauge独头 RIP
2025-09-27 15:00:00,21.0,263.0,516.0,2091.0,492.0,491.0,43.0,172.0
2025-09-27 16:00:00,21.0,263.0,516.0,2122.0,492.0,491.0,43.0,172.0
2025-09-27 17:00:00,22.0,279.0,527.0,2163.0,491.0,486.0,43.0,172.0
2025-09-27 18:00:00,22.0,292.0,527.0,2202.0,490.0,464.0,43.0,177.0
2025-09-27 19:00:00,22.0,318.0,527.0,2244.0,489.0,472.0,43.0,177.0
2025-09-27 20:00:00,21.0,329.0,527.0,2269.0,487.0,492.0,43.0,180.0
2025-09-27 21:00:00,21.0,336.0,530.0,2282.0,464.0,468.0,42.0,181.0
2025-09-27 22:00:00,21.0,345.0,533.0,2283.0,453.0,456.0,42.0,181.0
2025-09-27 23:00:00,21.0,356.0,523.0,2286.0,453.0,452.0,42.0,182.0
2025-09-28 00:00:00,21.0,359.0,485.0,2322.0,451.0,396.0,42.0,188.0
2025-09-28 01:00:00,21.0,359.0,455.0,2389.0,451.0,355.0,42.0,190.0
2025-09-28 02:00:00,21.0,329.0,403.0,2396.0,451.0,297.0,43.0,189.0
2025-09-28 03:00:00,21.0,195.0,357.0,1956.0,449.0,287.0,41.0,144.0
2025-09-28 04:00:00,21.0,192.0,325.0,1911.0,451.0,321.0,42.0,140.0
2025-09-28 05:00:00,20.0,190.0,298.0,1931.0,447.0,295.0,42.0,140.0
2025-09-28 06:00:00,21.0,195.0,295.0,1968.0,445.0,298.0,42.0,141.0
2025-09-28 07:00:00,21.0,194.0,299.0,1967.0,442.0,290.0,42.0,144.0
2025-09-28 08:00:00,21.0,197.0,335.0,2002.0,441.0,299.0,42.0,145.0
2025-09-28 09:00:00,21.0,198.0,330.0,1904.0,441.0,306.0,42.0,145.0
2025-09-28 10:00:00,21.0,196.0,309.0,1841.0,432.0,319.0,42.0,142.0
2025-09-28 11:00:00,21.0,198.0,307.0,1842.0,425.0,302.0,42.0,145.0
2025-09-28 12:00:00,21.0,198.0,301.0,1855.0,415.0,302.0,43.0,146.0
2025-09-28 13:00:00,21.0,198.0,312.0,1871.0,415.0,316.0,42.0,150.0
2025-09-28 14:00:00,21.0,199.0,313.0,1880.0,414.0,307.0,42.0,151.0
2025-09-28 15:00:00,21.0,204.0,321.0,1879.0,415.0,295.0,42.0,151.0
2025-09-28 16:00:00,21.0,204.0,351.0,1944.0,414.0,312.0,42.0,154.0
2025-09-28 17:00:00,21.0,205.0,331.0,1984.0,413.0,266.0,43.0,156.0
2025-09-28 18:00:00,21.0,207.0,301.0,2008.0,414.0,268.0,42.0,156.0
2025-09-28 19:00:00,21.0,206.0,296.0,2009.0,413.0,283.0,42.0,156.0
2025-09-28 20:00:00,21.0,207.0,289.0,2030.0,412.0,286.0,42.0,156.0
2025-09-28 21:00:00,21.0,207.0,293.0,2038.0,412.0,277.0,42.0,160.0
2025-09-28 22:00:00,21.0,211.0,302.0,2045.0,413.0,287.0,42.0,161.0
2025-09-28 23:00:00,21.0,214.0,329.0,2049.0,414.0,295.0,42.0,161.0
2025-09-29 00:00:00,21.0,215.0,347.0,2049.0,413.0,307.0,42.0,162.0
2025-09-29 01:00:00,21.0,222.0,335.0,2061.0,412.0,297.0,42.0,165.0
2025-09-29 02:00:00,20.0,220.0,293.0,2082.0,413.0,266.0,42.0,165.0
2025-09-29 03:00:00,21.0,191.0,284.0,1912.0,412.0,254.0,42.0,144.0
2025-09-29 04:00:00,21.0,185.0,285.0,1914.0,417.0,250.0,42.0,139.0
2025-09-29 05:00:00,21.0,189.0,277.0,1967.0,441.0,248.0,42.0,141.0
2025-09-29 06:00:00,21.0,191.0,260.0,1983.0,440.0,241.0,42.0,144.0
2025-09-29 07:00:00,21.0,191.0,262.0,2004.0,438.0,255.0,42.0,144.0
2025-09-29 08:00:00,21.0,190.0,264.0,2002.0,437.0,239.0,42.0,145.0
2025-09-29 09:00:00,22.0,191.0,265.0,1908.0,433.0,255.0,42.0,140.0
2025-09-29 10:00:00,21.0,191.0,271.0,1797.0,422.0,255.0,41.0,145.0
2025-09-29 11:00:00,21.0,194.0,278.0,1773.0,418.0,251.0,42.0,144.0
2025-09-29 12:00:00,21.0,200.0,258.0,1809.0,411.0,248.0,42.0,146.0
2025-09-29 13:00:00,22.0,199.0,266.0,1854.0,412.0,251.0,42.0,151.0
2025-09-29 14:00:00,21.0,199.0,272.0,1877.0,411.0,255.0,42.0,151.0
2025-09-29 15:00:00,21.0,203.0,284.0,1891.0,413.0,279.0,42.0,153.0
2025-09-29 16:00:00,21.0,204.0,294.0,1957.0,412.0,281.0,42.0,156.0
2025-09-29 17:00:00,22.0,205.0,277.0,1980.0,412.0,248.0,42.0,156.0
2025-09-29 18:00:00,22.0,208.0,256.0,2006.0,411.0,241.0,42.0,156.0
2025-09-29 19:00:00,21.0,208.0,253.0,2007.0,411.0,240.0,42.0,158.0
2025-09-29 20:00:00,21.0,209.0,262.0,2032.0,411.0,241.0,42.0,161.0
2025-09-29 21:00:00,21.0,213.0,281.0,2038.0,412.0,246.0,41.0,161.0
2025-09-29 22:00:00,21.0,214.0,299.0,2044.0,418.0,246.0,42.0,161.0
2025-09-29 23:00:00,21.0,224.0,322.0,2049.0,450.0,284.0,42.0,166.0
2025-09-30 00:00:00,21.0,233.0,339.0,2049.0,450.0,284.0,42.0,166.0
2025-09-30 01:00:00,21.0,238.0,343.0,2072.0,450.0,250.0,43.0,165.0
2025-09-30 02:00:00,21.0,237.0,322.0,2081.0,451.0,227.0,42.0,165.0
2025-09-30 03:00:00,21.0,196.0,284.0,1975.0,450.0,237.0,40.0,143.0
2025-09-30 04:00:00,19.0,189.0,274.0,1917.0,449.0,223.0,39.0,142.0
2025-09-30 05:00:00,21.0,193.0,248.0,1917.0,447.0,230.0,39.0,145.0
2025-09-30 06:00:00,21.0,194.0,235.0,1993.0,441.0,227.0,39.0,144.0
2025-09-30 07:00:00,21.0,197.0,257.0,2006.0,435.0,237.0,39.0,145.0
2025-09-30 08:00:00,22.0,198.0,262.0,2002.0,438.0,235.0,39.0,145.0
2025-09-30 09:00:00,21.0,199.0,267.0,1918.0,435.0,239.0,41.0,149.0
2025-09-30 10:00:00,21.0,200.0,272.0,1837.0,432.0,237.0,41.0,148.0
2025-09-30 11:00:00,21.0,200.0,274.0,1810.0,417.0,237.0,42.0,150.0
2025-09-30 12:00:00,21.0,202.0,287.0,1853.0,412.0,249.0,42.0,151.0
2025-09-30 13:00:00,21.0,204.0,288.0,1873.0,412.0,246.0,41.0,151.0
2025-09-30 14:00:00,21.0,204.0,285.0,1881.0,412.0,236.0,41.0,153.0
2025-09-30 15:00:00,21.0,208.0,309.0,1896.0,413.0,252.0,42.0,156.0
2025-09-30 16:00:00,21.0,209.0,315.0,1961.0,412.0,274.0,41.0,156.0
2025-09-30 17:00:00,21.0,214.0,316.0,2007.0,412.0,261.0,42.0,156.0
2025-09-30 18:00:00,21.0,214.0,316.0,2039.0,412.0,252.0,42.0,156.0
2025-09-30 19:00:00,21.0,224.0,317.0,2044.0,412.0,266.0,42.0,157.0
2025-09-30 20:00:00,22.0,233.0,331.0,2042.0,413.0,282.0,42.0,157.0
2025-09-30 21:00:00,21.0,242.0,348.0,2042.0,447.0,322.0,42.0,157.0
2025-09-30 22:00:00,22.0,251.0,480.0,2047.0,453.0,432.0,42.0,157.0
2025-09-30 23:00:00,21.0,272.0,510.0,2065.0,453.0,448.0,42.0,157.0
2025-10-01 00:00:00,21.0,287.0,518.0,2099.0,452.0,422.0,42.0,157.0
2025-10-01 01:00:00,21.0,315.0,505.0,2139.0,451.0,385.0,42.0,157.0
2025-10-01 02:00:00,21.0,325.0,478.0,2165.0,451.0,318.0,41.0,157.0
2025-10-01 03:00:00,21.0,221.0,435.0,1995.0,451.0,299.0,42.0,158.0
2025-10-01 04:00:00,21.0,198.0,425.0,1976.0,451.0,281.0,41.0,158.0
2025-10-01 05:00:00,21.0,199.0,407.0,2024.0,451.0,288.0,42.0,158.0
2025-10-01 06:00:00,21.0,201.0,381.0,2030.0,448.0,278.0,42.0,158.0
2025-10-01 07:00:00,21.0,204.0,366.0,2048.0,448.0,295.0,41.0,158.0
2025-10-01 08:00:00,22.0,209.0,378.0,2062.0,447.0,284.0,41.0,158.0
2025-10-01 09:00:00,22.0,210.0,414.0,2036.0,449.0,315.0,41.0,158.0
2025-10-01 10:00:00,21.0,215.0,461.0,2027.0,460.0,370.0,42.0,159.0
2025-10-01 11:00:00,22.0,223.0,496.0,2053.0,492.0,471.0,42.0,159.0
2025-10-01 12:00:00,22.0,239.0,515.0,2088.0,494.0,539.0,42.0,159.0
2025-10-01 13:00:00,22.0,249.0,530.0,2097.0,518.0,554.0,42.0,159.0
2025-10-01 14:00:00,22.0,266.0,540.0,2129.0,529.0,572.0,42.0,159.0
2025-10-01 15:00:00,22.0,280.0,544.0,2134.0,530.0,572.0,42.0,159.0
2025-10-01 16:00:00,22.0,297.0,557.0,2179.0,531.0,588.0,42.0,159.0
2025-10-01 17:00:00,22.0,328.0,560.0,2224.0,531.0,605.0,42.0,159.0
2025-10-01 18:00:00,22.0,348.0,574.0,2276.0,530.0,604.0,42.0,160.0
2025-10-01 19:00:00,22.0,365.0,574.0,2390.0,529.0,601.0,42.0,160.0
2025-10-01 20:00:00,22.0,370.0,574.0,2496.0,528.0,605.0,42.0,160.0
2025-10-01 21:00:00,22.0,375.0,587.0,2519.0,526.0,604.0,42.0,160.0
2025-10-01 22:00:00,22.0,377.0,588.0,2525.0,529.0,622.0,42.0,160.0
2025-10-01 23:00:00,22.0,380.0,589.0,2565.0,529.0,625.0,42.0,160.0
