date,12.7x55mm PD12双头弹,12.7x55mm PS12,12.7x55mm PS12A,12.7x55mm PS12B
2025-09-08 20:00:00,2892.0,2197.0,440.0,5323.0
2025-09-08 21:00:00,2892.0,2197.0,440.0,5503.0
2025-09-08 22:00:00,2892.0,2197.0,449.0,5683.0
2025-09-08 23:00:00,2967.0,2155.0,432.0,5593.0
2025-09-09 00:00:00,2867.0,2091.0,449.0,5368.0
2025-09-09 01:00:00,2867.0,2133.0,449.0,5548.0
2025-09-09 02:00:00,2892.0,2197.0,449.0,5593.0
2025-09-09 03:00:00,2892.0,2112.0,432.0,5503.0
2025-09-09 04:00:00,2867.0,2112.0,432.0,5593.0
2025-09-09 05:00:00,2817.0,2133.0,414.0,5548.0
2025-09-09 06:00:00,2817.0,2197.0,449.0,5413.0
2025-09-09 07:00:00,2792.0,2197.0,414.0,5368.0
2025-09-09 08:00:00,2667.0,2218.0,475.0,5503.0
2025-09-09 09:00:00,2742.0,2070.0,449.0,5413.0
2025-09-09 10:00:00,2817.0,2133.0,423.0,5323.0
2025-09-09 11:00:00,2767.0,2112.0,414.0,5188.0
2025-09-09 12:00:00,2767.0,2218.0,475.0,5323.0
2025-09-09 13:00:00,2867.0,2176.0,432.0,5413.0
2025-09-09 14:00:00,2867.0,2091.0,467.0,5503.0
2025-09-09 15:00:00,2867.0,2155.0,449.0,5008.0
2025-09-09 16:00:00,2867.0,2197.0,414.0,5683.0
2025-09-09 17:00:00,2867.0,2070.0,414.0,5638.0
2025-09-09 18:00:00,2867.0,2027.0,414.0,5413.0
2025-09-09 19:00:00,2767.0,2027.0,414.0,5458.0
2025-09-09 20:00:00,2867.0,2112.0,414.0,5503.0
2025-09-09 21:00:00,2867.0,2112.0,432.0,5548.0
2025-09-09 22:00:00,2892.0,2133.0,423.0,5683.0
2025-09-09 23:00:00,2867.0,2027.0,414.0,5503.0
2025-09-10 00:00:00,2867.0,2048.0,440.0,5503.0
2025-09-10 01:00:00,2867.0,2027.0,423.0,5638.0
2025-09-10 02:00:00,2767.0,2133.0,414.0,5638.0
2025-09-10 03:00:00,2792.0,2091.0,414.0,5593.0
2025-09-10 04:00:00,2742.0,1985.0,449.0,5638.0
2025-09-10 05:00:00,2792.0,2070.0,423.0,5458.0
2025-09-10 06:00:00,2617.0,2048.0,440.0,5368.0
2025-09-10 07:00:00,2742.0,1942.0,414.0,5548.0
2025-09-10 08:00:00,2717.0,2006.0,449.0,5188.0
2025-09-10 09:00:00,2717.0,2027.0,414.0,5368.0
2025-09-10 10:00:00,2767.0,2048.0,440.0,5233.0
2025-09-10 11:00:00,2842.0,2027.0,449.0,5368.0
2025-09-10 12:00:00,2767.0,2027.0,449.0,5503.0
2025-09-10 13:00:00,2867.0,2112.0,414.0,5458.0
2025-09-10 14:00:00,2842.0,2070.0,432.0,5458.0
2025-09-10 15:00:00,2817.0,2070.0,423.0,5593.0
2025-09-10 16:00:00,2892.0,2197.0,449.0,5503.0
2025-09-10 17:00:00,2967.0,2027.0,414.0,5503.0
2025-09-10 18:00:00,2942.0,2112.0,414.0,5278.0
2025-09-10 19:00:00,2742.0,2048.0,449.0,5503.0
2025-09-10 20:00:00,2867.0,2176.0,467.0,5323.0
2025-09-10 21:00:00,2917.0,2155.0,432.0,5413.0
2025-09-10 22:00:00,2967.0,2091.0,449.0,5683.0
2025-09-10 23:00:00,2967.0,2048.0,414.0,5548.0
2025-09-11 00:00:00,2867.0,2048.0,414.0,5683.0
2025-09-11 01:00:00,2792.0,1985.0,449.0,5683.0
2025-09-11 02:00:00,2867.0,2027.0,414.0,5503.0
2025-09-11 03:00:00,2817.0,2112.0,432.0,5503.0
2025-09-11 04:00:00,2842.0,2027.0,414.0,5413.0
2025-09-11 05:00:00,2842.0,2070.0,423.0,5503.0
2025-09-11 06:00:00,2917.0,2027.0,414.0,5503.0
2025-09-11 07:00:00,2717.0,2027.0,414.0,5368.0
2025-09-11 08:00:00,2592.0,1963.0,440.0,5278.0
2025-09-11 09:00:00,2667.0,2112.0,423.0,5458.0
2025-09-11 10:00:00,2767.0,1942.0,432.0,5368.0
2025-09-11 11:00:00,2717.0,1942.0,458.0,5323.0
2025-09-11 12:00:00,2742.0,2112.0,449.0,5368.0
2025-09-11 13:00:00,2792.0,2027.0,475.0,5413.0
2025-09-11 14:00:00,2817.0,2027.0,449.0,5368.0
2025-09-11 15:00:00,2867.0,2070.0,432.0,5503.0
2025-09-11 16:00:00,2867.0,2091.0,440.0,5323.0
2025-09-11 17:00:00,2917.0,2027.0,449.0,5503.0
2025-09-11 18:00:00,2817.0,2027.0,458.0,5368.0
2025-09-11 19:00:00,2767.0,1985.0,449.0,5323.0
2025-09-11 20:00:00,2817.0,2027.0,449.0,5323.0
2025-09-11 21:00:00,2967.0,2112.0,449.0,5503.0
2025-09-11 22:00:00,2967.0,2133.0,449.0,5683.0
2025-09-11 23:00:00,2967.0,2112.0,423.0,5638.0
2025-09-12 00:00:00,2867.0,2027.0,449.0,5593.0
2025-09-12 01:00:00,2817.0,2027.0,440.0,5548.0
2025-09-12 02:00:00,2867.0,2027.0,432.0,5638.0
2025-09-12 03:00:00,2717.0,2006.0,414.0,5503.0
2025-09-12 04:00:00,2767.0,2027.0,423.0,5008.0
2025-09-12 05:00:00,2667.0,2048.0,440.0,5458.0
2025-09-12 06:00:00,2767.0,1942.0,432.0,5458.0
2025-09-12 07:00:00,2717.0,1942.0,467.0,5368.0
2025-09-12 08:00:00,2692.0,1985.0,432.0,5458.0
2025-09-12 09:00:00,2667.0,1878.0,449.0,5323.0
2025-09-12 10:00:00,2642.0,1921.0,423.0,5323.0
2025-09-12 11:00:00,2742.0,1942.0,414.0,5548.0
2025-09-12 12:00:00,2667.0,2006.0,449.0,5188.0
2025-09-12 13:00:00,2767.0,2048.0,432.0,5503.0
2025-09-12 14:00:00,2867.0,2006.0,440.0,5323.0
2025-09-12 15:00:00,2867.0,2027.0,423.0,5548.0
2025-09-12 16:00:00,2867.0,2112.0,449.0,5503.0
2025-09-12 17:00:00,2867.0,1985.0,449.0,5233.0
2025-09-12 18:00:00,2867.0,2027.0,449.0,5323.0
2025-09-12 19:00:00,2717.0,2070.0,449.0,5548.0
2025-09-12 20:00:00,2867.0,2048.0,432.0,5683.0
2025-09-12 21:00:00,2967.0,2133.0,458.0,5683.0
2025-09-12 22:00:00,2917.0,2112.0,458.0,5683.0
2025-09-12 23:00:00,2967.0,2176.0,449.0,5638.0
2025-09-13 00:00:00,2967.0,2027.0,423.0,5548.0
2025-09-13 01:00:00,2967.0,2048.0,414.0,5503.0
2025-09-13 02:00:00,2917.0,2027.0,484.0,5683.0
2025-09-13 03:00:00,2892.0,2006.0,449.0,5638.0
2025-09-13 04:00:00,2767.0,2027.0,484.0,5683.0
2025-09-13 05:00:00,2842.0,2070.0,432.0,5548.0
2025-09-13 06:00:00,2817.0,2006.0,423.0,5593.0
2025-09-13 07:00:00,2817.0,2112.0,432.0,5503.0
2025-09-13 08:00:00,2817.0,2027.0,475.0,5323.0
2025-09-13 09:00:00,2892.0,2197.0,502.0,5593.0
2025-09-13 10:00:00,2942.0,2388.0,493.0,5683.0
2025-09-13 11:00:00,2892.0,2431.0,484.0,5593.0
2025-09-13 12:00:00,2967.0,2367.0,467.0,5413.0
2025-09-13 13:00:00,2967.0,2388.0,458.0,5458.0
2025-09-13 14:00:00,2967.0,2303.0,458.0,5683.0
2025-09-13 15:00:00,2967.0,2367.0,484.0,5683.0
2025-09-13 16:00:00,2967.0,2325.0,467.0,5728.0
2025-09-13 17:00:00,2967.0,2367.0,484.0,5818.0
2025-09-13 18:00:00,2867.0,2133.0,484.0,5683.0
2025-09-13 19:00:00,2867.0,2112.0,449.0,5503.0
2025-09-13 20:00:00,2867.0,2240.0,467.0,5503.0
2025-09-13 21:00:00,2942.0,2261.0,458.0,5593.0
2025-09-13 22:00:00,2892.0,2218.0,484.0,5683.0
2025-09-13 23:00:00,2967.0,2176.0,475.0,5683.0
2025-09-14 00:00:00,2967.0,2112.0,449.0,5683.0
2025-09-14 01:00:00,2967.0,2112.0,484.0,5773.0
2025-09-14 02:00:00,2892.0,2112.0,475.0,5818.0
2025-09-14 03:00:00,2967.0,2112.0,467.0,5683.0
2025-09-14 04:00:00,2942.0,2027.0,493.0,5683.0
2025-09-14 05:00:00,2842.0,2133.0,449.0,5683.0
2025-09-14 06:00:00,2642.0,2155.0,475.0,5593.0
2025-09-14 07:00:00,2867.0,2176.0,467.0,5413.0
2025-09-14 08:00:00,2842.0,2282.0,475.0,5683.0
2025-09-14 09:00:00,2942.0,2091.0,484.0,5503.0
2025-09-14 10:00:00,2967.0,2367.0,484.0,5503.0
2025-09-14 11:00:00,2967.0,2303.0,510.0,5503.0
2025-09-14 12:00:00,2967.0,2155.0,484.0,5503.0
2025-09-14 13:00:00,2967.0,2282.0,519.0,5503.0
2025-09-14 14:00:00,2967.0,2346.0,458.0,5593.0
2025-09-14 15:00:00,2942.0,2303.0,484.0,5683.0
2025-09-14 16:00:00,2967.0,2240.0,467.0,5773.0
2025-09-14 17:00:00,2892.0,2176.0,458.0,5593.0
2025-09-14 18:00:00,2867.0,2048.0,449.0,5638.0
2025-09-14 19:00:00,2767.0,2091.0,449.0,5503.0
2025-09-14 20:00:00,2867.0,2176.0,458.0,5638.0
2025-09-14 21:00:00,2967.0,2282.0,467.0,5593.0
2025-09-14 22:00:00,2967.0,2176.0,449.0,5548.0
2025-09-14 23:00:00,2967.0,2070.0,449.0,5683.0
2025-09-15 00:00:00,2892.0,2112.0,423.0,5683.0
2025-09-15 01:00:00,2967.0,2048.0,414.0,5863.0
2025-09-15 02:00:00,2942.0,2027.0,475.0,5683.0
2025-09-15 03:00:00,2892.0,2027.0,449.0,5638.0
2025-09-15 04:00:00,2817.0,2006.0,458.0,5548.0
2025-09-15 05:00:00,2867.0,1963.0,502.0,5548.0
2025-09-15 06:00:00,2642.0,2112.0,449.0,5683.0
2025-09-15 07:00:00,2817.0,1985.0,414.0,5413.0
2025-09-15 08:00:00,2717.0,1985.0,449.0,5413.0
2025-09-15 09:00:00,2667.0,2027.0,449.0,5413.0
2025-09-15 10:00:00,2867.0,2048.0,449.0,5278.0
2025-09-15 11:00:00,2817.0,2027.0,432.0,5143.0
2025-09-15 12:00:00,2742.0,2006.0,467.0,5368.0
2025-09-15 13:00:00,2867.0,2112.0,458.0,5458.0
2025-09-15 14:00:00,2917.0,1963.0,414.0,5638.0
2025-09-15 15:00:00,2967.0,2112.0,414.0,5593.0
2025-09-15 16:00:00,2967.0,2048.0,440.0,5683.0
2025-09-15 17:00:00,2917.0,2048.0,414.0,5593.0
2025-09-15 18:00:00,2967.0,2091.0,423.0,5503.0
2025-09-15 19:00:00,2967.0,1963.0,423.0,5368.0
2025-09-15 20:00:00,2892.0,2112.0,467.0,5548.0
2025-09-15 21:00:00,2967.0,2240.0,484.0,5683.0
2025-09-15 22:00:00,3042.0,2261.0,449.0,5683.0
2025-09-15 23:00:00,3042.0,2261.0,449.0,5638.0
2025-09-16 00:00:00,3067.0,2091.0,467.0,5863.0
2025-09-16 01:00:00,3042.0,2027.0,467.0,5683.0
2025-09-16 02:00:00,2967.0,2027.0,467.0,5683.0
2025-09-16 03:00:00,2967.0,2282.0,414.0,5773.0
2025-09-16 04:00:00,2892.0,2218.0,414.0,5593.0
2025-09-16 05:00:00,2792.0,1942.0,502.0,5683.0
2025-09-16 06:00:00,2967.0,2282.0,414.0,5413.0
2025-09-16 07:00:00,2817.0,2303.0,423.0,5503.0
2025-09-16 08:00:00,2817.0,2027.0,449.0,5323.0
2025-09-16 09:00:00,2817.0,1942.0,440.0,5458.0
2025-09-16 10:00:00,2817.0,1985.0,449.0,5323.0
2025-09-16 11:00:00,2692.0,2091.0,414.0,5458.0
2025-09-16 12:00:00,2867.0,1942.0,449.0,5458.0
2025-09-16 13:00:00,2867.0,2133.0,449.0,5323.0
2025-09-16 14:00:00,2967.0,2155.0,432.0,5323.0
2025-09-16 15:00:00,2967.0,2027.0,467.0,5503.0
2025-09-16 16:00:00,2892.0,2070.0,440.0,5638.0
2025-09-16 17:00:00,2967.0,2027.0,449.0,5638.0
2025-09-16 18:00:00,2892.0,1942.0,475.0,5503.0
2025-09-16 19:00:00,2942.0,2197.0,449.0,5278.0
2025-09-16 20:00:00,3067.0,2282.0,475.0,5683.0
2025-09-16 21:00:00,3067.0,2367.0,510.0,5728.0
2025-09-16 22:00:00,3167.0,2325.0,484.0,5818.0
2025-09-16 23:00:00,3167.0,2282.0,484.0,5683.0
2025-09-17 00:00:00,3067.0,2133.0,458.0,5773.0
2025-09-17 01:00:00,3117.0,2261.0,458.0,5683.0
2025-09-17 02:00:00,3167.0,2112.0,449.0,5683.0
2025-09-17 03:00:00,3167.0,2112.0,449.0,5683.0
2025-09-17 04:00:00,3042.0,2112.0,449.0,5593.0
2025-09-17 05:00:00,3167.0,2367.0,519.0,5503.0
2025-09-17 06:00:00,3167.0,2325.0,502.0,5683.0
2025-09-17 07:00:00,2992.0,2367.0,449.0,5323.0
2025-09-17 08:00:00,2767.0,2112.0,449.0,5323.0
