date,5.56x45mm FMJ,5.56x45mm M855,5.56x45mm M855A1,5.56x45mm M995,5.56x45mm RRLP
2025-09-08 20:00:00,69.0,376.0,1671.0,3887.0,32.0
2025-09-08 21:00:00,69.0,376.0,1671.0,3903.0,32.0
2025-09-08 22:00:00,69.0,376.0,1701.0,3936.0,32.0
2025-09-08 23:00:00,69.0,376.0,1701.0,3952.0,32.0
2025-09-09 00:00:00,69.0,331.0,1559.0,3952.0,32.0
2025-09-09 01:00:00,69.0,346.0,1551.0,3952.0,32.0
2025-09-09 02:00:00,69.0,346.0,1551.0,3952.0,32.0
2025-09-09 03:00:00,69.0,331.0,1611.0,3952.0,32.0
2025-09-09 04:00:00,69.0,324.0,1611.0,3920.0,32.0
2025-09-09 05:00:00,69.0,331.0,1611.0,4017.0,32.0
2025-09-09 06:00:00,69.0,320.0,1589.0,4017.0,32.0
2025-09-09 07:00:00,69.0,320.0,1589.0,3855.0,32.0
2025-09-09 08:00:00,69.0,316.0,1611.0,3741.0,32.0
2025-09-09 09:00:00,69.0,346.0,1611.0,3790.0,32.0
2025-09-09 10:00:00,69.0,346.0,1611.0,3822.0,32.0
2025-09-09 11:00:00,69.0,346.0,1611.0,3822.0,32.0
2025-09-09 12:00:00,69.0,342.0,1611.0,3822.0,32.0
2025-09-09 13:00:00,69.0,361.0,1611.0,3822.0,32.0
2025-09-09 14:00:00,69.0,361.0,1611.0,3790.0,32.0
2025-09-09 15:00:00,69.0,361.0,1626.0,3887.0,32.0
2025-09-09 16:00:00,69.0,361.0,1641.0,3952.0,32.0
2025-09-09 17:00:00,69.0,361.0,1641.0,3968.0,32.0
2025-09-09 18:00:00,69.0,361.0,1671.0,3985.0,32.0
2025-09-09 19:00:00,69.0,361.0,1671.0,3903.0,32.0
2025-09-09 20:00:00,69.0,365.0,1679.0,3903.0,32.0
2025-09-09 21:00:00,69.0,376.0,1701.0,3952.0,32.0
2025-09-09 22:00:00,69.0,376.0,1701.0,3952.0,32.0
2025-09-09 23:00:00,69.0,376.0,1701.0,3952.0,32.0
2025-09-10 00:00:00,69.0,361.0,1694.0,3903.0,32.0
2025-09-10 01:00:00,69.0,361.0,1521.0,3920.0,32.0
2025-09-10 02:00:00,69.0,361.0,1544.0,3952.0,32.0
2025-09-10 03:00:00,69.0,361.0,1581.0,3952.0,32.0
2025-09-10 04:00:00,69.0,361.0,1581.0,4001.0,32.0
2025-09-10 05:00:00,69.0,346.0,1611.0,4017.0,32.0
2025-09-10 06:00:00,69.0,346.0,1611.0,3985.0,32.0
2025-09-10 07:00:00,69.0,346.0,1611.0,3887.0,32.0
2025-09-10 08:00:00,69.0,346.0,1589.0,3822.0,32.0
2025-09-10 09:00:00,69.0,346.0,1589.0,3725.0,32.0
2025-09-10 10:00:00,69.0,361.0,1611.0,3790.0,32.0
2025-09-10 11:00:00,69.0,361.0,1611.0,3773.0,32.0
2025-09-10 12:00:00,69.0,361.0,1611.0,3822.0,32.0
2025-09-10 13:00:00,69.0,376.0,1611.0,3822.0,32.0
2025-09-10 14:00:00,69.0,376.0,1641.0,3822.0,32.0
2025-09-10 15:00:00,69.0,376.0,1641.0,3952.0,32.0
2025-09-10 16:00:00,69.0,376.0,1664.0,3952.0,32.0
2025-09-10 17:00:00,69.0,376.0,1671.0,4017.0,32.0
2025-09-10 18:00:00,69.0,376.0,1671.0,4001.0,32.0
2025-09-10 19:00:00,69.0,432.0,1671.0,3887.0,32.0
2025-09-10 20:00:00,69.0,436.0,1686.0,3887.0,32.0
2025-09-10 21:00:00,69.0,451.0,1701.0,3920.0,32.0
2025-09-10 22:00:00,69.0,451.0,1701.0,3952.0,32.0
2025-09-10 23:00:00,69.0,436.0,1731.0,3952.0,32.0
2025-09-11 00:00:00,69.0,406.0,1566.0,3952.0,32.0
2025-09-11 01:00:00,69.0,406.0,1581.0,3952.0,32.0
2025-09-11 02:00:00,69.0,406.0,1581.0,3952.0,32.0
2025-09-11 03:00:00,69.0,391.0,1611.0,4017.0,32.0
2025-09-11 04:00:00,69.0,365.0,1611.0,4017.0,32.0
2025-09-11 05:00:00,69.0,376.0,1611.0,4017.0,32.0
2025-09-11 06:00:00,69.0,391.0,1589.0,4001.0,32.0
2025-09-11 07:00:00,69.0,391.0,1566.0,3855.0,32.0
2025-09-11 08:00:00,69.0,391.0,1611.0,3822.0,32.0
2025-09-11 09:00:00,69.0,391.0,1611.0,3757.0,32.0
2025-09-11 10:00:00,69.0,391.0,1596.0,3822.0,32.0
2025-09-11 11:00:00,69.0,406.0,1626.0,3790.0,32.0
2025-09-11 12:00:00,69.0,406.0,1641.0,3822.0,32.0
2025-09-11 13:00:00,69.0,421.0,1619.0,3806.0,32.0
2025-09-11 14:00:00,69.0,421.0,1641.0,3822.0,32.0
2025-09-11 15:00:00,69.0,421.0,1641.0,3855.0,32.0
2025-09-11 16:00:00,69.0,421.0,1671.0,3952.0,32.0
2025-09-11 17:00:00,69.0,421.0,1671.0,3952.0,32.0
2025-09-11 18:00:00,69.0,421.0,1671.0,3952.0,32.0
2025-09-11 19:00:00,69.0,421.0,1701.0,3855.0,32.0
2025-09-11 20:00:00,69.0,436.0,1701.0,3855.0,32.0
2025-09-11 21:00:00,69.0,447.0,1701.0,3887.0,32.0
2025-09-11 22:00:00,69.0,451.0,1731.0,3936.0,32.0
2025-09-11 23:00:00,69.0,451.0,1731.0,3952.0,32.0
2025-09-12 00:00:00,69.0,369.0,1596.0,3903.0,32.0
2025-09-12 01:00:00,69.0,346.0,1544.0,3952.0,32.0
2025-09-12 02:00:00,69.0,346.0,1551.0,3952.0,32.0
2025-09-12 03:00:00,69.0,346.0,1536.0,3952.0,32.0
2025-09-12 04:00:00,69.0,346.0,1581.0,3903.0,32.0
2025-09-12 05:00:00,69.0,346.0,1559.0,3952.0,32.0
2025-09-12 06:00:00,69.0,346.0,1566.0,3887.0,32.0
2025-09-12 07:00:00,69.0,335.0,1559.0,3806.0,32.0
2025-09-12 08:00:00,69.0,331.0,1581.0,3773.0,32.0
2025-09-12 09:00:00,69.0,342.0,1581.0,3773.0,32.0
