date,5.8x42mm DBP10,5.8x42mm DBP87,5.8x42mm DVC12,5.8x42mm DVP88
2025-09-08 21:00:00,1813.0,93.0,4025.0,313.0
2025-09-08 22:00:00,1813.0,93.0,4025.0,302.0
2025-09-08 23:00:00,1831.0,93.0,4025.0,306.0
2025-09-09 00:00:00,1787.0,93.0,4025.0,302.0
2025-09-09 01:00:00,1743.0,93.0,4095.0,313.0
2025-09-09 02:00:00,1743.0,93.0,4095.0,309.0
2025-09-09 03:00:00,1761.0,93.0,4095.0,306.0
2025-09-09 04:00:00,1778.0,93.0,4130.0,298.0
2025-09-09 05:00:00,1769.0,93.0,4253.0,298.0
2025-09-09 06:00:00,1752.0,93.0,4095.0,283.0
2025-09-09 07:00:00,1717.0,93.0,3955.0,298.0
2025-09-09 08:00:00,1734.0,93.0,3815.0,298.0
2025-09-09 09:00:00,1708.0,93.0,3868.0,313.0
2025-09-09 10:00:00,1708.0,93.0,3885.0,313.0
2025-09-09 11:00:00,1726.0,93.0,3885.0,298.0
2025-09-09 12:00:00,1743.0,93.0,3885.0,309.0
2025-09-09 13:00:00,1752.0,93.0,3885.0,306.0
2025-09-09 14:00:00,1778.0,93.0,3903.0,298.0
2025-09-09 15:00:00,1778.0,93.0,4025.0,298.0
2025-09-09 16:00:00,1813.0,93.0,4165.0,298.0
2025-09-09 17:00:00,1804.0,93.0,4165.0,298.0
2025-09-09 18:00:00,1778.0,93.0,4095.0,298.0
2025-09-09 19:00:00,1778.0,93.0,4025.0,298.0
2025-09-09 20:00:00,1778.0,93.0,4025.0,298.0
2025-09-09 21:00:00,1813.0,93.0,4025.0,313.0
2025-09-09 22:00:00,1813.0,93.0,4025.0,306.0
2025-09-09 23:00:00,1813.0,93.0,4025.0,291.0
2025-09-10 00:00:00,1804.0,93.0,4025.0,298.0
2025-09-10 01:00:00,1682.0,93.0,4078.0,313.0
2025-09-10 02:00:00,1726.0,93.0,4165.0,313.0
2025-09-10 03:00:00,1717.0,93.0,4218.0,302.0
2025-09-10 04:00:00,1752.0,93.0,4358.0,298.0
2025-09-10 05:00:00,1752.0,93.0,4515.0,298.0
2025-09-10 06:00:00,1769.0,93.0,4410.0,298.0
2025-09-10 07:00:00,1708.0,93.0,3903.0,283.0
2025-09-10 08:00:00,1708.0,93.0,3885.0,298.0
2025-09-10 09:00:00,1708.0,93.0,3850.0,298.0
2025-09-10 10:00:00,1708.0,93.0,3868.0,298.0
2025-09-10 11:00:00,1708.0,93.0,3868.0,302.0
2025-09-10 12:00:00,1752.0,93.0,3885.0,313.0
2025-09-10 13:00:00,1778.0,93.0,3885.0,313.0
2025-09-10 14:00:00,1778.0,93.0,3973.0,313.0
2025-09-10 15:00:00,1778.0,93.0,4130.0,313.0
