date,7.62x39mm AP,7.62x39mm BP,7.62x39mm LP,7.62x39mm PS,7.62x39mm T45M
2025-09-08 21:00:00,3921.0,1646.0,42.0,491.0,100.0
2025-09-08 22:00:00,3921.0,1646.0,42.0,487.0,100.0
2025-09-08 23:00:00,3884.0,1629.0,42.0,469.0,100.0
2025-09-09 00:00:00,3902.0,1576.0,42.0,431.0,100.0
2025-09-09 01:00:00,3865.0,1585.0,42.0,431.0,100.0
2025-09-09 02:00:00,3865.0,1611.0,42.0,416.0,100.0
2025-09-09 03:00:00,3921.0,1550.0,42.0,409.0,100.0
2025-09-09 04:00:00,3827.0,1567.0,42.0,424.0,100.0
2025-09-09 05:00:00,3809.0,1602.0,42.0,405.0,100.0
2025-09-09 06:00:00,3846.0,1594.0,42.0,401.0,100.0
2025-09-09 07:00:00,3865.0,1585.0,42.0,401.0,100.0
2025-09-09 08:00:00,3771.0,1594.0,42.0,394.0,100.0
2025-09-09 09:00:00,3752.0,1602.0,42.0,431.0,100.0
2025-09-09 10:00:00,3884.0,1611.0,42.0,420.0,100.0
2025-09-09 11:00:00,3921.0,1611.0,42.0,431.0,100.0
2025-09-09 12:00:00,3884.0,1611.0,42.0,427.0,100.0
2025-09-09 13:00:00,3865.0,1611.0,42.0,457.0,100.0
2025-09-09 14:00:00,3865.0,1611.0,42.0,461.0,100.0
2025-09-09 15:00:00,3884.0,1611.0,42.0,461.0,100.0
2025-09-09 16:00:00,3846.0,1611.0,42.0,454.0,100.0
2025-09-09 17:00:00,3790.0,1611.0,42.0,446.0,100.0
2025-09-09 18:00:00,3809.0,1611.0,42.0,446.0,100.0
2025-09-09 19:00:00,3790.0,1611.0,42.0,446.0,100.0
2025-09-09 20:00:00,3846.0,1611.0,42.0,446.0,100.0
2025-09-09 21:00:00,3846.0,1611.0,42.0,454.0,100.0
2025-09-09 22:00:00,3827.0,1611.0,42.0,461.0,100.0
2025-09-09 23:00:00,3846.0,1611.0,42.0,439.0,100.0
2025-09-10 00:00:00,3846.0,1602.0,42.0,431.0,100.0
2025-09-10 01:00:00,3809.0,1594.0,42.0,431.0,100.0
2025-09-10 02:00:00,3846.0,1611.0,42.0,431.0,100.0
2025-09-10 03:00:00,3846.0,1576.0,42.0,420.0,100.0
2025-09-10 04:00:00,3790.0,1541.0,42.0,416.0,100.0
2025-09-10 05:00:00,3790.0,1524.0,42.0,401.0,100.0
2025-09-10 06:00:00,3809.0,1541.0,42.0,420.0,100.0
2025-09-10 07:00:00,3696.0,1559.0,42.0,401.0,100.0
2025-09-10 08:00:00,3715.0,1532.0,42.0,397.0,100.0
2025-09-10 09:00:00,3846.0,1559.0,42.0,416.0,100.0
2025-09-10 10:00:00,3884.0,1594.0,42.0,431.0,100.0
2025-09-10 11:00:00,3865.0,1611.0,42.0,431.0,100.0
2025-09-10 12:00:00,3884.0,1611.0,42.0,439.0,100.0
2025-09-10 13:00:00,3790.0,1611.0,42.0,461.0,100.0
2025-09-10 14:00:00,3790.0,1611.0,42.0,476.0,100.0
2025-09-10 15:00:00,3846.0,1611.0,42.0,484.0,100.0
2025-09-10 16:00:00,3884.0,1611.0,42.0,480.0,100.0
2025-09-10 17:00:00,3865.0,1611.0,42.0,491.0,100.0
2025-09-10 18:00:00,3902.0,1611.0,42.0,491.0,100.0
2025-09-10 19:00:00,3827.0,1611.0,42.0,491.0,100.0
2025-09-10 20:00:00,3902.0,1611.0,42.0,506.0,100.0
2025-09-10 21:00:00,3865.0,1646.0,42.0,521.0,100.0
2025-09-10 22:00:00,3865.0,1646.0,42.0,521.0,100.0
2025-09-10 23:00:00,3846.0,1672.0,42.0,521.0,100.0
2025-09-11 00:00:00,3921.0,1611.0,42.0,476.0,100.0
2025-09-11 01:00:00,3884.0,1629.0,42.0,476.0,100.0
2025-09-11 02:00:00,3809.0,1646.0,42.0,446.0,100.0
