date,7.62x54R BT,7.62x54R LPS,7.62x54R T46M
2025-09-08 21:00:00,4054.0,1850.0,382.0
2025-09-08 22:00:00,4054.0,1890.0,377.0
2025-09-08 23:00:00,4054.0,1870.0,362.0
2025-09-09 00:00:00,4024.0,1820.0,362.0
2025-09-09 01:00:00,4054.0,1810.0,347.0
2025-09-09 02:00:00,4084.0,1810.0,342.0
2025-09-09 03:00:00,4174.0,1770.0,342.0
2025-09-09 04:00:00,4174.0,1750.0,327.0
2025-09-09 05:00:00,4174.0,1650.0,332.0
2025-09-09 06:00:00,4084.0,1700.0,322.0
2025-09-09 07:00:00,3964.0,1730.0,347.0
2025-09-09 08:00:00,3994.0,1700.0,342.0
2025-09-09 09:00:00,3904.0,1720.0,327.0
2025-09-09 10:00:00,3934.0,1660.0,352.0
2025-09-09 11:00:00,3934.0,1700.0,342.0
2025-09-09 12:00:00,3934.0,1690.0,362.0
2025-09-09 13:00:00,4024.0,1730.0,362.0
2025-09-09 14:00:00,4024.0,1720.0,357.0
2025-09-09 15:00:00,4054.0,1700.0,342.0
2025-09-09 16:00:00,4054.0,1730.0,327.0
2025-09-09 17:00:00,4054.0,1720.0,337.0
2025-09-09 18:00:00,4054.0,1710.0,322.0
2025-09-09 19:00:00,4054.0,1690.0,362.0
2025-09-09 20:00:00,4054.0,1710.0,362.0
2025-09-09 21:00:00,4054.0,1730.0,362.0
2025-09-09 22:00:00,4024.0,1720.0,347.0
2025-09-09 23:00:00,4054.0,1710.0,322.0
2025-09-10 00:00:00,4054.0,1730.0,322.0
2025-09-10 01:00:00,4054.0,1730.0,352.0
2025-09-10 02:00:00,4054.0,1670.0,337.0
2025-09-10 03:00:00,4144.0,1700.0,357.0
2025-09-10 04:00:00,4144.0,1620.0,327.0
2025-09-10 05:00:00,4234.0,1680.0,327.0
2025-09-10 06:00:00,4204.0,1670.0,332.0
2025-09-10 07:00:00,4114.0,1650.0,322.0
2025-09-10 08:00:00,3664.0,1670.0,337.0
2025-09-10 09:00:00,3814.0,1650.0,342.0
2025-09-10 10:00:00,3904.0,1680.0,342.0
2025-09-10 11:00:00,3844.0,1650.0,342.0
2025-09-10 12:00:00,3934.0,1690.0,352.0
2025-09-10 13:00:00,3994.0,1730.0,357.0
2025-09-10 14:00:00,4054.0,1720.0,362.0
2025-09-10 15:00:00,3994.0,1710.0,352.0
2025-09-10 16:00:00,3934.0,1690.0,332.0
2025-09-10 17:00:00,4054.0,1710.0,342.0
2025-09-10 18:00:00,3964.0,1680.0,362.0
2025-09-10 19:00:00,3844.0,1680.0,362.0
2025-09-10 20:00:00,4054.0,1690.0,362.0
2025-09-10 21:00:00,4054.0,1730.0,382.0
2025-09-10 22:00:00,4054.0,1730.0,402.0
2025-09-10 23:00:00,4054.0,1720.0,387.0
2025-09-11 00:00:00,4054.0,1690.0,377.0
2025-09-11 01:00:00,4054.0,1700.0,382.0
2025-09-11 02:00:00,3994.0,1680.0,372.0
2025-09-11 03:00:00,4084.0,1640.0,352.0
2025-09-11 04:00:00,4174.0,1670.0,352.0
2025-09-11 05:00:00,4084.0,1630.0,352.0
2025-09-11 06:00:00,4114.0,1590.0,322.0
2025-09-11 07:00:00,3904.0,1670.0,362.0
2025-09-11 08:00:00,3964.0,1660.0,362.0
2025-09-11 09:00:00,3844.0,1660.0,382.0
2025-09-11 10:00:00,3874.0,1690.0,352.0
2025-09-11 11:00:00,3874.0,1650.0,352.0
2025-09-11 12:00:00,3934.0,1670.0,347.0
2025-09-11 13:00:00,3904.0,1730.0,392.0
2025-09-11 14:00:00,3934.0,1700.0,377.0
2025-09-11 15:00:00,3994.0,1730.0,372.0
2025-09-11 16:00:00,4054.0,1720.0,382.0
2025-09-11 17:00:00,4084.0,1720.0,362.0
2025-09-11 18:00:00,4054.0,1680.0,382.0
