时间戳,时间,均价,数据类型
1765252800000,2025-12-09 12:00:00,379,sampled
1765263600000,2025-12-09 15:00:00,381,sampled
1765274400000,2025-12-09 18:00:00,378,sampled
1765285200000,2025-12-09 21:00:00,379,sampled
1765296000000,2025-12-10 00:00:00,379,sampled
1765306800000,2025-12-10 03:00:00,377,sampled
1765317600000,2025-12-10 06:00:00,376,sampled
1765328400000,2025-12-10 09:00:00,376,sampled
1765337400000,2025-12-10 11:30:00,378,sampled
1765350000000,2025-12-10 15:00:00,381,sampled
1765360800000,2025-12-10 18:00:00,378,sampled
1765371600000,2025-12-10 21:00:00,379,sampled
1766064600000,2025-12-18 21:30:00,379,sampled
1766073600000,2025-12-19 00:00:00,380,sampled
1766082600000,2025-12-19 02:30:00,378,sampled
1766095200000,2025-12-19 06:00:00,376,sampled
1766106000000,2025-12-19 09:00:00,366,sampled
1766116800000,2025-12-19 12:00:00,376,sampled
1766127600000,2025-12-19 15:00:00,380,sampled
1766138400000,2025-12-19 18:00:00,377,sampled
1766149200000,2025-12-19 21:00:00,381,sampled
1766160000000,2025-12-20 00:00:00,381,sampled
1766170800000,2025-12-20 03:00:00,379,sampled
1766181600000,2025-12-20 06:00:00,379,sampled
1766192400000,2025-12-20 09:00:00,380,sampled
1766203200000,2025-12-20 12:00:00,385,sampled
1766214000000,2025-12-20 15:00:00,384,sampled
1766224800000,2025-12-20 18:00:00,397,sampled
1766235600000,2025-12-20 21:00:00,483,sampled
1766246400000,2025-12-21 00:00:00,481,sampled
1766257200000,2025-12-21 03:00:00,397,sampled
1766268000000,2025-12-21 06:00:00,389,sampled
1766278800000,2025-12-21 09:00:00,390,sampled
1766289600000,2025-12-21 12:00:00,444,sampled
1766300400000,2025-12-21 15:00:00,486,sampled
1766311200000,2025-12-21 18:00:00,498,sampled
1766322000000,2025-12-21 21:00:00,482,sampled
1766332800000,2025-12-22 00:00:00,446,sampled
1766343600000,2025-12-22 03:00:00,377,sampled
1766354400000,2025-12-22 06:00:00,378,sampled
1766365200000,2025-12-22 09:00:00,376,sampled
1766376000000,2025-12-22 12:00:00,378,sampled
1766386800000,2025-12-22 15:00:00,381,sampled
1766397600000,2025-12-22 18:00:00,377,sampled
1766408400000,2025-12-22 21:00:00,378,sampled
1766419200000,2025-12-23 00:00:00,379,sampled
1766430000000,2025-12-23 03:00:00,377,sampled
1766440800000,2025-12-23 06:00:00,377,sampled
1766451600000,2025-12-23 09:00:00,376,sampled
1766462400000,2025-12-23 12:00:00,379,sampled
1766473200000,2025-12-23 15:00:00,381,sampled
1766484000000,2025-12-23 18:00:00,377,sampled
1766494800000,2025-12-23 21:00:00,379,sampled
1766505600000,2025-12-24 00:00:00,379,sampled
1766516400000,2025-12-24 03:00:00,378,sampled
1766527200000,2025-12-24 06:00:00,376,sampled
1766538000000,2025-12-24 09:00:00,378,sampled
1766548800000,2025-12-24 12:00:00,380,sampled
1766559600000,2025-12-24 15:00:00,381,sampled
1766570400000,2025-12-24 18:00:00,378,sampled
1766581200000,2025-12-24 21:00:00,386,sampled
1766592000000,2025-12-25 00:00:00,447,sampled
1766602800000,2025-12-25 03:00:00,434,sampled
1766613600000,2025-12-25 06:00:00,441,sampled
1766624400000,2025-12-25 09:00:00,445,sampled
1766635200000,2025-12-25 12:00:00,449,sampled
1766644200000,2025-12-25 14:30:00,431,sampled
1766656800000,2025-12-25 18:00:00,420,sampled
1766667600000,2025-12-25 21:00:00,418,sampled
1766678400000,2025-12-26 00:00:00,436,sampled
1766689200000,2025-12-26 03:00:00,436,sampled
1766700000000,2025-12-26 06:00:00,448,sampled
1766710800000,2025-12-26 09:00:00,436,sampled
1766721600000,2025-12-26 12:00:00,453,sampled
1766732400000,2025-12-26 15:00:00,455,sampled
1766743200000,2025-12-26 18:00:00,453,sampled
1766754000000,2025-12-26 21:00:00,488,sampled
1766764800000,2025-12-27 00:00:00,522,sampled
1766775600000,2025-12-27 03:00:00,464,sampled
1766786400000,2025-12-27 06:00:00,451,sampled
1766797200000,2025-12-27 09:00:00,452,sampled
1766808000000,2025-12-27 12:00:00,499,sampled
1766817000000,2025-12-27 14:30:00,516,sampled
1766829600000,2025-12-27 18:00:00,528,sampled
