时间戳,时间,均价,数据类型
1766473200000,2025-12-23 15:00:00,2100,sampled
1766484000000,2025-12-23 18:00:00,2005,sampled
1766494800000,2025-12-23 21:00:00,2000,sampled
1766505600000,2025-12-24 00:00:00,2037,sampled
1766516400000,2025-12-24 03:00:00,2022,sampled
1766527200000,2025-12-24 06:00:00,2054,sampled
1766538000000,2025-12-24 09:00:00,2018,sampled
1766548800000,2025-12-24 12:00:00,2019,sampled
1766559600000,2025-12-24 15:00:00,2097,sampled
1766570400000,2025-12-24 18:00:00,2056,sampled
1766581200000,2025-12-24 21:00:00,2021,sampled
1766592000000,2025-12-25 00:00:00,2144,sampled
1766602800000,2025-12-25 03:00:00,1935,sampled
1766613600000,2025-12-25 06:00:00,1972,sampled
1766624400000,2025-12-25 09:00:00,1902,sampled
1766635200000,2025-12-25 12:00:00,2036,sampled
1766646000000,2025-12-25 15:00:00,2092,sampled
1766656800000,2025-12-25 18:00:00,2131,sampled
1766667600000,2025-12-25 21:00:00,2082,sampled
1766678400000,2025-12-26 00:00:00,2091,sampled
1766689200000,2025-12-26 03:00:00,2033,sampled
1766698200000,2025-12-26 05:30:00,2063,sampled
1766710800000,2025-12-26 09:00:00,2005,sampled
1766721600000,2025-12-26 12:00:00,2032,sampled
1766732400000,2025-12-26 15:00:00,2026,sampled
1766743200000,2025-12-26 18:00:00,2077,sampled
1766754000000,2025-12-26 21:00:00,2071,sampled
1766764800000,2025-12-27 00:00:00,2160,sampled
1766775600000,2025-12-27 03:00:00,2112,sampled
1766786400000,2025-12-27 06:00:00,2041,sampled
1766797200000,2025-12-27 09:00:00,2061,sampled
1766808000000,2025-12-27 12:00:00,2254,sampled
1766817000000,2025-12-27 14:30:00,2148,sampled
1766829600000,2025-12-27 18:00:00,2179,sampled
1766840400000,2025-12-27 21:00:00,2119,sampled
1766849400000,2025-12-27 23:30:00,2171,sampled
1766862000000,2025-12-28 03:00:00,2118,sampled
1766872800000,2025-12-28 06:00:00,2100,sampled
1766883600000,2025-12-28 09:00:00,2080,sampled
1766894400000,2025-12-28 12:00:00,2370,sampled
