时间戳,时间,均价,数据类型
1766559600000,2025-12-24 15:00:00,1474,sampled
1766570400000,2025-12-24 18:00:00,1478,sampled
1766581200000,2025-12-24 21:00:00,1471,sampled
1766592000000,2025-12-25 00:00:00,1486,sampled
1766602800000,2025-12-25 03:00:00,1479,sampled
1766613600000,2025-12-25 06:00:00,1468,sampled
1766624400000,2025-12-25 09:00:00,1459,sampled
1766635200000,2025-12-25 12:00:00,1462,sampled
1766646000000,2025-12-25 15:00:00,1490,sampled
1766656800000,2025-12-25 18:00:00,1530,sampled
1766667600000,2025-12-25 21:00:00,1499,sampled
1766678400000,2025-12-26 00:00:00,1628,sampled
1766689200000,2025-12-26 03:00:00,1514,sampled
1766700000000,2025-12-26 06:00:00,1525,sampled
1766710800000,2025-12-26 09:00:00,1479,sampled
1766721600000,2025-12-26 12:00:00,1382,sampled
1766732400000,2025-12-26 15:00:00,1392,sampled
1766743200000,2025-12-26 18:00:00,1454,sampled
1766754000000,2025-12-26 21:00:00,1469,sampled
1766764800000,2025-12-27 00:00:00,1811,sampled
1766775600000,2025-12-27 03:00:00,1726,sampled
1766786400000,2025-12-27 06:00:00,1597,sampled
1766797200000,2025-12-27 09:00:00,1573,sampled
1766808000000,2025-12-27 12:00:00,1686,sampled
1766817000000,2025-12-27 14:30:00,1738,sampled
1766829600000,2025-12-27 18:00:00,1995,sampled
1766840400000,2025-12-27 21:00:00,1955,sampled
1766849400000,2025-12-27 23:30:00,2000,sampled
1766862000000,2025-12-28 03:00:00,1789,sampled
1766872800000,2025-12-28 06:00:00,1848,sampled
1766883600000,2025-12-28 09:00:00,1782,sampled
1766894400000,2025-12-28 12:00:00,1810,sampled
1766905200000,2025-12-28 15:00:00,2201,sampled
1766916000000,2025-12-28 18:00:00,2497,sampled
1766926800000,2025-12-28 21:00:00,2057,sampled
1766937600000,2025-12-29 00:00:00,1885,sampled
1766948400000,2025-12-29 03:00:00,1735,sampled
1766959200000,2025-12-29 06:00:00,1740,sampled
1766970000000,2025-12-29 09:00:00,1859,sampled
1766980800000,2025-12-29 12:00:00,1761,sampled
1766989800000,2025-12-29 14:30:00,1698,sampled
1767002400000,2025-12-29 18:00:00,1705,sampled
1767013200000,2025-12-29 21:00:00,1715,sampled
1767024000000,2025-12-30 00:00:00,1692,sampled
1767034800000,2025-12-30 03:00:00,1725,sampled
1767045600000,2025-12-30 06:00:00,1733,sampled
1767054600000,2025-12-30 08:30:00,1775,sampled
1767067200000,2025-12-30 12:00:00,1729,sampled
1767078000000,2025-12-30 15:00:00,1677,sampled
1767088800000,2025-12-30 18:00:00,1613,sampled
1767099600000,2025-12-30 21:00:00,1665,sampled
1767110400000,2025-12-31 00:00:00,1755,sampled
1767121200000,2025-12-31 03:00:00,1783,sampled
1767132000000,2025-12-31 06:00:00,1848,sampled
1767142800000,2025-12-31 09:00:00,1753,sampled
1767153600000,2025-12-31 12:00:00,1818,sampled
1767164400000,2025-12-31 15:00:00,1850,sampled
1767175200000,2025-12-31 18:00:00,1869,sampled
1767186000000,2025-12-31 21:00:00,1910,sampled
1767196800000,2026-01-01 00:00:00,2123,sampled
1767207600000,2026-01-01 03:00:00,1930,sampled
1767218400000,2026-01-01 06:00:00,1804,sampled
1767229200000,2026-01-01 09:00:00,1864,sampled
1767240000000,2026-01-01 12:00:00,2116,sampled
1767250800000,2026-01-01 15:00:00,2191,sampled
