时间戳,时间,均价,数据类型
1766570400000,2025-12-24 18:00:00,4290,sampled
1766581200000,2025-12-24 21:00:00,3808,sampled
1766592000000,2025-12-25 00:00:00,3790,sampled
1766602800000,2025-12-25 03:00:00,4328,sampled
1766613600000,2025-12-25 06:00:00,4383,sampled
1766624400000,2025-12-25 09:00:00,3056,sampled
1766635200000,2025-12-25 12:00:00,4042,sampled
1766646000000,2025-12-25 15:00:00,4075,sampled
1766656800000,2025-12-25 18:00:00,4298,sampled
1766667600000,2025-12-25 21:00:00,3551,sampled
1766678400000,2025-12-26 00:00:00,4441,sampled
1766689200000,2025-12-26 03:00:00,4355,sampled
1766700000000,2025-12-26 06:00:00,4377,sampled
1766710800000,2025-12-26 09:00:00,4174,sampled
1766721600000,2025-12-26 12:00:00,4014,sampled
1766732400000,2025-12-26 15:00:00,3895,sampled
1766743200000,2025-12-26 18:00:00,4329,sampled
1766754000000,2025-12-26 21:00:00,3757,sampled
1766764800000,2025-12-27 00:00:00,3974,sampled
1766775600000,2025-12-27 03:00:00,4233,sampled
1766786400000,2025-12-27 06:00:00,4378,sampled
1766797200000,2025-12-27 09:00:00,4285,sampled
1766808000000,2025-12-27 12:00:00,4240,sampled
1766817000000,2025-12-27 14:30:00,4128,sampled
1766829600000,2025-12-27 18:00:00,4242,sampled
1766840400000,2025-12-27 21:00:00,4181,sampled
1766849400000,2025-12-27 23:30:00,4326,sampled
1766862000000,2025-12-28 03:00:00,4308,sampled
1766872800000,2025-12-28 06:00:00,4332,sampled
1766883600000,2025-12-28 09:00:00,4273,sampled
1766894400000,2025-12-28 12:00:00,4225,sampled
1766905200000,2025-12-28 15:00:00,4155,sampled
1766916000000,2025-12-28 18:00:00,4102,sampled
1766926800000,2025-12-28 21:00:00,3954,sampled
1766937600000,2025-12-29 00:00:00,4037,sampled
1766948400000,2025-12-29 03:00:00,4220,sampled
1766959200000,2025-12-29 06:00:00,4422,sampled
1766970000000,2025-12-29 09:00:00,4236,sampled
1766980800000,2025-12-29 12:00:00,4067,sampled
1766989800000,2025-12-29 14:30:00,4054,sampled
1767002400000,2025-12-29 18:00:00,4032,sampled
1767013200000,2025-12-29 21:00:00,4085,sampled
1767024000000,2025-12-30 00:00:00,4425,sampled
1767034800000,2025-12-30 03:00:00,4301,sampled
1767045600000,2025-12-30 06:00:00,4340,sampled
1767054600000,2025-12-30 08:30:00,4246,sampled
1767067200000,2025-12-30 12:00:00,4089,sampled
1767078000000,2025-12-30 15:00:00,4123,sampled
1767088800000,2025-12-30 18:00:00,4440,sampled
1767099600000,2025-12-30 21:00:00,4120,sampled
1767110400000,2025-12-31 00:00:00,3701,sampled
1767121200000,2025-12-31 03:00:00,4393,sampled
1767132000000,2025-12-31 06:00:00,4419,sampled
1767142800000,2025-12-31 09:00:00,4337,sampled
1767153600000,2025-12-31 12:00:00,4060,sampled
1767164400000,2025-12-31 15:00:00,4160,sampled
1767175200000,2025-12-31 18:00:00,4449,sampled
1767186000000,2025-12-31 21:00:00,4280,sampled
1767196800000,2026-01-01 00:00:00,4007,sampled
1767207600000,2026-01-01 03:00:00,4329,sampled
1767218400000,2026-01-01 06:00:00,4506,sampled
1767229200000,2026-01-01 09:00:00,4286,sampled
1767240000000,2026-01-01 12:00:00,4194,sampled
1767250800000,2026-01-01 15:00:00,4183,sampled
1767261600000,2026-01-01 18:00:00,4543,sampled
1767272400000,2026-01-01 21:00:00,4203,sampled
1767283200000,2026-01-02 00:00:00,4356,sampled
1767294000000,2026-01-02 03:00:00,4194,sampled
1767304800000,2026-01-02 06:00:00,4341,sampled
1767315600000,2026-01-02 09:00:00,4251,sampled
1767326400000,2026-01-02 12:00:00,4116,sampled
1767337200000,2026-01-02 15:00:00,4197,sampled
1767348000000,2026-01-02 18:00:00,4401,sampled
1767358800000,2026-01-02 21:00:00,4322,sampled
1767369600000,2026-01-03 00:00:00,4420,sampled
1767380400000,2026-01-03 03:00:00,4348,sampled
