时间戳,时间,均价,数据类型
1767596400000,2026-01-05 15:00:00,1609,sampled
1767607200000,2026-01-05 18:00:00,1642,sampled
1767618000000,2026-01-05 21:00:00,1571,sampled
1767628800000,2026-01-06 00:00:00,1576,sampled
1767639600000,2026-01-06 03:00:00,1582,sampled
1767650400000,2026-01-06 06:00:00,1415,sampled
1767661200000,2026-01-06 09:00:00,1517,sampled
1767672000000,2026-01-06 12:00:00,1561,sampled
1767682800000,2026-01-06 15:00:00,1561,sampled
1767693600000,2026-01-06 18:00:00,1528,sampled
1767704400000,2026-01-06 21:00:00,1580,sampled
1767715200000,2026-01-07 00:00:00,1663,sampled
1767726000000,2026-01-07 03:00:00,1554,sampled
1767736800000,2026-01-07 06:00:00,1557,sampled
1767747600000,2026-01-07 09:00:00,1572,sampled
1767758400000,2026-01-07 12:00:00,1564,sampled
1767769200000,2026-01-07 15:00:00,1487,sampled
1767780000000,2026-01-07 18:00:00,1472,sampled
1767790800000,2026-01-07 21:00:00,1529,sampled
1767801600000,2026-01-08 00:00:00,1562,sampled
1767812400000,2026-01-08 03:00:00,1542,sampled
1767823200000,2026-01-08 06:00:00,1558,sampled
1767834000000,2026-01-08 09:00:00,1475,sampled
1767844800000,2026-01-08 12:00:00,1474,sampled
1767855600000,2026-01-08 15:00:00,1517,sampled
1767866400000,2026-01-08 18:00:00,1527,sampled
1767877200000,2026-01-08 21:00:00,1533,sampled
1767888000000,2026-01-09 00:00:00,1589,sampled
1767898800000,2026-01-09 03:00:00,1542,sampled
1767909600000,2026-01-09 06:00:00,1496,sampled
1767920400000,2026-01-09 09:00:00,1433,sampled
1767931200000,2026-01-09 12:00:00,1506,sampled
1767942000000,2026-01-09 15:00:00,1506,sampled
1767952800000,2026-01-09 18:00:00,1525,sampled
1767963600000,2026-01-09 21:00:00,1547,sampled
1767974400000,2026-01-10 00:00:00,1712,sampled
1767985200000,2026-01-10 03:00:00,1538,sampled
1767996000000,2026-01-10 06:00:00,1478,sampled
1768006800000,2026-01-10 09:00:00,1462,sampled
1768017600000,2026-01-10 12:00:00,1658,sampled
1768028400000,2026-01-10 15:00:00,1641,sampled
1768039200000,2026-01-10 18:00:00,1755,sampled
1768050000000,2026-01-10 21:00:00,1760,sampled
1768060800000,2026-01-11 00:00:00,1835,sampled
1768071600000,2026-01-11 03:00:00,1595,sampled
1768082400000,2026-01-11 06:00:00,1628,sampled
1768093200000,2026-01-11 09:00:00,1632,sampled
1768104000000,2026-01-11 12:00:00,1659,sampled
1768114800000,2026-01-11 15:00:00,1758,sampled
1768125600000,2026-01-11 18:00:00,1752,sampled
1768136400000,2026-01-11 21:00:00,1781,sampled
1768147200000,2026-01-12 00:00:00,1859,sampled
1768158000000,2026-01-12 03:00:00,1546,sampled
1768168800000,2026-01-12 06:00:00,1625,sampled
1768179600000,2026-01-12 09:00:00,1611,sampled
1768190400000,2026-01-12 12:00:00,1572,sampled
1768201200000,2026-01-12 15:00:00,1634,sampled
1768210200000,2026-01-12 17:30:00,1607,sampled
1768224600000,2026-01-12 21:30:00,1572,sampled
1768233600000,2026-01-13 00:00:00,1638,sampled
1768244400000,2026-01-13 03:00:00,1569,sampled
1768255200000,2026-01-13 06:00:00,1544,sampled
1768266000000,2026-01-13 09:00:00,1494,sampled
1768276800000,2026-01-13 12:00:00,1535,sampled
1768287600000,2026-01-13 15:00:00,1500,sampled
1768298400000,2026-01-13 18:00:00,1555,sampled
1768307400000,2026-01-13 20:30:00,1583,sampled
1768320000000,2026-01-14 00:00:00,1515,sampled
1768330800000,2026-01-14 03:00:00,1567,sampled
1768341600000,2026-01-14 06:00:00,1479,sampled
1768352400000,2026-01-14 09:00:00,1685,sampled
1768363200000,2026-01-14 12:00:00,1651,sampled
1768374000000,2026-01-14 15:00:00,1666,sampled
1768384800000,2026-01-14 18:00:00,1536,sampled
1768395600000,2026-01-14 21:00:00,1505,sampled
1768406400000,2026-01-15 00:00:00,1572,sampled
1768417200000,2026-01-15 03:00:00,1669,sampled
1768428000000,2026-01-15 06:00:00,1746,sampled
1768438800000,2026-01-15 09:00:00,1722,sampled
1768449600000,2026-01-15 12:00:00,1647,sampled
1768460400000,2026-01-15 15:00:00,1585,sampled
1768471200000,2026-01-15 18:00:00,1556,sampled
1768482000000,2026-01-15 21:00:00,1683,sampled
1768492800000,2026-01-16 00:00:00,1641,sampled
1768503600000,2026-01-16 03:00:00,1557,sampled
1768514400000,2026-01-16 06:00:00,1752,sampled
1768525200000,2026-01-16 09:00:00,1738,sampled
1768536000000,2026-01-16 12:00:00,1621,sampled
1768546800000,2026-01-16 15:00:00,1591,sampled
1768557600000,2026-01-16 18:00:00,1571,sampled
1768568400000,2026-01-16 21:00:00,1573,sampled
1768579200000,2026-01-17 00:00:00,1658,sampled
1768590000000,2026-01-17 03:00:00,1601,sampled
1768600800000,2026-01-17 06:00:00,1665,sampled
1768611600000,2026-01-17 09:00:00,1707,sampled
1768622400000,2026-01-17 12:00:00,1659,sampled
1768633200000,2026-01-17 15:00:00,1651,sampled
1768644000000,2026-01-17 18:00:00,1720,sampled
1768654800000,2026-01-17 21:00:00,1753,sampled
1768665600000,2026-01-18 00:00:00,1836,sampled
1768676400000,2026-01-18 03:00:00,1774,sampled
1768687200000,2026-01-18 06:00:00,1732,sampled
1768698000000,2026-01-18 09:00:00,1729,sampled
1768708800000,2026-01-18 12:00:00,1771,sampled
1768719600000,2026-01-18 15:00:00,1698,sampled
1768730400000,2026-01-18 18:00:00,1941,sampled
1768741200000,2026-01-18 21:00:00,1927,sampled
1768750200000,2026-01-18 23:30:00,1911,sampled
1768762800000,2026-01-19 03:00:00,1709,sampled
1768773600000,2026-01-19 06:00:00,1760,sampled
1768784400000,2026-01-19 09:00:00,1728,sampled
1768795200000,2026-01-19 12:00:00,1827,sampled
1768806000000,2026-01-19 15:00:00,1724,sampled
1768816800000,2026-01-19 18:00:00,1725,sampled
1768827600000,2026-01-19 21:00:00,1739,sampled
1768838400000,2026-01-20 00:00:00,1742,sampled
1768849200000,2026-01-20 03:00:00,1722,sampled
1768860000000,2026-01-20 06:00:00,1723,sampled
1768870800000,2026-01-20 09:00:00,1734,sampled
1768881600000,2026-01-20 12:00:00,1708,sampled
1768892400000,2026-01-20 15:00:00,1699,sampled
1768903200000,2026-01-20 18:00:00,1762,sampled
1768914000000,2026-01-20 21:00:00,1750,sampled
1768924800000,2026-01-21 00:00:00,1723,sampled
1768933800000,2026-01-21 02:30:00,1686,sampled
1768946400000,2026-01-21 06:00:00,1678,sampled
1768957200000,2026-01-21 09:00:00,1579,sampled
1768978800000,2026-01-21 15:00:00,1666,sampled
1768989600000,2026-01-21 18:00:00,1661,sampled
1769000400000,2026-01-21 21:00:00,1715,sampled
1769011200000,2026-01-22 00:00:00,1686,sampled
1769022000000,2026-01-22 03:00:00,1627,sampled
1769032800000,2026-01-22 06:00:00,1639,sampled
1769043600000,2026-01-22 09:00:00,1677,sampled
1769054400000,2026-01-22 12:00:00,1639,sampled
1769065200000,2026-01-22 15:00:00,1643,sampled
1769076000000,2026-01-22 18:00:00,1717,sampled
1769086800000,2026-01-22 21:00:00,1678,sampled
1769097600000,2026-01-23 00:00:00,1705,sampled
1769108400000,2026-01-23 03:00:00,1627,sampled
1769119200000,2026-01-23 06:00:00,1646,sampled
1769130000000,2026-01-23 09:00:00,1608,sampled
1769140800000,2026-01-23 12:00:00,1634,sampled
1769151600000,2026-01-23 15:00:00,1642,sampled
1769162400000,2026-01-23 18:00:00,1682,sampled
1769173200000,2026-01-23 21:00:00,1589,sampled
1769184000000,2026-01-24 00:00:00,1668,sampled
1769194800000,2026-01-24 03:00:00,1645,sampled
1769205600000,2026-01-24 06:00:00,1670,sampled
1769216400000,2026-01-24 09:00:00,1659,sampled
1769227200000,2026-01-24 12:00:00,1659,sampled
1769238000000,2026-01-24 15:00:00,1777,sampled
1769248800000,2026-01-24 18:00:00,1611,sampled
1769259600000,2026-01-24 21:00:00,1633,sampled
1769270400000,2026-01-25 00:00:00,1870,sampled
1769281200000,2026-01-25 03:00:00,1589,sampled
1769292000000,2026-01-25 06:00:00,1699,sampled
1769302800000,2026-01-25 09:00:00,1602,sampled
1769313600000,2026-01-25 12:00:00,1707,sampled
1769322600000,2026-01-25 14:30:00,1777,sampled
1769335200000,2026-01-25 18:00:00,1815,sampled
1769346000000,2026-01-25 21:00:00,1691,sampled
1769356800000,2026-01-26 00:00:00,1727,sampled
1769367600000,2026-01-26 03:00:00,1582,sampled
1769378400000,2026-01-26 06:00:00,1706,sampled
1769389200000,2026-01-26 09:00:00,1687,sampled
1769400000000,2026-01-26 12:00:00,1684,sampled
1769410800000,2026-01-26 15:00:00,1664,sampled
1769421600000,2026-01-26 18:00:00,1636,sampled
1769432400000,2026-01-26 21:00:00,1669,sampled
1769443200000,2026-01-27 00:00:00,1711,sampled
1769454000000,2026-01-27 03:00:00,1655,sampled
1769464800000,2026-01-27 06:00:00,1577,sampled
1769475600000,2026-01-27 09:00:00,1690,sampled
1769486400000,2026-01-27 12:00:00,1691,sampled
1769497200000,2026-01-27 15:00:00,1657,sampled
1769508000000,2026-01-27 18:00:00,1813,sampled
1769520600000,2026-01-27 21:30:00,1599,sampled
1769529600000,2026-01-28 00:00:00,1778,sampled
1769540400000,2026-01-28 03:00:00,1657,sampled
1769551200000,2026-01-28 06:00:00,1626,sampled
1769562000000,2026-01-28 09:00:00,1575,sampled
1769572800000,2026-01-28 12:00:00,1628,sampled
