时间戳,时间,均价,数据类型
1767769200000,2026-01-07 15:00:00,3302,sampled
1767780000000,2026-01-07 18:00:00,3607,sampled
1767790800000,2026-01-07 21:00:00,4121,sampled
1767801600000,2026-01-08 00:00:00,3975,sampled
1767812400000,2026-01-08 03:00:00,3991,sampled
1767823200000,2026-01-08 06:00:00,4007,sampled
1767834000000,2026-01-08 09:00:00,4005,sampled
1767844800000,2026-01-08 12:00:00,3830,sampled
1767855600000,2026-01-08 15:00:00,3758,sampled
1767866400000,2026-01-08 18:00:00,3685,sampled
1767877200000,2026-01-08 21:00:00,3794,sampled
1767888000000,2026-01-09 00:00:00,3970,sampled
1767898800000,2026-01-09 03:00:00,4078,sampled
1767909600000,2026-01-09 06:00:00,4271,sampled
1767920400000,2026-01-09 09:00:00,4285,sampled
1767931200000,2026-01-09 12:00:00,4118,sampled
1767942000000,2026-01-09 15:00:00,3988,sampled
1767952800000,2026-01-09 18:00:00,3975,sampled
1767963600000,2026-01-09 21:00:00,3901,sampled
1767974400000,2026-01-10 00:00:00,3891,sampled
1767985200000,2026-01-10 03:00:00,3818,sampled
1767996000000,2026-01-10 06:00:00,3877,sampled
1768006800000,2026-01-10 09:00:00,3873,sampled
1768017600000,2026-01-10 12:00:00,3876,sampled
1768028400000,2026-01-10 15:00:00,3850,sampled
1768039200000,2026-01-10 18:00:00,3850,sampled
1768050000000,2026-01-10 21:00:00,3649,sampled
1768060800000,2026-01-11 00:00:00,3658,sampled
1768071600000,2026-01-11 03:00:00,3684,sampled
1768082400000,2026-01-11 06:00:00,3717,sampled
1768093200000,2026-01-11 09:00:00,3666,sampled
1768104000000,2026-01-11 12:00:00,3706,sampled
1768114800000,2026-01-11 15:00:00,3705,sampled
1768125600000,2026-01-11 18:00:00,3729,sampled
1768136400000,2026-01-11 21:00:00,3612,sampled
1768147200000,2026-01-12 00:00:00,3709,sampled
1768158000000,2026-01-12 03:00:00,3646,sampled
1768168800000,2026-01-12 06:00:00,3714,sampled
1768179600000,2026-01-12 09:00:00,3647,sampled
1768190400000,2026-01-12 12:00:00,3440,sampled
1768201200000,2026-01-12 15:00:00,3599,sampled
1768210200000,2026-01-12 17:30:00,3723,sampled
1768224600000,2026-01-12 21:30:00,3699,sampled
1768233600000,2026-01-13 00:00:00,3866,sampled
1768244400000,2026-01-13 03:00:00,3729,sampled
1768255200000,2026-01-13 06:00:00,3862,sampled
1768266000000,2026-01-13 09:00:00,3768,sampled
1768276800000,2026-01-13 12:00:00,3524,sampled
1768287600000,2026-01-13 15:00:00,3719,sampled
1768298400000,2026-01-13 18:00:00,3653,sampled
1768307400000,2026-01-13 20:30:00,3672,sampled
1768320000000,2026-01-14 00:00:00,3868,sampled
1768330800000,2026-01-14 03:00:00,3804,sampled
1768341600000,2026-01-14 06:00:00,3856,sampled
1768352400000,2026-01-14 09:00:00,3792,sampled
1768363200000,2026-01-14 12:00:00,3518,sampled
1768374000000,2026-01-14 15:00:00,3689,sampled
1768384800000,2026-01-14 18:00:00,3871,sampled
1768395600000,2026-01-14 21:00:00,3682,sampled
1768406400000,2026-01-15 00:00:00,3812,sampled
1768417200000,2026-01-15 03:00:00,3731,sampled
1768428000000,2026-01-15 06:00:00,3850,sampled
1768438800000,2026-01-15 09:00:00,3687,sampled
1768449600000,2026-01-15 12:00:00,3510,sampled
1768460400000,2026-01-15 15:00:00,3354,sampled
1768471200000,2026-01-15 18:00:00,3509,sampled
1768482000000,2026-01-15 21:00:00,3628,sampled
1768492800000,2026-01-16 00:00:00,3854,sampled
1768503600000,2026-01-16 03:00:00,3798,sampled
1768514400000,2026-01-16 06:00:00,3850,sampled
1768525200000,2026-01-16 09:00:00,3694,sampled
1768536000000,2026-01-16 12:00:00,3614,sampled
1768546800000,2026-01-16 15:00:00,3593,sampled
1768557600000,2026-01-16 18:00:00,3842,sampled
1768568400000,2026-01-16 21:00:00,3673,sampled
1768579200000,2026-01-17 00:00:00,3859,sampled
1768590000000,2026-01-17 03:00:00,3845,sampled
1768600800000,2026-01-17 06:00:00,3857,sampled
1768611600000,2026-01-17 09:00:00,3821,sampled
1768622400000,2026-01-17 12:00:00,3859,sampled
1768633200000,2026-01-17 15:00:00,3860,sampled
1768644000000,2026-01-17 18:00:00,4000,sampled
1768654800000,2026-01-17 21:00:00,3856,sampled
1768665600000,2026-01-18 00:00:00,3978,sampled
1768676400000,2026-01-18 03:00:00,3940,sampled
1768687200000,2026-01-18 06:00:00,3992,sampled
1768698000000,2026-01-18 09:00:00,3948,sampled
1768708800000,2026-01-18 12:00:00,3990,sampled
1768719600000,2026-01-18 15:00:00,3988,sampled
1768730400000,2026-01-18 18:00:00,3999,sampled
1768741200000,2026-01-18 21:00:00,3864,sampled
1768750200000,2026-01-18 23:30:00,3990,sampled
1768762800000,2026-01-19 03:00:00,3984,sampled
1768773600000,2026-01-19 06:00:00,3978,sampled
1768784400000,2026-01-19 09:00:00,3974,sampled
1768795200000,2026-01-19 12:00:00,3844,sampled
1768806000000,2026-01-19 15:00:00,3900,sampled
1768816800000,2026-01-19 18:00:00,4000,sampled
1768827600000,2026-01-19 21:00:00,3927,sampled
1768838400000,2026-01-20 00:00:00,4002,sampled
1768849200000,2026-01-20 03:00:00,4007,sampled
1768860000000,2026-01-20 06:00:00,4122,sampled
1768870800000,2026-01-20 09:00:00,4168,sampled
1768881600000,2026-01-20 12:00:00,3971,sampled
1768892400000,2026-01-20 15:00:00,3998,sampled
1768903200000,2026-01-20 18:00:00,4315,sampled
1768914000000,2026-01-20 21:00:00,4127,sampled
1768924800000,2026-01-21 00:00:00,4340,sampled
1768933800000,2026-01-21 02:30:00,4250,sampled
1768946400000,2026-01-21 06:00:00,4382,sampled
1768957200000,2026-01-21 09:00:00,4017,sampled
1768978800000,2026-01-21 15:00:00,4228,sampled
1768989600000,2026-01-21 18:00:00,4396,sampled
1769000400000,2026-01-21 21:00:00,4262,sampled
1769011200000,2026-01-22 00:00:00,4389,sampled
1769022000000,2026-01-22 03:00:00,4390,sampled
1769032800000,2026-01-22 06:00:00,4376,sampled
1769043600000,2026-01-22 09:00:00,4322,sampled
1769054400000,2026-01-22 12:00:00,4235,sampled
1769065200000,2026-01-22 15:00:00,4196,sampled
1769076000000,2026-01-22 18:00:00,4387,sampled
1769086800000,2026-01-22 21:00:00,4265,sampled
1769095800000,2026-01-22 23:30:00,4383,sampled
1769108400000,2026-01-23 03:00:00,4352,sampled
1769119200000,2026-01-23 06:00:00,4393,sampled
1769130000000,2026-01-23 09:00:00,3967,sampled
1769140800000,2026-01-23 12:00:00,4165,sampled
1769151600000,2026-01-23 15:00:00,4131,sampled
1769162400000,2026-01-23 18:00:00,4390,sampled
1769173200000,2026-01-23 21:00:00,4265,sampled
1769184000000,2026-01-24 00:00:00,4411,sampled
1769194800000,2026-01-24 03:00:00,4391,sampled
1769205600000,2026-01-24 06:00:00,4409,sampled
1769216400000,2026-01-24 09:00:00,4124,sampled
1769227200000,2026-01-24 12:00:00,4408,sampled
1769238000000,2026-01-24 15:00:00,4406,sampled
1769248800000,2026-01-24 18:00:00,4563,sampled
1769259600000,2026-01-24 21:00:00,4403,sampled
1769270400000,2026-01-25 00:00:00,4562,sampled
1769281200000,2026-01-25 03:00:00,4510,sampled
1769292000000,2026-01-25 06:00:00,4598,sampled
1769302800000,2026-01-25 09:00:00,4520,sampled
1769313600000,2026-01-25 12:00:00,4612,sampled
1769322600000,2026-01-25 14:30:00,4692,sampled
1769335200000,2026-01-25 18:00:00,4700,sampled
1769346000000,2026-01-25 21:00:00,4504,sampled
1769356800000,2026-01-26 00:00:00,4683,sampled
1769367600000,2026-01-26 03:00:00,4665,sampled
1769378400000,2026-01-26 06:00:00,4223,sampled
1769389200000,2026-01-26 09:00:00,4574,sampled
1769400000000,2026-01-26 12:00:00,4405,sampled
1769410800000,2026-01-26 15:00:00,4573,sampled
1769421600000,2026-01-26 18:00:00,4693,sampled
1769432400000,2026-01-26 21:00:00,4580,sampled
1769443200000,2026-01-27 00:00:00,4699,sampled
1769454000000,2026-01-27 03:00:00,4698,sampled
1769464800000,2026-01-27 06:00:00,4306,sampled
1769475600000,2026-01-27 09:00:00,4675,sampled
1769486400000,2026-01-27 12:00:00,4432,sampled
1769497200000,2026-01-27 15:00:00,4659,sampled
1769508000000,2026-01-27 18:00:00,4714,sampled
1769520600000,2026-01-27 21:30:00,4686,sampled
1769529600000,2026-01-28 00:00:00,4847,sampled
1769540400000,2026-01-28 03:00:00,4829,sampled
1769551200000,2026-01-28 06:00:00,4967,sampled
1769562000000,2026-01-28 09:00:00,4868,sampled
1769572800000,2026-01-28 12:00:00,4486,sampled
1769583600000,2026-01-28 15:00:00,4781,sampled
1769594400000,2026-01-28 18:00:00,4882,sampled
1769605200000,2026-01-28 21:00:00,4718,sampled
1769616000000,2026-01-29 00:00:00,4920,sampled
1769626800000,2026-01-29 03:00:00,4839,sampled
1769637600000,2026-01-29 06:00:00,4556,sampled
1769648400000,2026-01-29 09:00:00,6011,sampled
1769659200000,2026-01-29 12:00:00,5381,sampled
1769670000000,2026-01-29 15:00:00,5707,sampled
1769680800000,2026-01-29 18:00:00,6149,sampled
1769691600000,2026-01-29 21:00:00,6069,sampled
1769702400000,2026-01-30 00:00:00,6427,sampled
1769713200000,2026-01-30 03:00:00,6494,sampled
1769724000000,2026-01-30 06:00:00,6849,sampled
1769734800000,2026-01-30 09:00:00,6838,sampled
1769745600000,2026-01-30 12:00:00,6664,sampled
1769756400000,2026-01-30 15:00:00,6645,sampled
1769767200000,2026-01-30 18:00:00,6925,sampled
1769778000000,2026-01-30 21:00:00,6742,sampled
1769788800000,2026-01-31 00:00:00,6780,sampled
1769799600000,2026-01-31 03:00:00,6910,sampled
1769810400000,2026-01-31 06:00:00,6932,sampled
1769821200000,2026-01-31 09:00:00,6851,sampled
1769832000000,2026-01-31 12:00:00,6486,sampled
1769842800000,2026-01-31 15:00:00,6670,sampled
1769853600000,2026-01-31 18:00:00,6923,sampled
1769864400000,2026-01-31 21:00:00,6722,sampled
1769875200000,2026-02-01 00:00:00,6872,sampled
1769886000000,2026-02-01 03:00:00,6901,sampled
1769896800000,2026-02-01 06:00:00,6841,sampled
1769907600000,2026-02-01 09:00:00,6877,sampled
1769918400000,2026-02-01 12:00:00,6104,sampled
1769929200000,2026-02-01 15:00:00,6202,sampled
1769940000000,2026-02-01 18:00:00,6894,sampled
1769949000000,2026-02-01 20:30:00,6865,sampled
1769961600000,2026-02-02 00:00:00,6866,sampled
1769972400000,2026-02-02 03:00:00,6763,sampled
1769983200000,2026-02-02 06:00:00,6912,sampled
1769994000000,2026-02-02 09:00:00,6747,sampled
1770004800000,2026-02-02 12:00:00,5532,sampled
1770015600000,2026-02-02 15:00:00,5651,sampled
1770026400000,2026-02-02 18:00:00,6777,sampled
1770037200000,2026-02-02 21:00:00,6672,sampled
1770046200000,2026-02-02 23:30:00,6730,sampled
1770057000000,2026-02-03 02:30:00,6761,sampled
1770069600000,2026-02-03 06:00:00,6911,sampled
1770080400000,2026-02-03 09:00:00,6761,sampled
1770091200000,2026-02-03 12:00:00,5932,sampled
1770102000000,2026-02-03 15:00:00,5931,sampled
1770112800000,2026-02-03 18:00:00,6769,sampled
1770123600000,2026-02-03 21:00:00,6488,sampled
1770188400000,2026-02-04 15:00:00,5785,recent
1770192000000,2026-02-04 16:00:00,5800,recent
1770195600000,2026-02-04 17:00:00,5880,recent
1770199200000,2026-02-04 18:00:00,6309,recent
1770202800000,2026-02-04 19:00:00,6617,recent
1770206400000,2026-02-04 20:00:00,6564,recent
1770210000000,2026-02-04 21:00:00,6290,recent
1770213600000,2026-02-04 22:00:00,6061,recent
1770217200000,2026-02-04 23:00:00,6075,recent
1770220800000,2026-02-05 00:00:00,6224,recent
1770224400000,2026-02-05 01:00:00,6348,recent
1770228000000,2026-02-05 02:00:00,6334,recent
1770231600000,2026-02-05 03:00:00,6336,recent
1770235200000,2026-02-05 04:00:00,6345,recent
1770238800000,2026-02-05 05:00:00,6463,recent
1770242400000,2026-02-05 06:00:00,6476,recent
1770246000000,2026-02-05 07:00:00,6479,recent
1770249600000,2026-02-05 08:00:00,6590,recent
1770253200000,2026-02-05 09:00:00,6416,recent
1770256800000,2026-02-05 10:00:00,5903,recent
1770260400000,2026-02-05 11:00:00,5511,recent
1770264000000,2026-02-05 12:00:00,5505,recent
1770267600000,2026-02-05 13:00:00,5519,recent
1770271200000,2026-02-05 14:00:00,5520,recent
1770274800000,2026-02-05 15:00:00,5522,recent
1770278400000,2026-02-05 16:00:00,5656,recent
1770282000000,2026-02-05 17:00:00,5967,recent
1770285600000,2026-02-05 18:00:00,6372,recent
1770292800000,2026-02-05 20:00:00,6433,recent
1770296400000,2026-02-05 21:00:00,6141,recent
1770300000000,2026-02-05 22:00:00,6060,recent
1770303600000,2026-02-05 23:00:00,6070,recent
1770307200000,2026-02-06 00:00:00,6075,recent
1770310800000,2026-02-06 01:00:00,6067,recent
1770314400000,2026-02-06 02:00:00,6065,recent
1770318000000,2026-02-06 03:00:00,6062,recent
1770321600000,2026-02-06 04:00:00,6071,recent
1770325200000,2026-02-06 05:00:00,6105,recent
1770328800000,2026-02-06 06:00:00,6202,recent
1770332400000,2026-02-06 07:00:00,6196,recent
1770336000000,2026-02-06 08:00:00,6188,recent
1770339600000,2026-02-06 09:00:00,6085,recent
1770343200000,2026-02-06 10:00:00,5580,recent
1770346800000,2026-02-06 11:00:00,5328,recent
1770354000000,2026-02-06 13:00:00,5369,recent
