时间戳,时间,均价,数据类型
1767855600000,2026-01-08 15:00:00,4317,sampled
1767866400000,2026-01-08 18:00:00,4692,sampled
1767877200000,2026-01-08 21:00:00,4529,sampled
1767888000000,2026-01-09 00:00:00,4660,sampled
1767898800000,2026-01-09 03:00:00,4570,sampled
1767909600000,2026-01-09 06:00:00,4665,sampled
1767920400000,2026-01-09 09:00:00,4597,sampled
1767931200000,2026-01-09 12:00:00,4320,sampled
1767942000000,2026-01-09 15:00:00,4291,sampled
1767952800000,2026-01-09 18:00:00,4601,sampled
1767963600000,2026-01-09 21:00:00,4378,sampled
1767974400000,2026-01-10 00:00:00,4584,sampled
1767985200000,2026-01-10 03:00:00,4566,sampled
1767996000000,2026-01-10 06:00:00,4659,sampled
1768006800000,2026-01-10 09:00:00,4623,sampled
1768017600000,2026-01-10 12:00:00,4269,sampled
1768028400000,2026-01-10 15:00:00,4314,sampled
1768039200000,2026-01-10 18:00:00,4663,sampled
1768050000000,2026-01-10 21:00:00,4472,sampled
1768060800000,2026-01-11 00:00:00,4582,sampled
1768071600000,2026-01-11 03:00:00,4562,sampled
1768082400000,2026-01-11 06:00:00,4654,sampled
1768093200000,2026-01-11 09:00:00,4629,sampled
1768104000000,2026-01-11 12:00:00,4255,sampled
1768114800000,2026-01-11 15:00:00,4281,sampled
1768125600000,2026-01-11 18:00:00,4662,sampled
1768136400000,2026-01-11 21:00:00,4479,sampled
1768147200000,2026-01-12 00:00:00,4586,sampled
1768158000000,2026-01-12 03:00:00,4545,sampled
1768168800000,2026-01-12 06:00:00,4648,sampled
1768179600000,2026-01-12 09:00:00,4517,sampled
1768190400000,2026-01-12 12:00:00,4346,sampled
1768201200000,2026-01-12 15:00:00,4162,sampled
1768210200000,2026-01-12 17:30:00,4599,sampled
1768224600000,2026-01-12 21:30:00,4538,sampled
1768233600000,2026-01-13 00:00:00,4657,sampled
1768244400000,2026-01-13 03:00:00,4607,sampled
1768255200000,2026-01-13 06:00:00,4654,sampled
1768266000000,2026-01-13 09:00:00,4523,sampled
1768276800000,2026-01-13 12:00:00,4304,sampled
1768287600000,2026-01-13 15:00:00,4222,sampled
1768298400000,2026-01-13 18:00:00,4639,sampled
1768307400000,2026-01-13 20:30:00,4608,sampled
1768320000000,2026-01-14 00:00:00,4581,sampled
1768330800000,2026-01-14 03:00:00,4569,sampled
1768341600000,2026-01-14 06:00:00,4647,sampled
1768352400000,2026-01-14 09:00:00,4482,sampled
1768363200000,2026-01-14 12:00:00,4314,sampled
1768374000000,2026-01-14 15:00:00,4333,sampled
1768384800000,2026-01-14 18:00:00,4616,sampled
1768395600000,2026-01-14 21:00:00,4380,sampled
1768406400000,2026-01-15 00:00:00,4602,sampled
1768417200000,2026-01-15 03:00:00,4633,sampled
1768428000000,2026-01-15 06:00:00,4651,sampled
1768438800000,2026-01-15 09:00:00,4489,sampled
1768449600000,2026-01-15 12:00:00,4307,sampled
1768460400000,2026-01-15 15:00:00,4357,sampled
1768471200000,2026-01-15 18:00:00,4632,sampled
1768482000000,2026-01-15 21:00:00,4502,sampled
1768492800000,2026-01-16 00:00:00,4617,sampled
1768503600000,2026-01-16 03:00:00,4623,sampled
1768514400000,2026-01-16 06:00:00,4654,sampled
1768525200000,2026-01-16 09:00:00,4495,sampled
1768536000000,2026-01-16 12:00:00,4239,sampled
1768546800000,2026-01-16 15:00:00,4295,sampled
1768557600000,2026-01-16 18:00:00,4624,sampled
1768568400000,2026-01-16 21:00:00,4385,sampled
1768579200000,2026-01-17 00:00:00,4586,sampled
1768590000000,2026-01-17 03:00:00,4584,sampled
1768600800000,2026-01-17 06:00:00,4649,sampled
1768611600000,2026-01-17 09:00:00,4573,sampled
1768622400000,2026-01-17 12:00:00,4334,sampled
1768633200000,2026-01-17 15:00:00,4378,sampled
1768644000000,2026-01-17 18:00:00,4621,sampled
1768654800000,2026-01-17 21:00:00,4491,sampled
1768665600000,2026-01-18 00:00:00,4586,sampled
1768676400000,2026-01-18 03:00:00,4582,sampled
1768687200000,2026-01-18 06:00:00,4636,sampled
1768698000000,2026-01-18 09:00:00,4554,sampled
1768708800000,2026-01-18 12:00:00,4325,sampled
1768719600000,2026-01-18 15:00:00,4426,sampled
1768730400000,2026-01-18 18:00:00,4658,sampled
1768741200000,2026-01-18 21:00:00,4506,sampled
1768750200000,2026-01-18 23:30:00,4548,sampled
1768762800000,2026-01-19 03:00:00,4579,sampled
1768773600000,2026-01-19 06:00:00,4648,sampled
1768784400000,2026-01-19 09:00:00,4537,sampled
1768795200000,2026-01-19 12:00:00,4156,sampled
1768806000000,2026-01-19 15:00:00,4365,sampled
1768816800000,2026-01-19 18:00:00,4656,sampled
1768827600000,2026-01-19 21:00:00,4558,sampled
1768838400000,2026-01-20 00:00:00,4658,sampled
1768849200000,2026-01-20 03:00:00,4655,sampled
1768860000000,2026-01-20 06:00:00,4648,sampled
1768870800000,2026-01-20 09:00:00,4525,sampled
1768881600000,2026-01-20 12:00:00,4151,sampled
1768892400000,2026-01-20 15:00:00,4356,sampled
1768903200000,2026-01-20 18:00:00,4431,sampled
1768914000000,2026-01-20 21:00:00,4382,sampled
1768924800000,2026-01-21 00:00:00,4708,sampled
1768933800000,2026-01-21 02:30:00,4716,sampled
1768946400000,2026-01-21 06:00:00,4711,sampled
1768957200000,2026-01-21 09:00:00,4596,sampled
1768978800000,2026-01-21 15:00:00,4413,sampled
1768989600000,2026-01-21 18:00:00,4700,sampled
1769000400000,2026-01-21 21:00:00,4574,sampled
1769011200000,2026-01-22 00:00:00,4664,sampled
1769022000000,2026-01-22 03:00:00,4698,sampled
1769032800000,2026-01-22 06:00:00,4706,sampled
1769043600000,2026-01-22 09:00:00,4605,sampled
1769054400000,2026-01-22 12:00:00,4437,sampled
1769065200000,2026-01-22 15:00:00,4442,sampled
1769076000000,2026-01-22 18:00:00,4708,sampled
1769086800000,2026-01-22 21:00:00,4564,sampled
1769097600000,2026-01-23 00:00:00,4669,sampled
1769108400000,2026-01-23 03:00:00,4684,sampled
1769119200000,2026-01-23 06:00:00,4724,sampled
1769130000000,2026-01-23 09:00:00,4596,sampled
1769140800000,2026-01-23 12:00:00,4360,sampled
1769151600000,2026-01-23 15:00:00,4397,sampled
1769162400000,2026-01-23 18:00:00,4702,sampled
1769173200000,2026-01-23 21:00:00,4497,sampled
1769184000000,2026-01-24 00:00:00,4645,sampled
1769194800000,2026-01-24 03:00:00,4659,sampled
1769205600000,2026-01-24 06:00:00,4236,sampled
1769216400000,2026-01-24 09:00:00,4638,sampled
1769227200000,2026-01-24 12:00:00,4440,sampled
1769238000000,2026-01-24 15:00:00,4612,sampled
1769248800000,2026-01-24 18:00:00,4721,sampled
1769259600000,2026-01-24 21:00:00,4592,sampled
1769270400000,2026-01-25 00:00:00,4662,sampled
1769281200000,2026-01-25 03:00:00,4688,sampled
1769292000000,2026-01-25 06:00:00,4729,sampled
1769302800000,2026-01-25 09:00:00,4698,sampled
1769313600000,2026-01-25 12:00:00,4561,sampled
1769322600000,2026-01-25 14:30:00,4618,sampled
1769335200000,2026-01-25 18:00:00,4486,sampled
1769346000000,2026-01-25 21:00:00,4464,sampled
1769356800000,2026-01-26 00:00:00,4733,sampled
1769367600000,2026-01-26 03:00:00,4722,sampled
1769378400000,2026-01-26 06:00:00,4836,sampled
1769389200000,2026-01-26 09:00:00,4753,sampled
1769400000000,2026-01-26 12:00:00,4603,sampled
1769410800000,2026-01-26 15:00:00,4614,sampled
1769421600000,2026-01-26 18:00:00,4850,sampled
1769432400000,2026-01-26 21:00:00,4613,sampled
1769443200000,2026-01-27 00:00:00,4812,sampled
1769454000000,2026-01-27 03:00:00,4805,sampled
1769464800000,2026-01-27 06:00:00,4857,sampled
1769475600000,2026-01-27 09:00:00,4461,sampled
1769486400000,2026-01-27 12:00:00,4646,sampled
1769497200000,2026-01-27 15:00:00,4674,sampled
1769508000000,2026-01-27 18:00:00,4865,sampled
