时间戳,时间,均价,数据类型
1767855600000,2026-01-08 15:00:00,4153,sampled
1767866400000,2026-01-08 18:00:00,4564,sampled
1767877200000,2026-01-08 21:00:00,4356,sampled
1767888000000,2026-01-09 00:00:00,4523,sampled
1767898800000,2026-01-09 03:00:00,4418,sampled
1767909600000,2026-01-09 06:00:00,4566,sampled
1767920400000,2026-01-09 09:00:00,4478,sampled
1767931200000,2026-01-09 12:00:00,4188,sampled
1767942000000,2026-01-09 15:00:00,4214,sampled
1767952800000,2026-01-09 18:00:00,4561,sampled
1767963600000,2026-01-09 21:00:00,4355,sampled
1767974400000,2026-01-10 00:00:00,4392,sampled
1767985200000,2026-01-10 03:00:00,4410,sampled
1767996000000,2026-01-10 06:00:00,4503,sampled
1768006800000,2026-01-10 09:00:00,4513,sampled
1768017600000,2026-01-10 12:00:00,4209,sampled
1768028400000,2026-01-10 15:00:00,4218,sampled
1768039200000,2026-01-10 18:00:00,4569,sampled
1768050000000,2026-01-10 21:00:00,4433,sampled
1768060800000,2026-01-11 00:00:00,4431,sampled
1768071600000,2026-01-11 03:00:00,4429,sampled
1768082400000,2026-01-11 06:00:00,4567,sampled
1768093200000,2026-01-11 09:00:00,4561,sampled
1768104000000,2026-01-11 12:00:00,4297,sampled
1768114800000,2026-01-11 15:00:00,4368,sampled
1768125600000,2026-01-11 18:00:00,4639,sampled
1768136400000,2026-01-11 21:00:00,4462,sampled
1768147200000,2026-01-12 00:00:00,4547,sampled
1768158000000,2026-01-12 03:00:00,4509,sampled
1768168800000,2026-01-12 06:00:00,4565,sampled
1768179600000,2026-01-12 09:00:00,4480,sampled
1768190400000,2026-01-12 12:00:00,4268,sampled
1768201200000,2026-01-12 15:00:00,4218,sampled
1768210200000,2026-01-12 17:30:00,4450,sampled
1768224600000,2026-01-12 21:30:00,4351,sampled
1768233600000,2026-01-13 00:00:00,4567,sampled
1768244400000,2026-01-13 03:00:00,4443,sampled
1768255200000,2026-01-13 06:00:00,4562,sampled
1768266000000,2026-01-13 09:00:00,4448,sampled
1768276800000,2026-01-13 12:00:00,4188,sampled
1768287600000,2026-01-13 15:00:00,4168,sampled
1768298400000,2026-01-13 18:00:00,4519,sampled
1768307400000,2026-01-13 20:30:00,4494,sampled
1768320000000,2026-01-14 00:00:00,4462,sampled
1768330800000,2026-01-14 03:00:00,4395,sampled
1768341600000,2026-01-14 06:00:00,4492,sampled
1768352400000,2026-01-14 09:00:00,4369,sampled
1768363200000,2026-01-14 12:00:00,4167,sampled
1768374000000,2026-01-14 15:00:00,4154,sampled
1768384800000,2026-01-14 18:00:00,4434,sampled
1768395600000,2026-01-14 21:00:00,4280,sampled
1768406400000,2026-01-15 00:00:00,4483,sampled
1768417200000,2026-01-15 03:00:00,4491,sampled
1768428000000,2026-01-15 06:00:00,4556,sampled
1768438800000,2026-01-15 09:00:00,4354,sampled
1768449600000,2026-01-15 12:00:00,4164,sampled
1768460400000,2026-01-15 15:00:00,4141,sampled
1768471200000,2026-01-15 18:00:00,4582,sampled
1768482000000,2026-01-15 21:00:00,4381,sampled
1768492800000,2026-01-16 00:00:00,4544,sampled
1768503600000,2026-01-16 03:00:00,4562,sampled
1768514400000,2026-01-16 06:00:00,4567,sampled
1768525200000,2026-01-16 09:00:00,4542,sampled
1768536000000,2026-01-16 12:00:00,4204,sampled
1768546800000,2026-01-16 15:00:00,4219,sampled
1768557600000,2026-01-16 18:00:00,4637,sampled
1768568400000,2026-01-16 21:00:00,4483,sampled
1768579200000,2026-01-17 00:00:00,4502,sampled
1768590000000,2026-01-17 03:00:00,4571,sampled
1768600800000,2026-01-17 06:00:00,4625,sampled
1768611600000,2026-01-17 09:00:00,4535,sampled
1768622400000,2026-01-17 12:00:00,4360,sampled
1768633200000,2026-01-17 15:00:00,4495,sampled
1768644000000,2026-01-17 18:00:00,4709,sampled
1768654800000,2026-01-17 21:00:00,4554,sampled
1768665600000,2026-01-18 00:00:00,4573,sampled
