时间戳,时间,均价,数据类型
1769670000000,2026-01-29 15:00:00,2181,sampled
1769680800000,2026-01-29 18:00:00,2431,sampled
1769691600000,2026-01-29 21:00:00,2855,sampled
1769702400000,2026-01-30 00:00:00,3028,sampled
1769713200000,2026-01-30 03:00:00,2398,sampled
1769724000000,2026-01-30 06:00:00,1868,sampled
1769734800000,2026-01-30 09:00:00,2351,sampled
1769745600000,2026-01-30 12:00:00,2450,sampled
1769756400000,2026-01-30 15:00:00,2749,sampled
1769767200000,2026-01-30 18:00:00,2951,sampled
1769778000000,2026-01-30 21:00:00,2965,sampled
1769788800000,2026-01-31 00:00:00,3045,sampled
1769799600000,2026-01-31 03:00:00,2507,sampled
1769810400000,2026-01-31 06:00:00,2235,sampled
1769821200000,2026-01-31 09:00:00,2785,sampled
1769832000000,2026-01-31 12:00:00,2808,sampled
1769842800000,2026-01-31 15:00:00,2878,sampled
1769853600000,2026-01-31 18:00:00,2999,sampled
1769864400000,2026-01-31 21:00:00,2880,sampled
1769875200000,2026-02-01 00:00:00,2954,sampled
1769886000000,2026-02-01 03:00:00,2415,sampled
1769896800000,2026-02-01 06:00:00,2265,sampled
1769907600000,2026-02-01 09:00:00,2759,sampled
1769918400000,2026-02-01 12:00:00,2729,sampled
1769929200000,2026-02-01 15:00:00,2734,sampled
1769940000000,2026-02-01 18:00:00,2750,sampled
1769949000000,2026-02-01 20:30:00,2734,sampled
1769961600000,2026-02-02 00:00:00,2679,sampled
1769972400000,2026-02-02 03:00:00,2078,sampled
1769983200000,2026-02-02 06:00:00,1908,sampled
1769994000000,2026-02-02 09:00:00,2282,sampled
1770004800000,2026-02-02 12:00:00,2287,sampled
1770015600000,2026-02-02 15:00:00,2322,sampled
1770026400000,2026-02-02 18:00:00,2510,sampled
1770037200000,2026-02-02 21:00:00,2528,sampled
1770046200000,2026-02-02 23:30:00,2563,sampled
1770057000000,2026-02-03 02:30:00,2636,sampled
1770069600000,2026-02-03 06:00:00,1943,sampled
1770080400000,2026-02-03 09:00:00,2265,sampled
1770091200000,2026-02-03 12:00:00,2258,sampled
1770102000000,2026-02-03 15:00:00,2297,sampled
1770112800000,2026-02-03 18:00:00,2507,sampled
1770123600000,2026-02-03 21:00:00,2527,sampled
1770134400000,2026-02-04 00:00:00,2592,sampled
1770145200000,2026-02-04 03:00:00,2032,sampled
1770156000000,2026-02-04 06:00:00,1970,sampled
1770166800000,2026-02-04 09:00:00,2289,sampled
1770177600000,2026-02-04 12:00:00,2240,sampled
1770188400000,2026-02-04 15:00:00,2311,sampled
1770199200000,2026-02-04 18:00:00,2508,sampled
1770210000000,2026-02-04 21:00:00,2528,sampled
1770220800000,2026-02-05 00:00:00,2580,sampled
1770231600000,2026-02-05 03:00:00,2019,sampled
1770242400000,2026-02-05 06:00:00,1939,sampled
1770253200000,2026-02-05 09:00:00,2261,sampled
1770264000000,2026-02-05 12:00:00,2233,sampled
1770274800000,2026-02-05 15:00:00,2292,sampled
1770285600000,2026-02-05 18:00:00,2419,sampled
1770296400000,2026-02-05 21:00:00,2435,sampled
1770307200000,2026-02-06 00:00:00,2446,sampled
1770318000000,2026-02-06 03:00:00,1953,sampled
1770328800000,2026-02-06 06:00:00,1882,sampled
1770339600000,2026-02-06 09:00:00,2115,sampled
1770348600000,2026-02-06 11:30:00,2129,sampled
1770361200000,2026-02-06 15:00:00,2202,recent
1770364800000,2026-02-06 16:00:00,2241,recent
1770368400000,2026-02-06 17:00:00,2299,recent
1770372000000,2026-02-06 18:00:00,2349,recent
1770375600000,2026-02-06 19:00:00,2382,recent
1770379200000,2026-02-06 20:00:00,2379,recent
1770382800000,2026-02-06 21:00:00,2368,recent
1770386400000,2026-02-06 22:00:00,2376,recent
1770390000000,2026-02-06 23:00:00,2381,recent
1770393600000,2026-02-07 00:00:00,2383,recent
1770397200000,2026-02-07 01:00:00,2383,recent
1770400800000,2026-02-07 02:00:00,2381,recent
1770404400000,2026-02-07 03:00:00,1962,recent
1770408000000,2026-02-07 04:00:00,1910,recent
1770411600000,2026-02-07 05:00:00,1879,recent
1770415200000,2026-02-07 06:00:00,1874,recent
1770418800000,2026-02-07 07:00:00,1985,recent
1770422400000,2026-02-07 08:00:00,2055,recent
1770426000000,2026-02-07 09:00:00,2073,recent
1770429600000,2026-02-07 10:00:00,2110,recent
1770433200000,2026-02-07 11:00:00,2115,recent
1770436800000,2026-02-07 12:00:00,2145,recent
1770440400000,2026-02-07 13:00:00,2185,recent
1770444000000,2026-02-07 14:00:00,2216,recent
1770451200000,2026-02-07 16:00:00,2282,recent
1770454800000,2026-02-07 17:00:00,2333,recent
1770458400000,2026-02-07 18:00:00,2376,recent
1770462000000,2026-02-07 19:00:00,2385,recent
1770465600000,2026-02-07 20:00:00,2380,recent
1770469200000,2026-02-07 21:00:00,2371,recent
1770472800000,2026-02-07 22:00:00,2377,recent
1770476400000,2026-02-07 23:00:00,2383,recent
1770480000000,2026-02-08 00:00:00,2405,recent
1770483600000,2026-02-08 01:00:00,2517,recent
1770487200000,2026-02-08 02:00:00,2535,recent
1770490800000,2026-02-08 03:00:00,1996,recent
1770494400000,2026-02-08 04:00:00,1948,recent
1770501600000,2026-02-08 06:00:00,1939,recent
1770505200000,2026-02-08 07:00:00,2054,recent
1770508800000,2026-02-08 08:00:00,2024,recent
1770512400000,2026-02-08 09:00:00,2194,recent
1770516000000,2026-02-08 10:00:00,2198,recent
1770519600000,2026-02-08 11:00:00,2204,recent
1770523200000,2026-02-08 12:00:00,2231,recent
