时间戳,时间,均价,数据类型
1768201200000,2026-01-12 15:00:00,3478,sampled
1768210200000,2026-01-12 17:30:00,3575,sampled
1768224600000,2026-01-12 21:30:00,3550,sampled
1768233600000,2026-01-13 00:00:00,3606,sampled
1768244400000,2026-01-13 03:00:00,3578,sampled
1768255200000,2026-01-13 06:00:00,3610,sampled
1768266000000,2026-01-13 09:00:00,3547,sampled
1768276800000,2026-01-13 12:00:00,3380,sampled
1768287600000,2026-01-13 15:00:00,3411,sampled
1768298400000,2026-01-13 18:00:00,3611,sampled
1768307400000,2026-01-13 20:30:00,3612,sampled
1768320000000,2026-01-14 00:00:00,3554,sampled
1768330800000,2026-01-14 03:00:00,3601,sampled
1768341600000,2026-01-14 06:00:00,3635,sampled
1768352400000,2026-01-14 09:00:00,3523,sampled
1768363200000,2026-01-14 12:00:00,3374,sampled
1768374000000,2026-01-14 15:00:00,3401,sampled
1768384800000,2026-01-14 18:00:00,3598,sampled
1768395600000,2026-01-14 21:00:00,3503,sampled
1768406400000,2026-01-15 00:00:00,3042,sampled
1768417200000,2026-01-15 03:00:00,3110,sampled
1768428000000,2026-01-15 06:00:00,3103,sampled
1768438800000,2026-01-15 09:00:00,2963,sampled
1768449600000,2026-01-15 12:00:00,2994,sampled
1768460400000,2026-01-15 15:00:00,3106,sampled
1768471200000,2026-01-15 18:00:00,3155,sampled
1768482000000,2026-01-15 21:00:00,2937,sampled
1768492800000,2026-01-16 00:00:00,3130,sampled
1768503600000,2026-01-16 03:00:00,3161,sampled
1768514400000,2026-01-16 06:00:00,3345,sampled
1768525200000,2026-01-16 09:00:00,3268,sampled
1768536000000,2026-01-16 12:00:00,3134,sampled
1768546800000,2026-01-16 15:00:00,3151,sampled
1768557600000,2026-01-16 18:00:00,3371,sampled
1768568400000,2026-01-16 21:00:00,3095,sampled
1768579200000,2026-01-17 00:00:00,3104,sampled
1768590000000,2026-01-17 03:00:00,3229,sampled
1768600800000,2026-01-17 06:00:00,3368,sampled
1768611600000,2026-01-17 09:00:00,3274,sampled
1768622400000,2026-01-17 12:00:00,3045,sampled
1768633200000,2026-01-17 15:00:00,3046,sampled
1768644000000,2026-01-17 18:00:00,3290,sampled
1768654800000,2026-01-17 21:00:00,3163,sampled
1768665600000,2026-01-18 00:00:00,3164,sampled
1768676400000,2026-01-18 03:00:00,3281,sampled
1768687200000,2026-01-18 06:00:00,3374,sampled
1768698000000,2026-01-18 09:00:00,3383,sampled
1768708800000,2026-01-18 12:00:00,3153,sampled
1768719600000,2026-01-18 15:00:00,3157,sampled
1768730400000,2026-01-18 18:00:00,3426,sampled
1768741200000,2026-01-18 21:00:00,3185,sampled
1768750200000,2026-01-18 23:30:00,3341,sampled
1768762800000,2026-01-19 03:00:00,3399,sampled
1768773600000,2026-01-19 06:00:00,3431,sampled
1768784400000,2026-01-19 09:00:00,3251,sampled
1768795200000,2026-01-19 12:00:00,3267,sampled
1768806000000,2026-01-19 15:00:00,3321,sampled
1768816800000,2026-01-19 18:00:00,3438,sampled
1768827600000,2026-01-19 21:00:00,3231,sampled
1768838400000,2026-01-20 00:00:00,3543,sampled
1768849200000,2026-01-20 03:00:00,3542,sampled
1768860000000,2026-01-20 06:00:00,3601,sampled
1768870800000,2026-01-20 09:00:00,3507,sampled
1768881600000,2026-01-20 12:00:00,3349,sampled
1768892400000,2026-01-20 15:00:00,3368,sampled
1768903200000,2026-01-20 18:00:00,3574,sampled
1768914000000,2026-01-20 21:00:00,3446,sampled
1768924800000,2026-01-21 00:00:00,3615,sampled
1768933800000,2026-01-21 02:30:00,3598,sampled
1768946400000,2026-01-21 06:00:00,3648,sampled
1768957200000,2026-01-21 09:00:00,3544,sampled
1768978800000,2026-01-21 15:00:00,3429,sampled
1768989600000,2026-01-21 18:00:00,3653,sampled
1769000400000,2026-01-21 21:00:00,3540,sampled
1769011200000,2026-01-22 00:00:00,3653,sampled
1769022000000,2026-01-22 03:00:00,3651,sampled
1769032800000,2026-01-22 06:00:00,3654,sampled
1769043600000,2026-01-22 09:00:00,3627,sampled
