时间戳,时间,均价,数据类型
1768201200000,2026-01-12 15:00:00,4276,sampled
1768210200000,2026-01-12 17:30:00,4476,sampled
1768224600000,2026-01-12 21:30:00,4485,sampled
1768233600000,2026-01-13 00:00:00,4479,sampled
1768244400000,2026-01-13 03:00:00,4529,sampled
1768255200000,2026-01-13 06:00:00,4552,sampled
1768266000000,2026-01-13 09:00:00,4504,sampled
1768276800000,2026-01-13 12:00:00,4271,sampled
1768287600000,2026-01-13 15:00:00,4275,sampled
1768298400000,2026-01-13 18:00:00,4511,sampled
1768307400000,2026-01-13 20:30:00,4528,sampled
1768320000000,2026-01-14 00:00:00,4476,sampled
1768330800000,2026-01-14 03:00:00,4505,sampled
1768341600000,2026-01-14 06:00:00,4553,sampled
1768352400000,2026-01-14 09:00:00,4499,sampled
1768363200000,2026-01-14 12:00:00,4271,sampled
1768374000000,2026-01-14 15:00:00,4275,sampled
1768384800000,2026-01-14 18:00:00,4524,sampled
1768395600000,2026-01-14 21:00:00,4465,sampled
1768406400000,2026-01-15 00:00:00,4474,sampled
1768417200000,2026-01-15 03:00:00,4485,sampled
1768428000000,2026-01-15 06:00:00,4757,sampled
1768438800000,2026-01-15 09:00:00,4581,sampled
1768449600000,2026-01-15 12:00:00,4275,sampled
1768460400000,2026-01-15 15:00:00,4277,sampled
1768471200000,2026-01-15 18:00:00,4543,sampled
1768482000000,2026-01-15 21:00:00,4481,sampled
1768492800000,2026-01-16 00:00:00,4480,sampled
1768503600000,2026-01-16 03:00:00,4544,sampled
1768514400000,2026-01-16 06:00:00,4781,sampled
1768525200000,2026-01-16 09:00:00,4653,sampled
1768536000000,2026-01-16 12:00:00,4278,sampled
1768546800000,2026-01-16 15:00:00,4277,sampled
1768557600000,2026-01-16 18:00:00,4544,sampled
1768568400000,2026-01-16 21:00:00,4479,sampled
1768579200000,2026-01-17 00:00:00,4473,sampled
1768590000000,2026-01-17 03:00:00,4488,sampled
1768600800000,2026-01-17 06:00:00,4723,sampled
1768611600000,2026-01-17 09:00:00,4725,sampled
1768622400000,2026-01-17 12:00:00,4258,sampled
1768633200000,2026-01-17 15:00:00,4278,sampled
1768644000000,2026-01-17 18:00:00,4525,sampled
1768654800000,2026-01-17 21:00:00,4476,sampled
1768665600000,2026-01-18 00:00:00,4470,sampled
1768676400000,2026-01-18 03:00:00,4487,sampled
1768687200000,2026-01-18 06:00:00,4555,sampled
1768698000000,2026-01-18 09:00:00,4685,sampled
1768708800000,2026-01-18 12:00:00,4208,sampled
1768719600000,2026-01-18 15:00:00,4277,sampled
1768730400000,2026-01-18 18:00:00,4541,sampled
1768741200000,2026-01-18 21:00:00,4521,sampled
1768750200000,2026-01-18 23:30:00,4529,sampled
1768762800000,2026-01-19 03:00:00,4545,sampled
1768773600000,2026-01-19 06:00:00,4556,sampled
1768784400000,2026-01-19 09:00:00,4531,sampled
1768795200000,2026-01-19 12:00:00,4340,sampled
1768806000000,2026-01-19 15:00:00,4340,sampled
1768816800000,2026-01-19 18:00:00,4547,sampled
1768827600000,2026-01-19 21:00:00,4589,sampled
1768838400000,2026-01-20 00:00:00,4603,sampled
1768849200000,2026-01-20 03:00:00,4613,sampled
1768860000000,2026-01-20 06:00:00,4918,sampled
1768870800000,2026-01-20 09:00:00,4722,sampled
1768881600000,2026-01-20 12:00:00,4372,sampled
1768892400000,2026-01-20 15:00:00,4341,sampled
1768903200000,2026-01-20 18:00:00,4677,sampled
1768914000000,2026-01-20 21:00:00,4654,sampled
1768924800000,2026-01-21 00:00:00,4607,sampled
1768933800000,2026-01-21 02:30:00,4636,sampled
1768946400000,2026-01-21 06:00:00,4846,sampled
1768957200000,2026-01-21 09:00:00,4754,sampled
1768978800000,2026-01-21 15:00:00,4402,sampled
1768989600000,2026-01-21 18:00:00,4687,sampled
1769000400000,2026-01-21 21:00:00,4651,sampled
1769011200000,2026-01-22 00:00:00,4664,sampled
1769022000000,2026-01-22 03:00:00,4676,sampled
1769032800000,2026-01-22 06:00:00,4716,sampled
1769043600000,2026-01-22 09:00:00,4719,sampled
1769054400000,2026-01-22 12:00:00,4340,sampled
1769065200000,2026-01-22 15:00:00,4341,sampled
1769076000000,2026-01-22 18:00:00,4712,sampled
1769086800000,2026-01-22 21:00:00,4659,sampled
1769097600000,2026-01-23 00:00:00,4663,sampled
1769108400000,2026-01-23 03:00:00,4671,sampled
1769119200000,2026-01-23 06:00:00,4683,sampled
1769130000000,2026-01-23 09:00:00,4672,sampled
1769140800000,2026-01-23 12:00:00,4394,sampled
1769151600000,2026-01-23 15:00:00,4322,sampled
1769162400000,2026-01-23 18:00:00,4579,sampled
1769173200000,2026-01-23 21:00:00,4590,sampled
1769184000000,2026-01-24 00:00:00,4595,sampled
1769194800000,2026-01-24 03:00:00,4611,sampled
1769205600000,2026-01-24 06:00:00,4619,sampled
1769216400000,2026-01-24 09:00:00,4653,sampled
1769227200000,2026-01-24 12:00:00,4271,sampled
1769238000000,2026-01-24 15:00:00,4276,sampled
1769248800000,2026-01-24 18:00:00,4586,sampled
1769259600000,2026-01-24 21:00:00,4583,sampled
1769270400000,2026-01-25 00:00:00,4591,sampled
1769281200000,2026-01-25 03:00:00,4608,sampled
1769292000000,2026-01-25 06:00:00,4620,sampled
1769302800000,2026-01-25 09:00:00,4606,sampled
1769313600000,2026-01-25 12:00:00,4333,sampled
1769322600000,2026-01-25 14:30:00,4335,sampled
1769335200000,2026-01-25 18:00:00,4574,sampled
1769346000000,2026-01-25 21:00:00,4587,sampled
1769356800000,2026-01-26 00:00:00,4595,sampled
1769367600000,2026-01-26 03:00:00,4609,sampled
1769378400000,2026-01-26 06:00:00,4619,sampled
1769389200000,2026-01-26 09:00:00,4597,sampled
1769400000000,2026-01-26 12:00:00,4378,sampled
1769410800000,2026-01-26 15:00:00,4401,sampled
1769421600000,2026-01-26 18:00:00,4609,sampled
1769432400000,2026-01-26 21:00:00,4598,sampled
1769443200000,2026-01-27 00:00:00,4603,sampled
1769454000000,2026-01-27 03:00:00,4635,sampled
1769464800000,2026-01-27 06:00:00,4890,sampled
1769475600000,2026-01-27 09:00:00,4704,sampled
1769486400000,2026-01-27 12:00:00,4340,sampled
1769497200000,2026-01-27 15:00:00,4255,sampled
1769508000000,2026-01-27 18:00:00,4671,sampled
1769520600000,2026-01-27 21:30:00,4649,sampled
1769529600000,2026-01-28 00:00:00,4661,sampled
1769540400000,2026-01-28 03:00:00,4671,sampled
1769551200000,2026-01-28 06:00:00,4681,sampled
1769562000000,2026-01-28 09:00:00,4686,sampled
1769572800000,2026-01-28 12:00:00,4334,sampled
1769583600000,2026-01-28 15:00:00,4334,sampled
1769594400000,2026-01-28 18:00:00,4645,sampled
1769605200000,2026-01-28 21:00:00,4615,sampled
1769616000000,2026-01-29 00:00:00,4597,sampled
1769626800000,2026-01-29 03:00:00,4602,sampled
1769637600000,2026-01-29 06:00:00,4166,sampled
1769648400000,2026-01-29 09:00:00,4311,sampled
1769659200000,2026-01-29 12:00:00,3991,sampled
1769670000000,2026-01-29 15:00:00,3910,sampled
1769680800000,2026-01-29 18:00:00,3959,sampled
1769691600000,2026-01-29 21:00:00,3948,sampled
1769702400000,2026-01-30 00:00:00,3960,sampled
1769713200000,2026-01-30 03:00:00,4438,sampled
1769724000000,2026-01-30 06:00:00,4576,sampled
1769734800000,2026-01-30 09:00:00,4546,sampled
1769747400000,2026-01-30 12:30:00,4141,sampled
1769756400000,2026-01-30 15:00:00,4141,sampled
1769767200000,2026-01-30 18:00:00,4459,sampled
1769778000000,2026-01-30 21:00:00,4393,sampled
1769788800000,2026-01-31 00:00:00,4406,sampled
1769799600000,2026-01-31 03:00:00,4428,sampled
1769810400000,2026-01-31 06:00:00,4663,sampled
1769821200000,2026-01-31 09:00:00,4681,sampled
1769832000000,2026-01-31 12:00:00,4271,sampled
1769842800000,2026-01-31 15:00:00,4275,sampled
1769853600000,2026-01-31 18:00:00,4535,sampled
1769864400000,2026-01-31 21:00:00,4516,sampled
1769875200000,2026-02-01 00:00:00,4529,sampled
1769886000000,2026-02-01 03:00:00,4542,sampled
1769896800000,2026-02-01 06:00:00,4580,sampled
1769907600000,2026-02-01 09:00:00,4792,sampled
1769918400000,2026-02-01 12:00:00,4327,sampled
1769929200000,2026-02-01 15:00:00,4338,sampled
1769940000000,2026-02-01 18:00:00,4653,sampled
1769949000000,2026-02-01 20:30:00,4651,sampled
1769961600000,2026-02-02 00:00:00,4600,sampled
1769972400000,2026-02-02 03:00:00,4670,sampled
1769983200000,2026-02-02 06:00:00,4955,sampled
1769994000000,2026-02-02 09:00:00,4952,sampled
1770004800000,2026-02-02 12:00:00,4333,sampled
1770015600000,2026-02-02 15:00:00,4336,sampled
1770026400000,2026-02-02 18:00:00,4724,sampled
1770037200000,2026-02-02 21:00:00,4654,sampled
1770046200000,2026-02-02 23:30:00,4660,sampled
1770057000000,2026-02-03 02:30:00,4666,sampled
1770069600000,2026-02-03 06:00:00,5083,sampled
1770080400000,2026-02-03 09:00:00,4980,sampled
1770091200000,2026-02-03 12:00:00,4312,sampled
1770102000000,2026-02-03 15:00:00,4336,sampled
1770112800000,2026-02-03 18:00:00,4821,sampled
1770123600000,2026-02-03 21:00:00,4722,sampled
1770134400000,2026-02-04 00:00:00,4724,sampled
1770145200000,2026-02-04 03:00:00,4737,sampled
1770156000000,2026-02-04 06:00:00,5147,sampled
1770166800000,2026-02-04 09:00:00,5085,sampled
1770177600000,2026-02-04 12:00:00,4390,sampled
1770188400000,2026-02-04 15:00:00,4406,sampled
1770199200000,2026-02-04 18:00:00,4851,sampled
1770210000000,2026-02-04 21:00:00,4776,sampled
1770220800000,2026-02-05 00:00:00,4790,sampled
1770231600000,2026-02-05 03:00:00,4816,sampled
1770242400000,2026-02-05 06:00:00,5347,sampled
1770253200000,2026-02-05 09:00:00,5202,sampled
1770264000000,2026-02-05 12:00:00,4448,sampled
1770274800000,2026-02-05 15:00:00,4464,sampled
1770285600000,2026-02-05 18:00:00,4889,sampled
1770296400000,2026-02-05 21:00:00,4836,sampled
1770307200000,2026-02-06 00:00:00,4850,sampled
1770318000000,2026-02-06 03:00:00,4862,sampled
1770328800000,2026-02-06 06:00:00,4936,sampled
1770339600000,2026-02-06 09:00:00,5135,sampled
1770348600000,2026-02-06 11:30:00,4467,sampled
1770361200000,2026-02-06 15:00:00,4462,sampled
1770372000000,2026-02-06 18:00:00,4896,sampled
1770382800000,2026-02-06 21:00:00,4837,sampled
1770393600000,2026-02-07 00:00:00,4793,sampled
1770404400000,2026-02-07 03:00:00,4867,sampled
1770415200000,2026-02-07 06:00:00,5286,sampled
1770426000000,2026-02-07 09:00:00,5217,sampled
1770436800000,2026-02-07 12:00:00,4457,sampled
1770445800000,2026-02-07 14:30:00,4460,sampled
1770458400000,2026-02-07 18:00:00,4906,sampled
1770469200000,2026-02-07 21:00:00,4841,sampled
1770480000000,2026-02-08 00:00:00,4847,sampled
1770490800000,2026-02-08 03:00:00,4867,sampled
1770501600000,2026-02-08 06:00:00,4948,sampled
1770512400000,2026-02-08 09:00:00,5186,sampled
1770523200000,2026-02-08 12:00:00,4469,sampled
1770534000000,2026-02-08 15:00:00,4468,sampled
1770544800000,2026-02-08 18:00:00,4917,sampled
1770555600000,2026-02-08 21:00:00,4856,sampled
1770620400000,2026-02-09 15:00:00,4527,recent
1770624000000,2026-02-09 16:00:00,4539,recent
1770631200000,2026-02-09 18:00:00,4918,recent
1770634800000,2026-02-09 19:00:00,4917,recent
1770638400000,2026-02-09 20:00:00,4907,recent
1770642000000,2026-02-09 21:00:00,4855,recent
1770645600000,2026-02-09 22:00:00,4845,recent
1770652800000,2026-02-10 00:00:00,4856,recent
1770656400000,2026-02-10 01:00:00,4857,recent
1770660000000,2026-02-10 02:00:00,4858,recent
1770663600000,2026-02-10 03:00:00,4873,recent
1770667200000,2026-02-10 04:00:00,4937,recent
1770670800000,2026-02-10 05:00:00,5239,recent
1770674400000,2026-02-10 06:00:00,5443,recent
1770678000000,2026-02-10 07:00:00,5471,recent
1770681600000,2026-02-10 08:00:00,5416,recent
1770685200000,2026-02-10 09:00:00,5272,recent
1770688800000,2026-02-10 10:00:00,4888,recent
1770696000000,2026-02-10 12:00:00,4468,recent
1770699600000,2026-02-10 13:00:00,4465,recent
1770703200000,2026-02-10 14:00:00,4469,recent
1770706800000,2026-02-10 15:00:00,4521,recent
1770710400000,2026-02-10 16:00:00,4538,recent
1770717600000,2026-02-10 18:00:00,4949,recent
1770721200000,2026-02-10 19:00:00,4980,recent
1770724800000,2026-02-10 20:00:00,4967,recent
1770728400000,2026-02-10 21:00:00,4874,recent
1770732000000,2026-02-10 22:00:00,4798,recent
1770735600000,2026-02-10 23:00:00,4794,recent
1770739200000,2026-02-11 00:00:00,4856,recent
1770742800000,2026-02-11 01:00:00,4859,recent
1770746400000,2026-02-11 02:00:00,4913,recent
1770750000000,2026-02-11 03:00:00,4924,recent
1770753600000,2026-02-11 04:00:00,4982,recent
1770757200000,2026-02-11 05:00:00,5163,recent
1770760800000,2026-02-11 06:00:00,5417,recent
1770764400000,2026-02-11 07:00:00,5413,recent
1770768000000,2026-02-11 08:00:00,5396,recent
1770771600000,2026-02-11 09:00:00,5297,recent
1770775200000,2026-02-11 10:00:00,4854,recent
1770778800000,2026-02-11 11:00:00,4525,recent
1770782400000,2026-02-11 12:00:00,4513,recent
1770786000000,2026-02-11 13:00:00,4524,recent
