时间戳,时间,均价,数据类型
1768374000000,2026-01-14 15:00:00,598,sampled
1768384800000,2026-01-14 18:00:00,577,sampled
1768395600000,2026-01-14 21:00:00,566,sampled
1768406400000,2026-01-15 00:00:00,547,sampled
1768417200000,2026-01-15 03:00:00,517,sampled
1768428000000,2026-01-15 06:00:00,517,sampled
1768438800000,2026-01-15 09:00:00,512,sampled
1768449600000,2026-01-15 12:00:00,543,sampled
1768460400000,2026-01-15 15:00:00,594,sampled
1768471200000,2026-01-15 18:00:00,573,sampled
1768482000000,2026-01-15 21:00:00,576,sampled
1768492800000,2026-01-16 00:00:00,588,sampled
1768503600000,2026-01-16 03:00:00,455,sampled
1768514400000,2026-01-16 06:00:00,475,sampled
1768525200000,2026-01-16 09:00:00,467,sampled
1768536000000,2026-01-16 12:00:00,467,sampled
1768546800000,2026-01-16 15:00:00,468,sampled
1768557600000,2026-01-16 18:00:00,475,sampled
1768568400000,2026-01-16 21:00:00,459,sampled
1768579200000,2026-01-17 00:00:00,461,sampled
1768590000000,2026-01-17 03:00:00,452,sampled
1768600800000,2026-01-17 06:00:00,460,sampled
1768611600000,2026-01-17 09:00:00,472,sampled
1768622400000,2026-01-17 12:00:00,486,sampled
1768633200000,2026-01-17 15:00:00,504,sampled
1768644000000,2026-01-17 18:00:00,558,sampled
1768654800000,2026-01-17 21:00:00,524,sampled
1768665600000,2026-01-18 00:00:00,499,sampled
1768676400000,2026-01-18 03:00:00,481,sampled
1768687200000,2026-01-18 06:00:00,503,sampled
1768698000000,2026-01-18 09:00:00,512,sampled
1768708800000,2026-01-18 12:00:00,556,sampled
1768719600000,2026-01-18 15:00:00,563,sampled
1768730400000,2026-01-18 18:00:00,562,sampled
1768741200000,2026-01-18 21:00:00,551,sampled
1768750200000,2026-01-18 23:30:00,540,sampled
1768762800000,2026-01-19 03:00:00,483,sampled
1768773600000,2026-01-19 06:00:00,505,sampled
1768784400000,2026-01-19 09:00:00,487,sampled
1768795200000,2026-01-19 12:00:00,500,sampled
1768806000000,2026-01-19 15:00:00,478,sampled
1768816800000,2026-01-19 18:00:00,458,sampled
1768827600000,2026-01-19 21:00:00,453,sampled
1768838400000,2026-01-20 00:00:00,444,sampled
1768849200000,2026-01-20 03:00:00,443,sampled
1768860000000,2026-01-20 06:00:00,442,sampled
1768870800000,2026-01-20 09:00:00,441,sampled
1768881600000,2026-01-20 12:00:00,465,sampled
1768892400000,2026-01-20 15:00:00,447,sampled
1768903200000,2026-01-20 18:00:00,446,sampled
1768914000000,2026-01-20 21:00:00,446,sampled
1768924800000,2026-01-21 00:00:00,442,sampled
1768933800000,2026-01-21 02:30:00,430,sampled
1768946400000,2026-01-21 06:00:00,440,sampled
1768957200000,2026-01-21 09:00:00,468,sampled
1768978800000,2026-01-21 15:00:00,451,sampled
1768989600000,2026-01-21 18:00:00,450,sampled
1769000400000,2026-01-21 21:00:00,443,sampled
1769011200000,2026-01-22 00:00:00,437,sampled
1769022000000,2026-01-22 03:00:00,423,sampled
1769032800000,2026-01-22 06:00:00,435,sampled
1769043600000,2026-01-22 09:00:00,443,sampled
1769054400000,2026-01-22 12:00:00,447,sampled
1769065200000,2026-01-22 15:00:00,448,sampled
1769076000000,2026-01-22 18:00:00,443,sampled
1769086800000,2026-01-22 21:00:00,447,sampled
1769097600000,2026-01-23 00:00:00,442,sampled
1769108400000,2026-01-23 03:00:00,419,sampled
1769119200000,2026-01-23 06:00:00,431,sampled
1769130000000,2026-01-23 09:00:00,430,sampled
1769140800000,2026-01-23 12:00:00,431,sampled
1769151600000,2026-01-23 15:00:00,445,sampled
1769162400000,2026-01-23 18:00:00,445,sampled
1769173200000,2026-01-23 21:00:00,446,sampled
1769184000000,2026-01-24 00:00:00,446,sampled
1769194800000,2026-01-24 03:00:00,426,sampled
1769205600000,2026-01-24 06:00:00,428,sampled
1769216400000,2026-01-24 09:00:00,428,sampled
1769227200000,2026-01-24 12:00:00,443,sampled
1769238000000,2026-01-24 15:00:00,453,sampled
1769248800000,2026-01-24 18:00:00,450,sampled
1769259600000,2026-01-24 21:00:00,452,sampled
1769270400000,2026-01-25 00:00:00,434,sampled
1769281200000,2026-01-25 03:00:00,416,sampled
1769292000000,2026-01-25 06:00:00,426,sampled
1769302800000,2026-01-25 09:00:00,420,sampled
1769313600000,2026-01-25 12:00:00,438,sampled
1769322600000,2026-01-25 14:30:00,450,sampled
1769335200000,2026-01-25 18:00:00,454,sampled
1769346000000,2026-01-25 21:00:00,448,sampled
1769356800000,2026-01-26 00:00:00,439,sampled
1769367600000,2026-01-26 03:00:00,421,sampled
1769378400000,2026-01-26 06:00:00,437,sampled
1769389200000,2026-01-26 09:00:00,420,sampled
1769400000000,2026-01-26 12:00:00,445,sampled
1769410800000,2026-01-26 15:00:00,452,sampled
1769421600000,2026-01-26 18:00:00,453,sampled
1769432400000,2026-01-26 21:00:00,451,sampled
1769443200000,2026-01-27 00:00:00,447,sampled
1769454000000,2026-01-27 03:00:00,446,sampled
1769464800000,2026-01-27 06:00:00,461,sampled
1769475600000,2026-01-27 09:00:00,428,sampled
1769486400000,2026-01-27 12:00:00,459,sampled
1769497200000,2026-01-27 15:00:00,455,sampled
1769508000000,2026-01-27 18:00:00,459,sampled
1769520600000,2026-01-27 21:30:00,457,sampled
1769529600000,2026-01-28 00:00:00,452,sampled
1769540400000,2026-01-28 03:00:00,456,sampled
1769551200000,2026-01-28 06:00:00,471,sampled
1769560200000,2026-01-28 08:30:00,455,sampled
1769572800000,2026-01-28 12:00:00,476,sampled
1769583600000,2026-01-28 15:00:00,492,sampled
1769594400000,2026-01-28 18:00:00,500,sampled
1769605200000,2026-01-28 21:00:00,491,sampled
1769616000000,2026-01-29 00:00:00,557,sampled
1769626800000,2026-01-29 03:00:00,545,sampled
1769637600000,2026-01-29 06:00:00,509,sampled
1769648400000,2026-01-29 09:00:00,536,sampled
1769659200000,2026-01-29 12:00:00,506,sampled
1769670000000,2026-01-29 15:00:00,532,sampled
1769680800000,2026-01-29 18:00:00,587,sampled
1769691600000,2026-01-29 21:00:00,594,sampled
1769702400000,2026-01-30 00:00:00,634,sampled
1769713200000,2026-01-30 03:00:00,521,sampled
1769724000000,2026-01-30 06:00:00,590,sampled
1769734800000,2026-01-30 09:00:00,600,sampled
1769743800000,2026-01-30 11:30:00,651,sampled
1769756400000,2026-01-30 15:00:00,656,sampled
1769767200000,2026-01-30 18:00:00,662,sampled
1769778000000,2026-01-30 21:00:00,673,sampled
1769788800000,2026-01-31 00:00:00,670,sampled
1769799600000,2026-01-31 03:00:00,595,sampled
1769810400000,2026-01-31 06:00:00,656,sampled
1769821200000,2026-01-31 09:00:00,661,sampled
1769832000000,2026-01-31 12:00:00,722,sampled
1769842800000,2026-01-31 15:00:00,744,sampled
1769853600000,2026-01-31 18:00:00,683,sampled
1769864400000,2026-01-31 21:00:00,667,sampled
1769875200000,2026-02-01 00:00:00,686,sampled
1769886000000,2026-02-01 03:00:00,656,sampled
1769896800000,2026-02-01 06:00:00,686,sampled
1769907600000,2026-02-01 09:00:00,676,sampled
1769918400000,2026-02-01 12:00:00,717,sampled
