时间戳,时间,均价,数据类型
1768546800000,2026-01-16 15:00:00,3701,sampled
1768557600000,2026-01-16 18:00:00,4015,sampled
1768568400000,2026-01-16 21:00:00,3888,sampled
1768579200000,2026-01-17 00:00:00,4031,sampled
1768590000000,2026-01-17 03:00:00,4036,sampled
1768600800000,2026-01-17 06:00:00,4341,sampled
1768611600000,2026-01-17 09:00:00,3977,sampled
1768622400000,2026-01-17 12:00:00,3880,sampled
1768633200000,2026-01-17 15:00:00,3903,sampled
1768644000000,2026-01-17 18:00:00,4035,sampled
1768654800000,2026-01-17 21:00:00,3745,sampled
1768665600000,2026-01-18 00:00:00,4069,sampled
1768676400000,2026-01-18 03:00:00,4042,sampled
1768687200000,2026-01-18 06:00:00,4483,sampled
1768698000000,2026-01-18 09:00:00,4249,sampled
1768708800000,2026-01-18 12:00:00,4018,sampled
1768719600000,2026-01-18 15:00:00,3937,sampled
1768730400000,2026-01-18 18:00:00,4331,sampled
1768741200000,2026-01-18 21:00:00,4072,sampled
1768750200000,2026-01-18 23:30:00,3969,sampled
1768762800000,2026-01-19 03:00:00,4084,sampled
1768773600000,2026-01-19 06:00:00,4197,sampled
1768784400000,2026-01-19 09:00:00,4100,sampled
1768795200000,2026-01-19 12:00:00,3876,sampled
1768806000000,2026-01-19 15:00:00,3936,sampled
1768816800000,2026-01-19 18:00:00,4336,sampled
1768827600000,2026-01-19 21:00:00,3963,sampled
1768838400000,2026-01-20 00:00:00,4277,sampled
1768849200000,2026-01-20 03:00:00,4208,sampled
1768860000000,2026-01-20 06:00:00,4261,sampled
1768870800000,2026-01-20 09:00:00,4162,sampled
1768881600000,2026-01-20 12:00:00,3849,sampled
1768892400000,2026-01-20 15:00:00,3888,sampled
1768903200000,2026-01-20 18:00:00,4309,sampled
1768914000000,2026-01-20 21:00:00,3957,sampled
1768924800000,2026-01-21 00:00:00,4177,sampled
1768933800000,2026-01-21 02:30:00,4201,sampled
1768946400000,2026-01-21 06:00:00,4066,sampled
1768957200000,2026-01-21 09:00:00,4097,sampled
1768978800000,2026-01-21 15:00:00,3941,sampled
1768989600000,2026-01-21 18:00:00,4245,sampled
1769000400000,2026-01-21 21:00:00,3899,sampled
1769011200000,2026-01-22 00:00:00,4176,sampled
1769022000000,2026-01-22 03:00:00,4148,sampled
1769032800000,2026-01-22 06:00:00,4224,sampled
1769043600000,2026-01-22 09:00:00,4122,sampled
1769054400000,2026-01-22 12:00:00,3888,sampled
1769065200000,2026-01-22 15:00:00,3935,sampled
1769076000000,2026-01-22 18:00:00,4269,sampled
1769086800000,2026-01-22 21:00:00,4061,sampled
1769097600000,2026-01-23 00:00:00,4232,sampled
1769108400000,2026-01-23 03:00:00,4225,sampled
1769119200000,2026-01-23 06:00:00,4282,sampled
1769130000000,2026-01-23 09:00:00,4210,sampled
1769140800000,2026-01-23 12:00:00,3869,sampled
1769151600000,2026-01-23 15:00:00,3917,sampled
1769162400000,2026-01-23 18:00:00,4289,sampled
1769173200000,2026-01-23 21:00:00,3917,sampled
1769184000000,2026-01-24 00:00:00,4166,sampled
1769194800000,2026-01-24 03:00:00,4176,sampled
1769205600000,2026-01-24 06:00:00,4365,sampled
1769216400000,2026-01-24 09:00:00,4206,sampled
1769227200000,2026-01-24 12:00:00,3926,sampled
1769238000000,2026-01-24 15:00:00,3874,sampled
1769248800000,2026-01-24 18:00:00,4328,sampled
1769259600000,2026-01-24 21:00:00,4019,sampled
1769270400000,2026-01-25 00:00:00,4185,sampled
1769281200000,2026-01-25 03:00:00,4232,sampled
1769292000000,2026-01-25 06:00:00,4316,sampled
1769302800000,2026-01-25 09:00:00,4299,sampled
1769313600000,2026-01-25 12:00:00,4055,sampled
1769322600000,2026-01-25 14:30:00,4117,sampled
1769335200000,2026-01-25 18:00:00,4486,sampled
1769346000000,2026-01-25 21:00:00,4352,sampled
1769356800000,2026-01-26 00:00:00,4334,sampled
1769367600000,2026-01-26 03:00:00,4340,sampled
1769378400000,2026-01-26 06:00:00,4529,sampled
1769389200000,2026-01-26 09:00:00,4358,sampled
1769400000000,2026-01-26 12:00:00,4119,sampled
1769410800000,2026-01-26 15:00:00,3959,sampled
1769421600000,2026-01-26 18:00:00,4590,sampled
1769432400000,2026-01-26 21:00:00,4249,sampled
1769443200000,2026-01-27 00:00:00,4552,sampled
1769454000000,2026-01-27 03:00:00,4447,sampled
1769464800000,2026-01-27 06:00:00,4469,sampled
1769475600000,2026-01-27 09:00:00,4334,sampled
1769486400000,2026-01-27 12:00:00,4179,sampled
1769497200000,2026-01-27 15:00:00,4169,sampled
1769508000000,2026-01-27 18:00:00,4480,sampled
1769520600000,2026-01-27 21:30:00,4229,sampled
1769529600000,2026-01-28 00:00:00,4441,sampled
1769540400000,2026-01-28 03:00:00,4345,sampled
1769551200000,2026-01-28 06:00:00,4430,sampled
1769562000000,2026-01-28 09:00:00,4302,sampled
1769572800000,2026-01-28 12:00:00,4223,sampled
1769583600000,2026-01-28 15:00:00,4303,sampled
1769594400000,2026-01-28 18:00:00,4443,sampled
1769605200000,2026-01-28 21:00:00,4333,sampled
1769616000000,2026-01-29 00:00:00,4366,sampled
1769626800000,2026-01-29 03:00:00,4422,sampled
1769637600000,2026-01-29 06:00:00,4152,sampled
1769648400000,2026-01-29 09:00:00,4527,sampled
