时间戳,时间,均价,数据类型
1768546800000,2026-01-16 15:00:00,4275,sampled
1768557600000,2026-01-16 18:00:00,4643,sampled
1768568400000,2026-01-16 21:00:00,4560,sampled
1768579200000,2026-01-17 00:00:00,4568,sampled
1768590000000,2026-01-17 03:00:00,4661,sampled
1768600800000,2026-01-17 06:00:00,4730,sampled
1768611600000,2026-01-17 09:00:00,4687,sampled
1768622400000,2026-01-17 12:00:00,4291,sampled
1768633200000,2026-01-17 15:00:00,4505,sampled
1768644000000,2026-01-17 18:00:00,4715,sampled
1768654800000,2026-01-17 21:00:00,4643,sampled
1768665600000,2026-01-18 00:00:00,4655,sampled
1768676400000,2026-01-18 03:00:00,4662,sampled
1768687200000,2026-01-18 06:00:00,4665,sampled
1768698000000,2026-01-18 09:00:00,4701,sampled
1768708800000,2026-01-18 12:00:00,4422,sampled
1768719600000,2026-01-18 15:00:00,4578,sampled
1768730400000,2026-01-18 18:00:00,4734,sampled
1768741200000,2026-01-18 21:00:00,4632,sampled
1768750200000,2026-01-18 23:30:00,4642,sampled
1768762800000,2026-01-19 03:00:00,4614,sampled
1768773600000,2026-01-19 06:00:00,4549,sampled
1768784400000,2026-01-19 09:00:00,4519,sampled
1768795200000,2026-01-19 12:00:00,4423,sampled
1768806000000,2026-01-19 15:00:00,4471,sampled
1768816800000,2026-01-19 18:00:00,4734,sampled
1768827600000,2026-01-19 21:00:00,4648,sampled
1768838400000,2026-01-20 00:00:00,4707,sampled
1768849200000,2026-01-20 03:00:00,4626,sampled
1768860000000,2026-01-20 06:00:00,4731,sampled
1768870800000,2026-01-20 09:00:00,4553,sampled
1768881600000,2026-01-20 12:00:00,4418,sampled
1768892400000,2026-01-20 15:00:00,4435,sampled
1768903200000,2026-01-20 18:00:00,4637,sampled
1768914000000,2026-01-20 21:00:00,4498,sampled
1768924800000,2026-01-21 00:00:00,4654,sampled
1768933800000,2026-01-21 02:30:00,4689,sampled
1768946400000,2026-01-21 06:00:00,4729,sampled
1768957200000,2026-01-21 09:00:00,4626,sampled
1768978800000,2026-01-21 15:00:00,4236,sampled
1768989600000,2026-01-21 18:00:00,4681,sampled
1769000400000,2026-01-21 21:00:00,4532,sampled
1769011200000,2026-01-22 00:00:00,4635,sampled
1769022000000,2026-01-22 03:00:00,4609,sampled
1769032800000,2026-01-22 06:00:00,4617,sampled
1769043600000,2026-01-22 09:00:00,4524,sampled
1769054400000,2026-01-22 12:00:00,4233,sampled
1769065200000,2026-01-22 15:00:00,4268,sampled
1769076000000,2026-01-22 18:00:00,4574,sampled
1769086800000,2026-01-22 21:00:00,4452,sampled
1769097600000,2026-01-23 00:00:00,4581,sampled
1769108400000,2026-01-23 03:00:00,4689,sampled
1769119200000,2026-01-23 06:00:00,4936,sampled
1769130000000,2026-01-23 09:00:00,4716,sampled
1769140800000,2026-01-23 12:00:00,4378,sampled
1769151600000,2026-01-23 15:00:00,4544,sampled
1769162400000,2026-01-23 18:00:00,4712,sampled
1769173200000,2026-01-23 21:00:00,4581,sampled
1769184000000,2026-01-24 00:00:00,4585,sampled
1769194800000,2026-01-24 03:00:00,4587,sampled
1769205600000,2026-01-24 06:00:00,4660,sampled
1769216400000,2026-01-24 09:00:00,4631,sampled
1769227200000,2026-01-24 12:00:00,4357,sampled
1769238000000,2026-01-24 15:00:00,4357,sampled
1769248800000,2026-01-24 18:00:00,4655,sampled
1769259600000,2026-01-24 21:00:00,4486,sampled
1769270400000,2026-01-25 00:00:00,4468,sampled
1769281200000,2026-01-25 03:00:00,4495,sampled
1769292000000,2026-01-25 06:00:00,4636,sampled
1769302800000,2026-01-25 09:00:00,4614,sampled
1769313600000,2026-01-25 12:00:00,4361,sampled
1769322600000,2026-01-25 14:30:00,4430,sampled
1769335200000,2026-01-25 18:00:00,4627,sampled
1769346000000,2026-01-25 21:00:00,4524,sampled
1769356800000,2026-01-26 00:00:00,4581,sampled
1769367600000,2026-01-26 03:00:00,4582,sampled
1769378400000,2026-01-26 06:00:00,4586,sampled
1769389200000,2026-01-26 09:00:00,4537,sampled
1769400000000,2026-01-26 12:00:00,4318,sampled
1769410800000,2026-01-26 15:00:00,4349,sampled
1769421600000,2026-01-26 18:00:00,4588,sampled
1769432400000,2026-01-26 21:00:00,4479,sampled
1769443200000,2026-01-27 00:00:00,4520,sampled
1769454000000,2026-01-27 03:00:00,4574,sampled
1769464800000,2026-01-27 06:00:00,4583,sampled
1769475600000,2026-01-27 09:00:00,4497,sampled
1769486400000,2026-01-27 12:00:00,4292,sampled
1769497200000,2026-01-27 15:00:00,4285,sampled
1769508000000,2026-01-27 18:00:00,4548,sampled
1769520600000,2026-01-27 21:30:00,4490,sampled
1769529600000,2026-01-28 00:00:00,4513,sampled
1769540400000,2026-01-28 03:00:00,4577,sampled
1769551200000,2026-01-28 06:00:00,4578,sampled
1769562000000,2026-01-28 09:00:00,4476,sampled
1769572800000,2026-01-28 12:00:00,4133,sampled
1769583600000,2026-01-28 15:00:00,4073,sampled
1769594400000,2026-01-28 18:00:00,4145,sampled
1769605200000,2026-01-28 21:00:00,4193,sampled
1769616000000,2026-01-29 00:00:00,4194,sampled
1769626800000,2026-01-29 03:00:00,4286,sampled
1769637600000,2026-01-29 06:00:00,4510,sampled
1769648400000,2026-01-29 09:00:00,4718,sampled
1769659200000,2026-01-29 12:00:00,4308,sampled
1769670000000,2026-01-29 15:00:00,4223,sampled
1769680800000,2026-01-29 18:00:00,4140,sampled
1769691600000,2026-01-29 21:00:00,3843,sampled
1769702400000,2026-01-30 00:00:00,3832,sampled
1769713200000,2026-01-30 03:00:00,3841,sampled
1769724000000,2026-01-30 06:00:00,3849,sampled
1769734800000,2026-01-30 09:00:00,3812,sampled
1769747400000,2026-01-30 12:30:00,3578,sampled
1769756400000,2026-01-30 15:00:00,3531,sampled
1769767200000,2026-01-30 18:00:00,3793,sampled
1769778000000,2026-01-30 21:00:00,3755,sampled
1769788800000,2026-01-31 00:00:00,3771,sampled
1769799600000,2026-01-31 03:00:00,3847,sampled
1769810400000,2026-01-31 06:00:00,3852,sampled
1769821200000,2026-01-31 09:00:00,4038,sampled
1769832000000,2026-01-31 12:00:00,3597,sampled
1769842800000,2026-01-31 15:00:00,3608,sampled
1769853600000,2026-01-31 18:00:00,3891,sampled
1769864400000,2026-01-31 21:00:00,3891,sampled
1769875200000,2026-02-01 00:00:00,3842,sampled
1769886000000,2026-02-01 03:00:00,3871,sampled
1769896800000,2026-02-01 06:00:00,4113,sampled
1769907600000,2026-02-01 09:00:00,4185,sampled
1769918400000,2026-02-01 12:00:00,3687,sampled
1769929200000,2026-02-01 15:00:00,3693,sampled
1769940000000,2026-02-01 18:00:00,3975,sampled
1769949000000,2026-02-01 20:30:00,3982,sampled
1769961600000,2026-02-02 00:00:00,3982,sampled
1769972400000,2026-02-02 03:00:00,3993,sampled
1769983200000,2026-02-02 06:00:00,4069,sampled
1769994000000,2026-02-02 09:00:00,4224,sampled
1770004800000,2026-02-02 12:00:00,3780,sampled
1770015600000,2026-02-02 15:00:00,3814,sampled
1770026400000,2026-02-02 18:00:00,3903,sampled
1770037200000,2026-02-02 21:00:00,3979,sampled
1770046200000,2026-02-02 23:30:00,3990,sampled
1770057000000,2026-02-03 02:30:00,4060,sampled
1770069600000,2026-02-03 06:00:00,4352,sampled
1770080400000,2026-02-03 09:00:00,4119,sampled
1770091200000,2026-02-03 12:00:00,3827,sampled
1770102000000,2026-02-03 15:00:00,3836,sampled
1770112800000,2026-02-03 18:00:00,4015,sampled
1770123600000,2026-02-03 21:00:00,3979,sampled
1770134400000,2026-02-04 00:00:00,4023,sampled
1770145200000,2026-02-04 03:00:00,4087,sampled
1770156000000,2026-02-04 06:00:00,4366,sampled
1770166800000,2026-02-04 09:00:00,4290,sampled
1770177600000,2026-02-04 12:00:00,3898,sampled
1770188400000,2026-02-04 15:00:00,3850,sampled
1770199200000,2026-02-04 18:00:00,4124,sampled
1770210000000,2026-02-04 21:00:00,4050,sampled
1770220800000,2026-02-05 00:00:00,4065,sampled
1770231600000,2026-02-05 03:00:00,4118,sampled
1770242400000,2026-02-05 06:00:00,4422,sampled
1770253200000,2026-02-05 09:00:00,4330,sampled
