时间戳,时间,均价,数据类型
1768978800000,2026-01-21 15:00:00,430,sampled
1768989600000,2026-01-21 18:00:00,431,sampled
1769000400000,2026-01-21 21:00:00,441,sampled
1769011200000,2026-01-22 00:00:00,445,sampled
1769022000000,2026-01-22 03:00:00,408,sampled
1769032800000,2026-01-22 06:00:00,412,sampled
1769043600000,2026-01-22 09:00:00,412,sampled
1769054400000,2026-01-22 12:00:00,428,sampled
1769065200000,2026-01-22 15:00:00,464,sampled
1769076000000,2026-01-22 18:00:00,429,sampled
1769086800000,2026-01-22 21:00:00,457,sampled
1769097600000,2026-01-23 00:00:00,468,sampled
1769108400000,2026-01-23 03:00:00,420,sampled
1769119200000,2026-01-23 06:00:00,395,sampled
1769130000000,2026-01-23 09:00:00,399,sampled
1769140800000,2026-01-23 12:00:00,438,sampled
1769151600000,2026-01-23 15:00:00,468,sampled
1769162400000,2026-01-23 18:00:00,479,sampled
1769173200000,2026-01-23 21:00:00,494,sampled
1769184000000,2026-01-24 00:00:00,496,sampled
1769194800000,2026-01-24 03:00:00,440,sampled
1769205600000,2026-01-24 06:00:00,427,sampled
1769216400000,2026-01-24 09:00:00,422,sampled
1769227200000,2026-01-24 12:00:00,435,sampled
1769238000000,2026-01-24 15:00:00,482,sampled
1769248800000,2026-01-24 18:00:00,454,sampled
1769259600000,2026-01-24 21:00:00,477,sampled
1769270400000,2026-01-25 00:00:00,493,sampled
1769281200000,2026-01-25 03:00:00,431,sampled
1769292000000,2026-01-25 06:00:00,404,sampled
1769302800000,2026-01-25 09:00:00,422,sampled
1769313600000,2026-01-25 12:00:00,433,sampled
1769322600000,2026-01-25 14:30:00,507,sampled
1769335200000,2026-01-25 18:00:00,507,sampled
1769346000000,2026-01-25 21:00:00,448,sampled
1769356800000,2026-01-26 00:00:00,478,sampled
1769367600000,2026-01-26 03:00:00,412,sampled
1769378400000,2026-01-26 06:00:00,398,sampled
1769389200000,2026-01-26 09:00:00,417,sampled
1769400000000,2026-01-26 12:00:00,417,sampled
1769410800000,2026-01-26 15:00:00,459,sampled
1769421600000,2026-01-26 18:00:00,426,sampled
1769432400000,2026-01-26 21:00:00,438,sampled
1769443200000,2026-01-27 00:00:00,488,sampled
1769454000000,2026-01-27 03:00:00,420,sampled
1769464800000,2026-01-27 06:00:00,397,sampled
1769475600000,2026-01-27 09:00:00,405,sampled
1769486400000,2026-01-27 12:00:00,385,sampled
1769497200000,2026-01-27 15:00:00,416,sampled
1769508000000,2026-01-27 18:00:00,443,sampled
1769520600000,2026-01-27 21:30:00,441,sampled
1769529600000,2026-01-28 00:00:00,472,sampled
1769540400000,2026-01-28 03:00:00,415,sampled
1769551200000,2026-01-28 06:00:00,392,sampled
1769560200000,2026-01-28 08:30:00,393,sampled
1769572800000,2026-01-28 12:00:00,420,sampled
1769583600000,2026-01-28 15:00:00,454,sampled
1769594400000,2026-01-28 18:00:00,479,sampled
1769605200000,2026-01-28 21:00:00,480,sampled
1769616000000,2026-01-29 00:00:00,481,sampled
1769626800000,2026-01-29 03:00:00,438,sampled
1769637600000,2026-01-29 06:00:00,407,sampled
1769648400000,2026-01-29 09:00:00,392,sampled
1769659200000,2026-01-29 12:00:00,457,sampled
1769670000000,2026-01-29 15:00:00,481,sampled
1769680800000,2026-01-29 18:00:00,492,sampled
1769691600000,2026-01-29 21:00:00,485,sampled
1769702400000,2026-01-30 00:00:00,480,sampled
1769713200000,2026-01-30 03:00:00,411,sampled
1769724000000,2026-01-30 06:00:00,418,sampled
1769734800000,2026-01-30 09:00:00,425,sampled
1769743800000,2026-01-30 11:30:00,445,sampled
1769756400000,2026-01-30 15:00:00,467,sampled
1769767200000,2026-01-30 18:00:00,498,sampled
1769778000000,2026-01-30 21:00:00,491,sampled
1769788800000,2026-01-31 00:00:00,478,sampled
1769799600000,2026-01-31 03:00:00,425,sampled
1769810400000,2026-01-31 06:00:00,426,sampled
1769821200000,2026-01-31 09:00:00,438,sampled
1769832000000,2026-01-31 12:00:00,438,sampled
1769842800000,2026-01-31 15:00:00,431,sampled
1769853600000,2026-01-31 18:00:00,443,sampled
1769864400000,2026-01-31 21:00:00,461,sampled
1769875200000,2026-02-01 00:00:00,497,sampled
1769886000000,2026-02-01 03:00:00,435,sampled
1769896800000,2026-02-01 06:00:00,428,sampled
1769907600000,2026-02-01 09:00:00,426,sampled
1769918400000,2026-02-01 12:00:00,428,sampled
1769929200000,2026-02-01 15:00:00,438,sampled
1769940000000,2026-02-01 18:00:00,441,sampled
1769949000000,2026-02-01 20:30:00,432,sampled
1769961600000,2026-02-02 00:00:00,496,sampled
1769972400000,2026-02-02 03:00:00,441,sampled
1769983200000,2026-02-02 06:00:00,436,sampled
1769994000000,2026-02-02 09:00:00,418,sampled
1770004800000,2026-02-02 12:00:00,418,sampled
1770015600000,2026-02-02 15:00:00,426,sampled
1770026400000,2026-02-02 18:00:00,429,sampled
1770037200000,2026-02-02 21:00:00,429,sampled
1770046200000,2026-02-02 23:30:00,419,sampled
1770057000000,2026-02-03 02:30:00,382,sampled
1770069600000,2026-02-03 06:00:00,406,sampled
1770080400000,2026-02-03 09:00:00,404,sampled
1770091200000,2026-02-03 12:00:00,409,sampled
1770102000000,2026-02-03 15:00:00,416,sampled
1770112800000,2026-02-03 18:00:00,437,sampled
1770123600000,2026-02-03 21:00:00,501,sampled
1770134400000,2026-02-04 00:00:00,501,sampled
1770145200000,2026-02-04 03:00:00,426,sampled
1770156000000,2026-02-04 06:00:00,434,sampled
1770166800000,2026-02-04 09:00:00,436,sampled
1770177600000,2026-02-04 12:00:00,437,sampled
1770188400000,2026-02-04 15:00:00,440,sampled
1770199200000,2026-02-04 18:00:00,452,sampled
1770210000000,2026-02-04 21:00:00,506,sampled
1770220800000,2026-02-05 00:00:00,502,sampled
1770231600000,2026-02-05 03:00:00,457,sampled
1770242400000,2026-02-05 06:00:00,435,sampled
1770253200000,2026-02-05 09:00:00,426,sampled
1770264000000,2026-02-05 12:00:00,417,sampled
1770274800000,2026-02-05 15:00:00,507,sampled
1770285600000,2026-02-05 18:00:00,471,sampled
1770296400000,2026-02-05 21:00:00,507,sampled
1770307200000,2026-02-06 00:00:00,504,sampled
1770318000000,2026-02-06 03:00:00,434,sampled
1770328800000,2026-02-06 06:00:00,437,sampled
1770339600000,2026-02-06 09:00:00,443,sampled
1770348600000,2026-02-06 11:30:00,499,sampled
1770361200000,2026-02-06 15:00:00,511,sampled
1770372000000,2026-02-06 18:00:00,508,sampled
1770382800000,2026-02-06 21:00:00,504,sampled
1770393600000,2026-02-07 00:00:00,507,sampled
1770404400000,2026-02-07 03:00:00,451,sampled
1770415200000,2026-02-07 06:00:00,441,sampled
1770426000000,2026-02-07 09:00:00,449,sampled
1770436800000,2026-02-07 12:00:00,443,sampled
1770445800000,2026-02-07 14:30:00,456,sampled
1770458400000,2026-02-07 18:00:00,512,sampled
1770469200000,2026-02-07 21:00:00,512,sampled
1770480000000,2026-02-08 00:00:00,510,sampled
1770490800000,2026-02-08 03:00:00,500,sampled
1770501600000,2026-02-08 06:00:00,449,sampled
1770512400000,2026-02-08 09:00:00,446,sampled
1770523200000,2026-02-08 12:00:00,440,sampled
1770534000000,2026-02-08 15:00:00,455,sampled
1770544800000,2026-02-08 18:00:00,512,sampled
1770555600000,2026-02-08 21:00:00,512,sampled
1770564600000,2026-02-08 23:30:00,512,sampled
1770577200000,2026-02-09 03:00:00,443,sampled
1770588000000,2026-02-09 06:00:00,441,sampled
1770598800000,2026-02-09 09:00:00,444,sampled
1770609600000,2026-02-09 12:00:00,455,sampled
1770620400000,2026-02-09 15:00:00,452,sampled
1770631200000,2026-02-09 18:00:00,483,sampled
1770642000000,2026-02-09 21:00:00,460,sampled
1770652800000,2026-02-10 00:00:00,476,sampled
1770663600000,2026-02-10 03:00:00,463,sampled
1770674400000,2026-02-10 06:00:00,442,sampled
1770685200000,2026-02-10 09:00:00,439,sampled
1770696000000,2026-02-10 12:00:00,439,sampled
1770706800000,2026-02-10 15:00:00,454,sampled
1770717600000,2026-02-10 18:00:00,471,sampled
1770728400000,2026-02-10 21:00:00,512,sampled
1770739200000,2026-02-11 00:00:00,506,sampled
1770750000000,2026-02-11 03:00:00,432,sampled
1770760800000,2026-02-11 06:00:00,431,sampled
1770771600000,2026-02-11 09:00:00,440,sampled
1770782400000,2026-02-11 12:00:00,493,sampled
1770793200000,2026-02-11 15:00:00,451,sampled
1770809400000,2026-02-11 19:30:00,459,sampled
1770814800000,2026-02-11 21:00:00,464,sampled
1770825600000,2026-02-12 00:00:00,508,sampled
1770836400000,2026-02-12 03:00:00,459,sampled
1770841800000,2026-02-12 04:30:00,405,sampled
1770883200000,2026-02-12 16:00:00,455,sampled
1770890400000,2026-02-12 18:00:00,463,sampled
1770901200000,2026-02-12 21:00:00,462,sampled
1770912000000,2026-02-13 00:00:00,511,sampled
1770922800000,2026-02-13 03:00:00,459,sampled
1770933600000,2026-02-13 06:00:00,440,sampled
1770944400000,2026-02-13 09:00:00,449,sampled
1770955200000,2026-02-13 12:00:00,449,sampled
1770966000000,2026-02-13 15:00:00,458,sampled
1770976800000,2026-02-13 18:00:00,512,sampled
1770987600000,2026-02-13 21:00:00,511,sampled
1770998400000,2026-02-14 00:00:00,486,sampled
1771009200000,2026-02-14 03:00:00,471,sampled
1771047000000,2026-02-14 13:30:00,461,sampled
1771052400000,2026-02-14 15:00:00,459,sampled
1771063200000,2026-02-14 18:00:00,512,sampled
1771074000000,2026-02-14 21:00:00,512,sampled
1771084800000,2026-02-15 00:00:00,687,sampled
1771095600000,2026-02-15 03:00:00,528,sampled
1771106400000,2026-02-15 06:00:00,539,sampled
1771117200000,2026-02-15 09:00:00,558,sampled
1771128000000,2026-02-15 12:00:00,507,sampled
1771138800000,2026-02-15 15:00:00,512,sampled
1771149600000,2026-02-15 18:00:00,570,sampled
1771158600000,2026-02-15 20:30:00,633,sampled
1771171200000,2026-02-16 00:00:00,552,sampled
1771182000000,2026-02-16 03:00:00,570,sampled
1771192800000,2026-02-16 06:00:00,531,sampled
1771203600000,2026-02-16 09:00:00,585,sampled
1771214400000,2026-02-16 12:00:00,701,sampled
1771225200000,2026-02-16 15:00:00,733,sampled
1771236000000,2026-02-16 18:00:00,762,sampled
1771246800000,2026-02-16 21:00:00,765,sampled
1771257600000,2026-02-17 00:00:00,737,sampled
1771268400000,2026-02-17 03:00:00,614,sampled
1771279200000,2026-02-17 06:00:00,531,sampled
1771290000000,2026-02-17 09:00:00,579,sampled
1771300800000,2026-02-17 12:00:00,670,sampled
1771311600000,2026-02-17 15:00:00,700,sampled
1771322400000,2026-02-17 18:00:00,713,sampled
1771333200000,2026-02-17 21:00:00,685,sampled
1771398000000,2026-02-18 15:00:00,682,recent
1771401600000,2026-02-18 16:00:00,692,recent
1771405200000,2026-02-18 17:00:00,675,recent
1771408800000,2026-02-18 18:00:00,678,recent
1771412400000,2026-02-18 19:00:00,678,recent
1771416000000,2026-02-18 20:00:00,672,recent
1771419600000,2026-02-18 21:00:00,676,recent
1771426800000,2026-02-18 23:00:00,667,recent
1771430400000,2026-02-19 00:00:00,655,recent
1771434000000,2026-02-19 01:00:00,630,recent
1771437600000,2026-02-19 02:00:00,586,recent
1771441200000,2026-02-19 03:00:00,570,recent
1771444800000,2026-02-19 04:00:00,550,recent
1771448400000,2026-02-19 05:00:00,557,recent
1771452000000,2026-02-19 06:00:00,563,recent
1771455600000,2026-02-19 07:00:00,544,recent
1771459200000,2026-02-19 08:00:00,551,recent
1771462800000,2026-02-19 09:00:00,533,recent
1771466400000,2026-02-19 10:00:00,580,recent
1771470000000,2026-02-19 11:00:00,614,recent
1771473600000,2026-02-19 12:00:00,627,recent
1771477200000,2026-02-19 13:00:00,654,recent
1771480800000,2026-02-19 14:00:00,673,recent
1771484400000,2026-02-19 15:00:00,684,recent
1771491600000,2026-02-19 17:00:00,684,recent
1771495200000,2026-02-19 18:00:00,686,recent
1771498800000,2026-02-19 19:00:00,682,recent
1771502400000,2026-02-19 20:00:00,669,recent
1771506000000,2026-02-19 21:00:00,686,recent
1771509600000,2026-02-19 22:00:00,679,recent
1771513200000,2026-02-19 23:00:00,680,recent
1771516800000,2026-02-20 00:00:00,663,recent
1771520400000,2026-02-20 01:00:00,650,recent
1771524000000,2026-02-20 02:00:00,597,recent
1771527600000,2026-02-20 03:00:00,575,recent
1771531200000,2026-02-20 04:00:00,568,recent
1771534800000,2026-02-20 05:00:00,558,recent
1771538400000,2026-02-20 06:00:00,558,recent
1771542000000,2026-02-20 07:00:00,554,recent
1771549200000,2026-02-20 09:00:00,546,recent
1771552800000,2026-02-20 10:00:00,554,recent
1771556400000,2026-02-20 11:00:00,595,recent
1771560000000,2026-02-20 12:00:00,629,recent
1771563600000,2026-02-20 13:00:00,642,recent
