时间戳,时间,均价,数据类型
1770544800000,2026-02-08 18:00:00,2865,sampled
1770555600000,2026-02-08 21:00:00,2776,sampled
1770564600000,2026-02-08 23:30:00,2848,sampled
1770577200000,2026-02-09 03:00:00,2763,sampled
1770588000000,2026-02-09 06:00:00,2764,sampled
1770598800000,2026-02-09 09:00:00,2739,sampled
1770609600000,2026-02-09 12:00:00,2777,sampled
1770620400000,2026-02-09 15:00:00,2860,sampled
1770631200000,2026-02-09 18:00:00,2867,sampled
1770642000000,2026-02-09 21:00:00,2849,sampled
1770652800000,2026-02-10 00:00:00,2859,sampled
1770663600000,2026-02-10 03:00:00,2761,sampled
1770674400000,2026-02-10 06:00:00,2763,sampled
1770685200000,2026-02-10 09:00:00,2738,sampled
1770696000000,2026-02-10 12:00:00,2771,sampled
1770706800000,2026-02-10 15:00:00,2799,sampled
1770717600000,2026-02-10 18:00:00,2863,sampled
1770728400000,2026-02-10 21:00:00,2848,sampled
1770739200000,2026-02-11 00:00:00,2858,sampled
1770750000000,2026-02-11 03:00:00,2758,sampled
1770760800000,2026-02-11 06:00:00,2761,sampled
1770771600000,2026-02-11 09:00:00,2744,sampled
1770782400000,2026-02-11 12:00:00,2772,sampled
1770793200000,2026-02-11 15:00:00,2778,sampled
1770809400000,2026-02-11 19:30:00,2863,sampled
1770814800000,2026-02-11 21:00:00,2832,sampled
1770825600000,2026-02-12 00:00:00,2862,sampled
1770836400000,2026-02-12 03:00:00,2770,sampled
1770841800000,2026-02-12 04:30:00,2814,sampled
1770883200000,2026-02-12 16:00:00,2867,sampled
1770890400000,2026-02-12 18:00:00,2861,sampled
1770901200000,2026-02-12 21:00:00,2811,sampled
1770912000000,2026-02-13 00:00:00,2860,sampled
1770922800000,2026-02-13 03:00:00,2762,sampled
1770933600000,2026-02-13 06:00:00,2696,sampled
1770944400000,2026-02-13 09:00:00,2623,sampled
1770955200000,2026-02-13 12:00:00,2723,sampled
1770966000000,2026-02-13 15:00:00,2763,sampled
1770976800000,2026-02-13 18:00:00,2771,sampled
1770987600000,2026-02-13 21:00:00,2747,sampled
1770998400000,2026-02-14 00:00:00,2756,sampled
1771009200000,2026-02-14 03:00:00,2652,sampled
1771047000000,2026-02-14 13:30:00,2663,sampled
1771052400000,2026-02-14 15:00:00,2660,sampled
1771063200000,2026-02-14 18:00:00,2662,sampled
1771074000000,2026-02-14 21:00:00,2636,sampled
1771084800000,2026-02-15 00:00:00,2652,sampled
1771095600000,2026-02-15 03:00:00,2564,sampled
1771106400000,2026-02-15 06:00:00,2558,sampled
1771117200000,2026-02-15 09:00:00,2538,sampled
1771128000000,2026-02-15 12:00:00,2569,sampled
1771138800000,2026-02-15 15:00:00,2570,sampled
1771149600000,2026-02-15 18:00:00,2573,sampled
1771158600000,2026-02-15 20:30:00,2562,sampled
1771171200000,2026-02-16 00:00:00,2564,sampled
1771182000000,2026-02-16 03:00:00,2499,sampled
1771192800000,2026-02-16 06:00:00,2535,sampled
1771203600000,2026-02-16 09:00:00,2527,sampled
1771214400000,2026-02-16 12:00:00,2567,sampled
1771225200000,2026-02-16 15:00:00,2567,sampled
1771236000000,2026-02-16 18:00:00,2566,sampled
1771246800000,2026-02-16 21:00:00,2473,sampled
1771257600000,2026-02-17 00:00:00,2565,sampled
1771268400000,2026-02-17 03:00:00,2482,sampled
1771279200000,2026-02-17 06:00:00,2479,sampled
1771290000000,2026-02-17 09:00:00,2452,sampled
1771300800000,2026-02-17 12:00:00,2504,sampled
1771311600000,2026-02-17 15:00:00,2567,sampled
1771322400000,2026-02-17 18:00:00,2569,sampled
1771333200000,2026-02-17 21:00:00,2471,sampled
1771344000000,2026-02-18 00:00:00,2563,sampled
1771354800000,2026-02-18 03:00:00,2477,sampled
1771365600000,2026-02-18 06:00:00,2471,sampled
1771374600000,2026-02-18 08:30:00,2462,sampled
1771387200000,2026-02-18 12:00:00,2481,sampled
1771398000000,2026-02-18 15:00:00,2540,sampled
1771408800000,2026-02-18 18:00:00,2573,sampled
1771419600000,2026-02-18 21:00:00,2475,sampled
1771430400000,2026-02-19 00:00:00,2567,sampled
1771441200000,2026-02-19 03:00:00,2476,sampled
1771452000000,2026-02-19 06:00:00,2469,sampled
1771462800000,2026-02-19 09:00:00,2457,sampled
1771473600000,2026-02-19 12:00:00,2487,sampled
1771484400000,2026-02-19 15:00:00,2574,sampled
1771495200000,2026-02-19 18:00:00,2573,sampled
1771506000000,2026-02-19 21:00:00,2497,sampled
1771516800000,2026-02-20 00:00:00,2569,sampled
1771527600000,2026-02-20 03:00:00,2500,sampled
1771538400000,2026-02-20 06:00:00,2499,sampled
1771549200000,2026-02-20 09:00:00,2459,sampled
1771560000000,2026-02-20 12:00:00,2485,sampled
1771570800000,2026-02-20 15:00:00,2570,sampled
1771581600000,2026-02-20 18:00:00,2574,sampled
1771592400000,2026-02-20 21:00:00,2560,sampled
1771603200000,2026-02-21 00:00:00,2570,sampled
1771614000000,2026-02-21 03:00:00,2547,sampled
1771624800000,2026-02-21 06:00:00,2557,sampled
1771635600000,2026-02-21 09:00:00,2495,sampled
1771646400000,2026-02-21 12:00:00,2549,sampled
1771657200000,2026-02-21 15:00:00,2575,sampled
1771669800000,2026-02-21 18:30:00,2579,sampled
1771678800000,2026-02-21 21:00:00,2564,sampled
1771689600000,2026-02-22 00:00:00,2572,sampled
1771698600000,2026-02-22 02:30:00,2560,sampled
1771711200000,2026-02-22 06:00:00,2559,sampled
1771722000000,2026-02-22 09:00:00,2422,sampled
1771732800000,2026-02-22 12:00:00,2552,sampled
1771743600000,2026-02-22 15:00:00,2578,sampled
1771754400000,2026-02-22 18:00:00,2769,sampled
1771765200000,2026-02-22 21:00:00,2661,sampled
1771776000000,2026-02-23 00:00:00,2667,sampled
1771786800000,2026-02-23 03:00:00,2571,sampled
1771797600000,2026-02-23 06:00:00,2569,sampled
1771808400000,2026-02-23 09:00:00,2538,sampled
1771819200000,2026-02-23 12:00:00,2612,sampled
1771830000000,2026-02-23 15:00:00,2669,sampled
1771840800000,2026-02-23 18:00:00,2669,sampled
1771851600000,2026-02-23 21:00:00,2474,sampled
1771862400000,2026-02-24 00:00:00,2566,sampled
