时间戳,时间,均价,数据类型
1770620400000,2026-02-09 15:00:00,214,sampled
1770631200000,2026-02-09 18:00:00,232,sampled
1770642000000,2026-02-09 21:00:00,240,sampled
1770652800000,2026-02-10 00:00:00,245,sampled
1770663600000,2026-02-10 03:00:00,185,sampled
1770674400000,2026-02-10 06:00:00,191,sampled
1770685200000,2026-02-10 09:00:00,140,sampled
1770696000000,2026-02-10 12:00:00,190,sampled
1770706800000,2026-02-10 15:00:00,202,sampled
1770717600000,2026-02-10 18:00:00,211,sampled
1770728400000,2026-02-10 21:00:00,222,sampled
1770739200000,2026-02-11 00:00:00,234,sampled
1770750000000,2026-02-11 03:00:00,186,sampled
1770760800000,2026-02-11 06:00:00,162,sampled
1770771600000,2026-02-11 09:00:00,165,sampled
1770782400000,2026-02-11 12:00:00,186,sampled
1770793200000,2026-02-11 15:00:00,205,sampled
1770809400000,2026-02-11 19:30:00,215,sampled
1770814800000,2026-02-11 21:00:00,228,sampled
1770825600000,2026-02-12 00:00:00,235,sampled
1770836400000,2026-02-12 03:00:00,183,sampled
1770841800000,2026-02-12 04:30:00,170,sampled
1770883200000,2026-02-12 16:00:00,213,sampled
1770890400000,2026-02-12 18:00:00,225,sampled
1770901200000,2026-02-12 21:00:00,235,sampled
1770912000000,2026-02-13 00:00:00,245,sampled
1770922800000,2026-02-13 03:00:00,190,sampled
1770933600000,2026-02-13 06:00:00,160,sampled
1770944400000,2026-02-13 09:00:00,159,sampled
1770955200000,2026-02-13 12:00:00,170,sampled
1770966000000,2026-02-13 15:00:00,178,sampled
1770976800000,2026-02-13 18:00:00,232,sampled
1770987600000,2026-02-13 21:00:00,245,sampled
1770998400000,2026-02-14 00:00:00,251,sampled
1771009200000,2026-02-14 03:00:00,193,sampled
1771047000000,2026-02-14 13:30:00,177,sampled
1771052400000,2026-02-14 15:00:00,211,sampled
1771063200000,2026-02-14 18:00:00,234,sampled
1771074000000,2026-02-14 21:00:00,246,sampled
1771084800000,2026-02-15 00:00:00,253,sampled
1771095600000,2026-02-15 03:00:00,197,sampled
1771106400000,2026-02-15 06:00:00,197,sampled
1771117200000,2026-02-15 09:00:00,198,sampled
1771128000000,2026-02-15 12:00:00,207,sampled
1771138800000,2026-02-15 15:00:00,216,sampled
1771149600000,2026-02-15 18:00:00,242,sampled
1771158600000,2026-02-15 20:30:00,250,sampled
1771171200000,2026-02-16 00:00:00,259,sampled
1771182000000,2026-02-16 03:00:00,207,sampled
1771192800000,2026-02-16 06:00:00,208,sampled
1771203600000,2026-02-16 09:00:00,217,sampled
1771214400000,2026-02-16 12:00:00,248,sampled
1771225200000,2026-02-16 15:00:00,316,sampled
1771236000000,2026-02-16 18:00:00,372,sampled
1771246800000,2026-02-16 21:00:00,358,sampled
