时间戳,时间,均价,数据类型
1770793200000,2026-02-11 15:00:00,709,sampled
1770809400000,2026-02-11 19:30:00,773,sampled
1770814800000,2026-02-11 21:00:00,757,sampled
1770825600000,2026-02-12 00:00:00,750,sampled
1770836400000,2026-02-12 03:00:00,615,sampled
1770841800000,2026-02-12 04:30:00,610,sampled
1770883200000,2026-02-12 16:00:00,770,sampled
1770890400000,2026-02-12 18:00:00,765,sampled
1770901200000,2026-02-12 21:00:00,763,sampled
1770912000000,2026-02-13 00:00:00,745,sampled
1770922800000,2026-02-13 03:00:00,617,sampled
1770933600000,2026-02-13 06:00:00,614,sampled
1770944400000,2026-02-13 09:00:00,617,sampled
1770955200000,2026-02-13 12:00:00,622,sampled
1770966000000,2026-02-13 15:00:00,715,sampled
1770976800000,2026-02-13 18:00:00,769,sampled
1770987600000,2026-02-13 21:00:00,753,sampled
1770998400000,2026-02-14 00:00:00,760,sampled
1771009200000,2026-02-14 03:00:00,619,sampled
1771047000000,2026-02-14 13:30:00,731,sampled
1771052400000,2026-02-14 15:00:00,766,sampled
1771063200000,2026-02-14 18:00:00,781,sampled
1771074000000,2026-02-14 21:00:00,771,sampled
1771084800000,2026-02-15 00:00:00,759,sampled
1771095600000,2026-02-15 03:00:00,611,sampled
1771106400000,2026-02-15 06:00:00,629,sampled
1771117200000,2026-02-15 09:00:00,589,sampled
1771128000000,2026-02-15 12:00:00,658,sampled
1771138800000,2026-02-15 15:00:00,770,sampled
1771149600000,2026-02-15 18:00:00,779,sampled
1771158600000,2026-02-15 20:30:00,777,sampled
1771171200000,2026-02-16 00:00:00,755,sampled
1771182000000,2026-02-16 03:00:00,624,sampled
1771192800000,2026-02-16 06:00:00,609,sampled
1771203600000,2026-02-16 09:00:00,611,sampled
1771214400000,2026-02-16 12:00:00,652,sampled
1771225200000,2026-02-16 15:00:00,764,sampled
1771236000000,2026-02-16 18:00:00,777,sampled
1771246800000,2026-02-16 21:00:00,777,sampled
1771257600000,2026-02-17 00:00:00,778,sampled
1771268400000,2026-02-17 03:00:00,637,sampled
1771279200000,2026-02-17 06:00:00,595,sampled
1771290000000,2026-02-17 09:00:00,538,sampled
1771300800000,2026-02-17 12:00:00,654,sampled
1771311600000,2026-02-17 15:00:00,746,sampled
1771322400000,2026-02-17 18:00:00,760,sampled
1771333200000,2026-02-17 21:00:00,693,sampled
1771344000000,2026-02-18 00:00:00,598,sampled
1771354800000,2026-02-18 03:00:00,578,sampled
1771365600000,2026-02-18 06:00:00,575,sampled
1771374600000,2026-02-18 08:30:00,557,sampled
1771387200000,2026-02-18 12:00:00,598,sampled
1771398000000,2026-02-18 15:00:00,719,sampled
1771408800000,2026-02-18 18:00:00,746,sampled
1771419600000,2026-02-18 21:00:00,704,sampled
1771430400000,2026-02-19 00:00:00,678,sampled
1771441200000,2026-02-19 03:00:00,586,sampled
1771452000000,2026-02-19 06:00:00,575,sampled
1771462800000,2026-02-19 09:00:00,570,sampled
1771473600000,2026-02-19 12:00:00,623,sampled
1771484400000,2026-02-19 15:00:00,730,sampled
1771495200000,2026-02-19 18:00:00,722,sampled
1771506000000,2026-02-19 21:00:00,668,sampled
1771516800000,2026-02-20 00:00:00,613,sampled
1771527600000,2026-02-20 03:00:00,568,sampled
1771538400000,2026-02-20 06:00:00,556,sampled
1771549200000,2026-02-20 09:00:00,594,sampled
1771560000000,2026-02-20 12:00:00,572,sampled
